Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-
1,1,1,3,1,1000,2780.9,3.5415
3,2,1,1,3,1000,9193.6,8.3435
3,100,3,2,6,10,14832,225.3
3,2,2,2,1,1000,9192.9,7.1296
1,1000,2,3,3,100,16337,664.83
1,10000,2,1,1,1000,4485.5,20379
1,10000,1,1,6,1000,21412,5223.5
3,10,10,6,12,1000,17056,20.045
1,1,1,2,6,1000,2249.9,4.6823
1,10,100,1,1,1000,878.19,100.73
3,100,1,3,6,10,15006,241.31
3,100,10,2,12,10,17045,202.14
1,10000,100,2,1,10,4632,21780
3,1000,1,3,12,1000,23499,1727.9
1,10,10,2,6,100,8321.8,11.913
1,100,100,1,6,100,8750.6,114.22
3,10000,10,6,12,1000,10689,32262
3,2,10,1,12,1000,5195.1,11.529
3,100,100,6,3,100,15124,212.57
3,100,100,2,1,10,8862.2,327.84
3,10,1,1,6,100,14193,23.232
1,2,2,1,1,10,3463.2,5.7478
1,1000,10,6,12,10,19471,576.58
3,10000,3,1,12,10,6333.9,36689
1,100,2,6,6,1000,14169,74.479
1,10000,3,1,6,100,21790,5131.8
1,1,2,2,6,100,1934.8,5.139
3,100,2,6,3,100,14540,236.06
1,1000,100,2,3,10,16328,671.29
1,100,10,6,12,1000,15974,68.183
3,10000,2,6,3,1000,11324,31200
1,1,10,1,12,1000,920.88,10.843
1,10,10,6,1,1000,6107.1,17.871
1,1,3,2,12,10,1646.8,6.1045
3,1000,1,1,12,10,17926,2076.2
3,1,1,1,3,10,5813.7,4.9987
3,10,100,6,12,10,2783.2,103.93
1,2,10,1,6,100,1748.6,11.043
1,10,1,2,6,10,12074,8.3359
3,1000,2,2,3,100,15730,2060.2
1,1000,10,3,6,100,16758,614.8
3,1000,1,1,6,100,16049,2769.8
1,10000,2,6,12,10,24470,3584.8
1,2,1,2,3,10,4146.8,4.6404
3,10,1,1,12,10,13264,24.517
1,1,100,6,3,1000,96.176,100.42
1,2,1,6,1,100,4752.2,4.1051
3,1,100,2,1,1000,272.44,100.35
3,2,3,2,3,100,8955.7,6.9497
1,1,3,2,3,1000,1713.9,6.1587
3,1,100,6,12,100,269,100.86
3,10,100,2,12,10,2675.2,105.53
1,1000,3,6,1,10,10349,982.66
1,100,100,6,3,100,8179.8,117.4
1,10,2,6,12,100,11500,8.9078
3,2,100,3,3,10,568.06,100.09
3,10,100,1,3,100,2777.6,106.54
3,1,10,1,6,100,2617.5,10.826
1,1000,3,2,12,10,21050,502.86
3,1000,2,6,1,10,2839.4,15685
3,100,3,1,12,1000,14535,235.72
1,2,3,1,1,100,2947.2,6.8108
1,1,2,6,1,100,2226.2,4.3057
1,100,1,3,3,1000,12145,91.652
1,2,10,3,3,10,1812.5,10.692
3,10000,1,2,3,100,7282.5,37480
3,100,1,6,3,10,13250,247.96
1,2,2,2,12,100,3571.4,5.3918
3,1,1,6,6,1000,6383.2,4.4677
1,2,3,2,6,100,3313.9,6.0906
1,2,100,2,3,10,185.94,100.49
1,10,3,6,3,1000,11191,9.2177
3,2,10,3,6,10,5341.9,10.943
1,10,1,1,1,100,8811.5,11.215
1,2,10,2,12,1000,1722.9,11.699
3,10,10,1,1,10,8880.3,34.592
1,1,10,2,6,10,890.12,10.801
1,100,2,1,6,10,14203,76.439
3,2,10,2,6,100,5393.1,11.093
3,1000,100,3,3,100,21768,1974.6
3,1,1,6,6,100,6734.8,4.6191
1,10,1,1,3,10,11886,8.4214
1,1000,2,6,12,1000,18625,516.54
3,2,100,6,3,10,533.56,100.14
1,1,100,6,3,10,100.06,100.37
1,1000,1,1,3,100,14672,723.56
1,1000,100,1,1,1000,10460,953.41
1,1,10,2,3,10,869.24,10.879
1,2,1,6,1,10,4746.7,4.0753
3,2,100,6,1,10,551.47,100.65
1,1,3,2,1,100,1712.3,5.8506
3,10000,10,2,3,100,8113.2,31929
1,1,2,3,12,1000,2276.9,4.4103
3,1,3,1,3,1000,4898.8,6.1766
1,10000,10,6,3,1000,24619,4037.7
1,2,1,2,3,100,4258.5,4.6938
3,10000,2,6,6,1000,8110.5,36233
1,1000,2,2,12,10,20572,518.32
1,10,2,2,3,10,12802,8.135
1,1,1,6,1,100,2672.8,3.5718
1,1,1,2,12,10,2201.8,4.6904
3,10000,1,1,6,1000,6015.3,41408
3,1000,1,1,1,100,4128.2,7856.5
3,100,1,2,12,10,15175,230.42
1,100,100,2,3,1000,9113.5,110.72
1,2,1,1,6,10,4075.8,4.742
3,2,100,6,6,1000,583.38,100.45
1,100,2,3,12,100,14441,74.897
1,10000,2,1,3,10,19486,6119.1
3,1000,3,1,1,1000,4392.4,7590.9
3,1,10,6,3,10,2692.2,10.655
1,10,100,2,6,100,941.47,101.03
1,1000,10,2,1,1000,9648,1049
1,1000,1,6,12,10,18424,537.7
1,10000,1,3,12,100,15671,5539.5
3,1000,2,3,1,10,3625.2,13867
1,1000,10,2,6,100,18515,591.05
1,2,2,2,1,10,3785.7,5.1449
3,100,100,3,12,100,20337,165.4
3,10000,2,6,6,10,8469,38482
3,10,10,1,12,1000,14822,23.094
1,1000,100,6,6,10,17024,595.7
1,10000,2,3,12,1000,16602,5420.4
3,10000,100,2,1,10,6044,36854
1,100,10,3,12,1000,15737,66.309
1,2,100,3,3,100,186.12,153.3
1,1000,100,2,6,10,18061,603.18
3,1,100,3,3,10,269.69,100.4
3,100,10,6,3,100,16041,198.58
1,10,10,1,1,1000,6027.7,17.464
1,100,3,2,3,1000,14310,75.643
1,1,2,3,1,100,2218.6,4.5089
3,10,100,3,12,1000,2819.1,108.71
1,1000,100,1,6,1000,15491,705.55
1,10000,10,6,1,10,4846.9,15050
3,2,3,2,3,10,8817.4,7.2647
3,1,3,2,6,10,5012.3,5.926
3,2,3,6,3,100,9121.1,6.3325
3,100,2,3,6,1000,15727,215.44
1,1,3,3,6,1000,2073.1,4.8477
3,100,10,6,12,10,21037,159.59
1,10,10,3,6,10,7966.5,12.653
3,10,3,3,3,100,18397,17.665
3,100,3,3,6,1000,16042,223
3,2,2,1,12,10,8446.1,7.5077
1,1000,1,6,12,1000,18311,506.64
3,1,10,2,3,10,2784.9,10.687
1,1000,100,1,12,10,17145,601.56
1,1,1,6,12,1000,2773.1,3.5139
1,10000,100,3,3,1000,17104,5054
3,2,3,6,1,1000,9035.8,7.15
3,1,1,6,12,10,6425.1,4.5494
1,2,2,2,3,100,3726.6,5.2255
3,2,100,2,12,100,563.71,101.56
1,10000,3,3,3,10,17405,5584.1
3,1,10,2,6,10,2698.2,10.687
3,1000,10,2,6,10,24686,1501.6
1,1000,10,6,12,100,19966,487.25
1,2,1,6,3,10,5171.2,3.8101
3,2,100,3,1,100,549.81,117.8
1,100,2,3,1,100,8482.5,117.99
1,1000,3,3,1,100,10207,1120.8
3,10,3,2,1,1000,9327.8,35.899
1,1000,2,1,3,100,14476,678.35
1,10000,10,3,12,100,19200,4676.6
1,1000,100,2,12,100,20259,530.12
3,10,10,2,12,10,16022,19.378
1,1000,1,2,6,1000,18603,539.19
3,10,3,1,3,1000,14078,24.294
3,100,1,6,1,1000,8571.9,370.94
1,2,2,1,3,1000,3667.8,5.3866
3,1,1,3,12,10,6328.6,4.4697
3,10000,1,2,6,1000,11521,27535
1,10000,1,1,3,10,22472,5856.1
1,100,1,2,3,1000,13954,71.676
1,1000,3,3,6,1000,16839,593.98
3,2,1,1,1,1000,7472.9,10.218
1,1000,3,2,6,100,17805,646.41
3,100,3,2,1,10,8978.4,354.03
1,2,3,2,6,10,3256.7,6.169
3,1000,10,1,1,100,9763.2,3970.5
3,1000,10,1,3,100,18063,1979.8
1,100,10,2,3,100,15426,67.209
3,1000,100,3,6,10,26170,1403.4
3,10,1,6,6,100,17105,19.786
1,1000,100,2,1,100,9707.6,1130.1
1,2,1,3,6,1000,5171.8,3.9803
1,1000,3,6,3,10,17120,650.79
3,100,100,1,12,1000,13370,237.43
1,100,10,2,12,100,22829,45.261
1,100,2,3,3,10,13446,76.493
1,1000,2,2,3,1000,16903,693.1
1,10,10,6,1,10,6058.1,16.455
3,10,1,6,6,1000,17355,19.776
1,2,100,6,3,100,179.88,101.07
1,2,1,6,12,100,4865.2,3.9855
3,1000,10,6,1,10,2915.4,15093
3,10,1,6,1,1000,8703.1,37.518
1,10000,100,3,3,10,15185,5758.4
3,1000,3,1,1,10,4860.2,7344.5
3,100,1,6,12,1000,18977,191.05
3,10,3,1,12,100,14661,23.241
3,2,2,6,12,1000,8996.9,6.8026
3,1,1,2,3,100,6571.9,4.8682
1,2,100,3,1,1000,182.71,100.55
3,2,2,3,6,1000,9568.4,6.527
3,1000,10,3,12,1000,32588,1289.7
1,2,3,3,1,10,3512.6,5.6987
3,100,2,2,6,100,13933,243.98
1,10000,3,1,3,100,21339,7300
1,2,10,1,3,1000,1803.3,10.979
1,10,2,3,6,1000,13284,8.2758
3,2,10,6,1,1000,4918,12.01
1,1000,100,3,12,100,16519,590.85
1,100,100,6,6,100,8034.7,114.85
1,2,10,1,3,10,1851.5,11.015
1,10,2,2,12,1000,11108,9.9783
1,10000,1,2,6,1000,24230,4887.5
3,1000,10,1,3,1000,19547,2091.6
3,10000,1,2,12,1000,16118,15677
3,100,10,1,12,1000,14545,228.48
1,10000,3,6,3,100,26180,3900.3
1,2,1,2,12,100,4133.6,4.8437
3,10000,1,3,6,1000,10787,27077
1,2,2,6,6,1000,4000.5,4.9654
