Spout_wait,Spliters,Counters,Throughput+,Latency-
1,3,9,17202,205.13
5,5,11,19349,194.77
2,3,5,15768,229.09
1,3,4,14334,248.43
9,1,14,17554,185.15
2,6,12,19354,201.68
1000,5,16,3099.8,787.33
100,3,5,14891,196.59
1,1,16,12781,250.88
6,2,12,16895,181.01
10,4,18,21246,167.25
8,4,14,19128,185.12
100,4,2,13006,253.35
9,2,4,15208,213.92
9,1,16,14631,214.6
4,6,7,16851,214.25
5,6,13,19954,193.66
6,1,13,14391,220.76
5,2,13,19214,170.21
4,2,4,15091,228.56
100,3,4,15172,201.62
5,5,16,19334,173.59
10,6,1,9863.8,337.42
4,3,4,14536,225.14
3,2,14,17518,193.89
6,4,3,14833,225.02
10,5,18,21809,172.16
5,6,14,19500,186.76
4,3,17,21605,160.5
5,1,3,13658,241.24
100,5,15,20744,168.1
100,5,9,18929,192.09
5,4,11,18231,196.1
100,5,3,15336,213.83
5,3,15,20419,169.51
5,6,4,16099,204.13
100,1,17,18676,174.21
8,3,10,18431,183.2
5,5,7,17570,193.77
9,3,3,15559,216.05
2,1,15,13883,240.04
4,4,1,9527.2,357.96
3,5,10,18636,168.4
6,6,2,13653,232.69
2,2,18,17493,186.91
7,5,15,20839,164.74
7,4,12,19658,188.02
3,1,12,13273,245.45
1,4,8,16533,212.25
1,5,16,19524,195.03
