Max_spout,Spliters,Counters,Throughput+,Latency-
1,1,3,4508.5,2.2534
1000,6,1,9328.2,1175
1.00E+06,3,6,18902,1623.2
1.00E+05,1,6,19583,46923
1.00E+06,6,12,28919,741.02
1000,6,9,26511,307.33
100,2,3,24998,49.584
100,6,3,22524,47.047
100,3,15,22544,47.847
10000,3,15,22331,1447.1
1.00E+06,6,6,28016,890.11
1.00E+06,6,18,28388,887.67
10,3,1,8400,12.509
10000,6,9,27814,655.03
1.00E+05,1,15,21114,46172
1000,1,9,23344,475.26
1.00E+05,2,15,34852,27668
10,2,15,22447,4.7671
100,1,3,21959,53.857
1.00E+06,2,3,42537,85607
10000,1,6,20267,5414.6
1.00E+05,2,6,30621,30120
1.00E+05,2,1,7977.6,78965
10000,2,3,25630,4190.6
1,3,12,5131.6,2.0329
100,3,3,18806,58.44
10,6,3,17814,5.4526
100,6,12,25459,33.369
1,1,12,4275.4,2.3254
1.00E+05,1,1,9136.9,82037
100,3,6,21693,52.732
100,1,1,10747,111.5
1,2,6,4794.6,2.289
10,2,18,22140,4.9532
1,2,1,4508.5,2.4379
1.00E+05,2,9,32491,31515
1000,1,18,25595,446.03
10000,6,3,22006,1871.2
1,6,9,5160.1,2.0405
10,1,9,15355,7.2769
1.00E+05,3,1,10023,70985
100,3,1,9885.2,117.19
1.00E+05,3,18,21210,1826.1
100,6,9,23012,37.855
1,3,3,5591.7,1.9243
1.00E+06,1,12,55320,91290
1,3,1,5384.6,1.9707
1,3,9,5258.3,2.0457
1000,3,12,25959,435.89
10000,1,1,9549.7,10420
