Max_spout,Spliters,Counters,Throughput+,Latency-
1000,1,15,23497,439.35
1000,6,15,25833,251.19
100,6,1,9214.4,116.13
10,2,3,14169,8.1471
1.00E+06,2,12,53037,77350
100,3,1,8465.1,132.78
1.00E+05,6,15,25927,834.61
10,2,9,18652,6.2867
10,3,18,16140,7.2948
1,3,12,4528.8,3.0358
1.00E+05,1,3,18689,51009
100,6,15,23675,32.286
100,6,6,21587,48.702
1.00E+05,2,3,21514,38738
1.00E+06,6,18,26933,979.55
1.00E+05,1,12,19390,41428
1000,6,1,11583,1038.1
1000,3,15,22132,468.71
1,6,1,4904.2,2.1626
1.00E+05,6,9,24757,1024
1.00E+05,6,1,31179,6540.8
100,3,9,21448,54.396
10000,1,3,20072,4961.1
1.00E+05,3,15,20932,1579.7
1,2,3,4343.6,2.381
1.00E+05,2,12,31491,29871
100,1,3,15515,75.825
1,1,9,4156.9,2.5688
1000,6,18,24255,336.78
1,2,9,4369.6,2.4306
1.00E+05,1,15,20828,41317
1000,1,18,24392,419.91
1,1,3,4160.1,2.6057
1000,1,12,21808,470.82
10,1,3,12697,9.2121
10,1,15,16019,7.3717
1,1,6,4089.5,2.55
10,3,12,17130,6.2694
100,6,9,23142,37.915
1.00E+05,3,3,17911,1806.9
1.00E+06,3,6,19405,1592.6
10,1,9,14807,7.5491
1.00E+05,1,6,27212,25993
100,3,3,16941,65.185
10000,3,1,8683.1,8988
100,3,18,21234,53.927
1000,2,3,22289,518.71
10000,2,1,7431.5,13541
1.00E+06,6,6,25226,856.82
1000,3,12,22122,501.11
