Max_spout,Spliters,Counters,Throughput+,Latency-
1,6,12,5120.9,1.9902
1.00E+05,2,18,34687,28743
100,2,3,24998,49.584
1.00E+06,1,18,58326,86354
1.00E+05,3,12,20378,1540.1
1.00E+05,3,6,21296,1548.2
100,3,3,18806,58.44
10,6,18,19340,4.6347
1.00E+06,1,9,55495,82624
10,1,15,15229,7.2642
10,6,1,8667.5,12.546
1,1,9,4404.4,2.3335
10,1,1,9276.1,12.039
10,1,12,15001,6.9301
10,6,6,19636,4.711
1.00E+05,3,18,21210,1826.1
1.00E+05,2,15,34852,27668
100,6,12,25459,33.369
1.00E+06,1,3,58279,88542
1.00E+06,6,6,28016,890.11
1,1,12,4275.4,2.3254
1.00E+06,1,15,58616,84497
100,1,3,21959,53.857
1,3,9,5258.3,2.0457
100,6,6,24578,38.387
1000,2,3,26177,440.59
1.00E+06,2,12,64455,65922
1.00E+05,2,6,30621,30120
1.00E+05,3,9,20921,1589
10,2,18,22140,4.9532
10000,6,12,27995,832.75
10000,3,1,9504.8,11114
1.00E+06,6,15,26632,824.51
1.00E+05,6,3,21885,1960.1
1.00E+05,6,12,29156,697.91
1000,3,18,23344,433.98
10,3,1,8400,12.509
100,6,15,24599,30.51
10000,6,18,29288,898.52
100,1,1,10747,111.5
10,2,1,8494.1,12.961
10000,2,3,25630,4190.6
1,1,3,4508.5,2.2534
1.00E+05,1,9,20241,48535
10,3,12,17287,6.1786
1.00E+06,1,12,55320,91290
1.00E+05,2,1,7977.6,78965
1,2,12,4686.7,2.2306
1000,6,3,22884,424.46
100,3,1,9885.2,117.19
