Spout_wait,Spliters,Counters,Throughput+,Latency-
8,2,2,6703.9,417.29
60000,5,1,187.5,45329
3,4,3,9327.9,289.04
5,3,10,9514,265.12
3,1,12,7331.9,374.83
10000,5,6,316.76,8054.2
10000,4,11,317.88,8190.5
5,2,10,8966,299.66
7,3,7,8550.3,329.8
10,1,15,5641.1,550.29
1000,3,10,2863.1,956.06
100,4,4,7447.4,388.17
1,2,10,9157.3,314.64
2,1,10,7726.4,385.49
1000,6,6,2730.8,934.73
10000,1,10,321.44,8566.6
1000,1,13,2464.9,1043.1
2,3,17,9351.5,272.45
6,6,13,10534,258.31
1000,4,13,2788.3,966.15
8,6,13,6509.8,413.68
5,5,5,9700.1,281.69
5,3,2,10077,274.63
2,4,7,10244,276.14
6,4,10,10133,281.26
60000,4,16,168.4,36534
6,3,9,9947.6,280.95
9,6,12,7440.5,359.28
1000,4,17,2779.1,946
1000,4,16,2753.5,929.35
2,2,11,9173.2,293.55
1000,6,1,2553.1,965.56
60000,1,10,288,50313
100,6,8,7486.2,373.41
1,4,9,10214,266.68
10,2,18,6695.4,448.59
100,1,3,5344.1,550.13
4,4,8,9790.1,278.59
2,1,17,7444.2,387.8
4,3,6,10230,302.15
10000,4,15,376.06,7556.4
6,4,7,9620.9,273.41
1000,5,16,2695.9,929.39
7,6,2,8084.9,355.87
100,2,1,6563.2,460.2
4,5,8,10373,261.83
10000,2,11,317,8391.3
100,4,13,6920.5,370.65
1000,4,1,2901.2,928.29
1000,1,2,2630.2,1076.2
