Max_spout,Spliters,Counters,Throughput+,Latency-
1000,1,15,25778,412.5
1000,6,15,27234,277.65
100,6,1,10467,102.54
10,2,3,19208,5.7214
1.00E+06,2,12,64455,65922
100,3,1,9885.2,117.19
1.00E+05,6,15,27609,931.89
10,2,9,22005,4.774
10,3,18,15905,6.7601
1,3,12,5131.6,2.0329
1.00E+05,1,3,18463,48084
100,6,15,24599,30.51
100,6,6,24578,38.387
1.00E+05,2,3,26935,35250
1.00E+06,6,18,28388,887.67
1.00E+05,1,12,22344,43826
1000,6,1,9328.2,1175
1000,3,15,23466,447.55
1,6,1,5318.7,1.9595
1.00E+05,6,9,27096,843.62
1.00E+05,6,1,10376,64210
100,3,9,23160,45.546
10000,1,3,18950,5687.4
1.00E+05,3,15,21716,1473.6
1,2,3,4747.2,2.1477
1.00E+05,2,12,35034,28760
100,1,3,21959,53.857
1,1,9,4404.4,2.3335
1000,6,18,27640,300.68
1,2,9,4752.9,2.2133
1.00E+05,1,15,21114,46172
1000,1,18,25595,446.03
1,1,3,4508.5,2.2534
1000,1,12,25936,446.51
10,1,3,14647,7.5798
10,1,15,15229,7.2642
1,1,6,4504.4,2.2747
10,3,12,17287,6.1786
100,6,9,23012,37.855
1.00E+05,3,3,18567,1733.9
1.00E+06,3,6,18902,1623.2
10,1,9,15355,7.2769
1.00E+05,1,6,19583,46923
100,3,3,18806,58.44
10000,3,1,9504.8,11114
100,3,18,21195,49.925
1000,2,3,26177,440.59
10000,2,1,8922.4,11828
1.00E+06,6,6,28016,890.11
1000,3,12,25959,435.89
