Max_spout,Spliters,Counters,Throughput+,Latency-
1,1,3,4160.1,2.6057
1000,6,1,11583,1038.1
1.00E+06,3,6,19405,1592.6
1.00E+05,1,6,27212,25993
1.00E+06,6,12,26474,976.39
1000,6,9,25870,330.79
100,2,3,18568,65.437
100,6,3,20359,55.501
100,3,15,23240,51.463
10000,3,15,21523,1524.7
1.00E+06,6,6,25226,856.82
1.00E+06,6,18,26933,979.55
10,3,1,8219.4,13.865
10000,6,9,25202,1145.3
1.00E+05,1,15,20828,41317
1000,1,9,24910,467.36
1.00E+05,2,15,32561,27907
10,2,15,19505,5.6023
100,1,3,15515,75.825
1.00E+06,2,3,44107,94541
10000,1,6,29612,4304.9
1.00E+05,2,6,28808,35249
1.00E+05,2,1,7217.6,79248
10000,2,3,22333,5447.8
1,3,12,4528.8,3.0358
100,3,3,16941,65.185
10,6,3,16238,7.0838
100,6,12,24892,41.478
1,1,12,4013.8,2.5474
1.00E+05,1,1,7473.9,53025
100,3,6,20045,58
100,1,1,8511.2,135.2
1,2,6,4423.6,2.3538
10,2,18,19335,5.641
1,2,1,4294.7,4.7793
1.00E+05,2,9,30669,27780
1000,1,18,24392,419.91
10000,6,3,20442,1956.1
1,6,9,4891.9,2.1503
10,1,9,14807,7.5491
1.00E+05,3,1,16832,24535
100,3,1,8465.1,132.78
1.00E+05,3,18,21527,1635.1
100,6,9,23142,37.915
1,3,3,5058.6,3.5506
1.00E+06,1,12,54656,73740
1,3,1,4980.3,2.1598
1,3,9,4786.9,2.1468
1000,3,12,22122,501.11
10000,1,1,9689.1,11175
