A,B,C,A-,B-
4,15,4,12.43931146,9.998033505
6,14,3,14.08464232,10.91838768
0,15,3,9.622051819,6.511822825
6,8,3,13.71478213,10.59422542
2,64,5,11.99823782,10.37986031
4,19,3,12.50779464,10.27668784
3,25,4,12.04916787,10.51527408
5,2,5,11.40301202,7.665281857
5,19,4,13.48242984,10.94420462
4,35,3,12.69913863,12.15636984
7,35,3,15.48116875,13.65268358
6,64,5,15.7624599,12.82026986
8,2,5,14.21720042,7.276899329
4,36,1,12.65082737,12.47418769
3,4,5,10.53138146,7.654109752
8,25,4,16.20472396,11.73287415
3,35,3,11.82296909,11.46040144
3,16,5,11.95782756,9.621040101
6,36,2,14.62804676,13.51134515
7,14,3,14.72616493,10.75957087
6,7,3,13.56902487,10.19925538
1,4,5,9.038918989,5.849099186
7,15,3,14.85987446,10.75194128
2,22,3,10.88034881,9.129408807
7,7,4,14.2209073,10.258294
7,8,5,15.31603399,7.679359363
4,32,5,13.76103174,11.00016159
0,25,4,10.26795708,7.757676762
5,7,3,12.73914771,10.03234148
2,15,3,10.58402294,8.346562042
2,8,5,10.69870467,7.71095525
3,7,4,10.75154406,8.522529897
2,15,4,10.76321237,8.438053168
6,7,4,13.31599862,10.37635785
3,64,5,12.71123677,11.29721127
1,15,4,9.914385132,7.422663507
0,22,4,10.27262979,7.208748533
7,25,4,15.57062658,11.44961151
8,1,5,13.30976054,7.537930924
7,19,4,15.22422783,10.89274601
0,14,4,9.562242424,6.2278842
1,14,3,9.832890014,7.256973697
6,19,4,14.33998915,10.79276682
2,32,5,11.98156728,9.663789749
3,15,4,11.47522678,9.330080673
7,22,4,15.47307151,11.35608841
2,22,4,11.17305246,9.136334261
0,4,5,9.019590728,4.849816643
8,7,4,14.86186234,10.54260113
8,7,3,15.10328781,10.52989738
