Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-
1,2,1,6,6,100,4893.2,3.8786
1,10000,3,3,6,100,17580,5417.1
3,10000,10,1,1,1000,6411.9,45791
3,2,2,1,3,10,9023.1,7.2063
1,100,1,6,6,100,13657,88.642
3,2,1,6,1,1000,10557,6.4019
1,100,1,2,3,100,14193,73.835
1,10,100,2,3,100,963.62,100.9
1,1,2,2,3,100,2059.7,4.9987
3,100,100,1,1,100,9081.2,329.78
3,1000,3,1,12,100,18165,2410
1,10,3,3,1,1000,8698.6,13.028
3,10000,3,3,6,10,16093,20988
1,1000,2,2,1,1000,8888.2,1249.7
3,2,10,6,6,10,5319.2,10.946
1,1000,3,1,3,10,15091,693.63
1,1000,3,3,3,100,16392,654.63
1,10000,2,1,6,100,22681,5669.4
3,1000,100,2,3,100,17799,1920
3,1000,100,2,12,1000,30962,1087.6
3,100,100,3,3,10,14292,226.47
1,100,1,1,6,1000,13000,86.103
3,2,1,6,6,1000,9745.4,6.5994
3,10000,1,2,1,10,7992,37441
1,1,100,1,1,10,89.412,213.14
3,1,10,6,3,1000,2675.8,10.608
3,1000,1,6,6,10,26355,2031.3
3,1,1,2,6,10,6285.4,4.9516
1,2,100,2,12,1000,188.5,100.52
1,10,10,2,12,10,7716.2,12.247
3,1000,100,2,1,100,9256.9,4262.4
3,10,10,6,3,10,16119,19.558
3,10,3,2,12,1000,15688,20.663
3,100,3,2,6,1000,15318,237.49
3,10000,100,3,12,10,20461,28983
1,2,1,3,6,100,5019.4,3.9929
3,100,1,3,1,10,8557.7,402.69
1,10000,3,3,12,100,16795,4769.2
3,1,10,1,1,10,2636.5,11.438
3,10000,1,3,6,100,10860,29905
1,1000,2,2,1,10,9335.1,1171.9
1,10000,2,2,12,100,32175,4220
3,10000,100,6,3,10,6905.5,44046
1,2,3,1,1,10,2959.4,6.6938
1,10000,100,3,6,10,15938,5080.3
1,1000,100,1,6,1000,15491,705.55
3,10000,100,1,1,10,6632.8,38592
1,10000,10,1,6,10,23316,4834.8
1,1,3,1,1,100,1558.7,6.0909
3,1000,2,1,1,100,4535,7344
3,10,100,6,1,100,2870.2,103.1
3,1000,100,3,6,1000,27980,1263.4
3,2,10,1,1,10,5121.2,12.116
1,10,2,6,12,10,11603,8.6892
3,10,2,6,6,10,17747,18.569
1,1000,10,1,6,10,17078,679.14
3,1000,2,2,6,10,22851,1542.8
1,10,1,6,12,1000,12519,9.7051
3,1000,3,1,3,1000,19472,2559.3
1,1000,3,2,12,1000,20797,561.37
1,10000,1,6,1,1000,4693.5,15657
3,2,100,6,6,10,524.06,101.23
3,100,10,3,3,1000,15304,222.1
1,1,100,3,1,1000,101.29,100.43
1,1,2,1,6,100,2024.4,5.2684
3,2,3,3,3,10,9561.8,6.3656
1,2,2,2,1,10,3785.7,5.1449
1,1000,100,2,1,1000,9313.5,1111.3
3,1,2,1,1,1000,5481.5,5.7238
3,1,100,6,6,100,268.88,100.4
3,1000,10,2,6,1000,22164,1390.6
3,1000,1,2,3,1000,12534,3159.7
1,10,3,6,3,1000,11191,9.2177
3,10,3,1,6,10,14340,22.416
