A,B,C,A-,B-
5,35,3,13.61401961,13.00194029
4,8,5,12.41864325,9.433253026
1,25,3,10.37937837,8.75137773
2,14,4,10.57837269,8.177039855
0,8,3,9.154818109,6.035372181
2,16,5,11.08812569,8.690660805
2,8,5,10.69870467,7.71095525
2,15,4,10.76321237,8.438053168
4,19,3,12.50779464,10.27668784
6,14,4,14.0535017,10.93421264
0,2,5,7.971543554,3.83196978
7,7,3,14.22158712,10.17312412
1,36,2,10.37068741,9.771066822
5,8,5,13.26971112,9.51180174
7,36,1,15.39590226,14.71664238
1,1,5,7.087462841,3.866651431
1,8,5,9.896332404,6.766133409
8,8,4,15.02345116,11.03878861
0,22,3,10.27029533,7.178065338
4,35,3,12.69913863,12.15636984
0,8,5,9.97441459,5.773587653
5,14,4,13.20579325,10.46604202
2,7,4,10.07146236,7.804959873
2,14,3,10.4807902,8.13241029
0,22,4,10.27262979,7.208748533
3,14,4,11.35480034,9.057947231
3,15,4,11.47522678,9.330080673
6,15,3,14.19521839,10.972042
0,16,5,10.39231742,6.757812147
3,8,5,11.49735289,8.659608643
0,35,4,10.78381676,8.77675046
0,64,5,11.35810171,8.757891433
8,22,4,16.08841559,11.88129476
3,36,2,12.04780555,11.65370002
6,8,4,13.44514421,10.34895612
7,19,4,15.22422783,10.89274601
2,35,3,10.7548875,10.60570099
7,36,2,15.48733762,14.60766939
1,8,4,9.411510988,7.018112284
3,64,5,12.71123677,11.29721127
3,1,5,8.727920455,5.793273955
4,8,3,11.97835296,9.557560706
7,15,4,15.06659378,10.79590938
2,25,3,10.99929539,9.72844524
7,7,4,14.2209073,10.258294
0,4,5,9.019590728,4.849816643
8,19,3,15.88464752,11.81792813
1,32,5,11.03960452,8.783424695
2,4,5,9.741466986,6.77445112
0,25,4,10.26795708,7.757676762
