A,B,C,A-,B-
0,8,4,9.095397023,6.02339954
2,25,4,11.23840474,9.685226919
5,8,4,12.64543328,10.30355742
2,19,4,10.92407019,8.752437003
8,7,4,14.86186234,10.54260113
7,25,3,15.4098881,11.39965412
1,8,5,9.896332404,6.766133409
6,4,5,13.26737193,8.566591824
3,7,4,10.75154406,8.522529897
6,64,5,15.7624599,12.82026986
2,25,3,10.99929539,9.72844524
1,15,3,9.909893084,7.430869627
6,7,4,13.31599862,10.37635785
3,32,5,12.84588203,10.53302527
0,36,1,10.65910396,8.8341948
1,14,4,9.818582177,7.226333592
6,19,3,14.2875681,10.95459058
1,32,5,11.03960452,8.783424695
3,4,5,10.53138146,7.654109752
6,36,1,14.48179943,13.70214888
0,15,4,9.821773982,6.445010442
0,8,3,9.154818109,6.035372181
8,7,3,15.10328781,10.52989738
6,25,3,14.64103567,11.28664203
1,8,4,9.411510988,7.018112284
4,4,5,11.41837972,8.441542305
2,22,3,10.88034881,9.129408807
3,14,4,11.35480034,9.057947231
2,19,3,10.64385619,8.675316106
2,1,5,7.8008999,4.813273326
5,19,3,13.32080055,10.78326081
6,15,4,14.17850925,11.03425486
7,7,4,14.2209073,10.258294
4,7,3,11.90312868,9.445028118
2,8,3,10.23840474,7.899903708
0,35,4,10.78381676,8.77675046
7,4,5,14.31995431,7.603452483
1,22,4,10.32305476,8.210060462
3,15,3,11.55842071,9.260459475
7,36,2,15.48733762,14.60766939
4,22,3,12.71231204,10.70674724
3,2,5,9.668884984,6.792616241
8,25,3,16.24881706,12.12185067
5,22,4,13.71198954,11.1551998
0,15,3,9.622051819,6.511822825
6,19,4,14.33998915,10.79276682
5,1,5,10.45121111,6.804775887
0,25,4,10.26795708,7.757676762
5,36,2,13.7412563,13.30175662
4,36,1,12.65082737,12.47418769
