A,B,C,D,E,F,G,H,I,J,K,A-,B-
1,1,1,1,1,1,0,0,1,1,0,245.76,28
1,1,0,0,0,1,1,1,1,1,0,254.89,19
1,1,0,0,0,1,0,1,0,0,0,211.74,15
1,0,0,0,1,1,1,1,1,1,0,250.73,20
1,0,1,0,1,1,0,1,0,1,1,250.44,15
1,0,1,1,1,0,1,0,1,1,0,241.33,28
1,1,1,1,1,0,0,0,0,1,0,230.74,29
1,0,0,1,1,1,1,0,0,1,1,234.45,28
1,0,0,1,1,0,1,0,1,1,1,249.41,28
1,1,1,1,1,1,0,1,0,1,0,244.03,15
1,1,1,0,1,0,0,0,1,1,0,242.92,28
1,0,0,1,0,0,0,0,0,0,1,213.53,26
1,0,1,0,1,1,1,1,0,1,1,251.31,15
1,1,1,1,1,1,1,1,1,0,1,253.67,18
1,1,1,0,1,0,1,0,0,0,0,204.69,29
1,1,1,1,1,0,1,0,1,1,1,254.42,28
1,0,1,0,1,0,1,0,0,1,1,233.55,28
1,1,0,1,0,0,0,1,0,0,1,244.12,14
1,1,0,0,0,0,0,0,0,1,0,224.43,29
1,0,0,1,1,0,1,0,0,1,1,233.12,28
1,1,1,0,1,1,1,0,0,0,0,207.89,29
1,0,1,0,1,1,1,0,0,0,1,217.4,28
1,0,0,1,1,1,1,1,1,1,0,250.86,20
1,1,0,1,1,0,0,0,0,1,1,235.73,28
1,1,0,0,0,0,1,0,0,0,1,213.86,29
1,0,0,1,1,0,1,1,1,0,1,248.03,19
1,1,1,0,1,1,1,0,1,0,1,235.96,28
1,1,1,0,1,0,1,1,1,0,0,230.08,19
1,0,1,1,1,1,1,0,0,0,1,219.87,29
1,1,1,0,1,1,1,1,0,1,0,244.25,15
1,1,0,1,0,1,1,0,0,0,1,216.3,28
1,0,0,0,0,0,1,1,0,0,0,208.99,15
1,1,0,1,1,0,0,1,1,1,0,252.68,19
1,0,1,0,1,1,1,0,1,0,0,220.8,29
1,1,0,0,0,1,1,0,0,1,1,236.64,28
1,0,0,1,0,1,0,1,0,1,1,245.56,16
1,1,0,1,0,1,1,1,0,1,1,251.03,15
1,0,0,0,0,0,0,0,1,1,0,234.87,29
1,1,1,1,1,1,1,0,1,0,0,223.77,29
1,1,1,1,1,1,1,1,0,1,0,245.34,15
1,0,1,0,1,1,1,1,1,0,1,249.6,18
1,0,1,1,1,0,0,1,1,0,0,228.65,19
1,1,1,0,1,0,1,1,0,0,0,216.84,14
1,1,1,1,1,0,0,0,0,0,1,219.5,26
1,0,1,0,1,1,0,1,0,0,0,213.6,14
1,1,1,1,1,1,0,0,0,0,1,218.59,28
1,0,0,0,1,1,0,1,0,0,0,212.44,15
1,1,0,0,0,1,0,1,1,0,0,228.65,19
1,0,1,1,1,0,1,1,1,1,1,262.6,19
1,1,1,1,1,0,1,1,1,1,0,255.36,20
1,0,1,1,1,1,1,1,1,1,0,254.24,20
