No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-
0,0,0,1,1.4,9,0.8,17,3,167,-33,43,667,36.6,34,418,1.4,38.704,1243.136
1,1,0,0,2,1,0.4,16,2,43,100,63,499,23.4,81,0,0.6,48.186,2439.141844
0,0,0,1,0.7,17,0.8,17,6,167,34,86,667,23.3,34,836,0.7,50.989,709.9866667
0,0,0,1,0.7,17,0.4,34,6,84,34,43,334,23.3,34,418,0.7,45.839,1672.307071
0,0,0,0,1.4,17,0.8,17,6,167,-33,43,667,36.6,67,418,0.7,38.573,1452.953257
0,0,1,1,1,3,0,23,3,40,0,4,250,23,40,0,0,28.033,1906.65812
0,0,0,0,1.4,17,0.4,34,3,84,-33,43,667,36.6,67,418,0.7,37.096,1093.590909
0,1,0,0,0.7,17,0.8,34,3,167,34,86,334,23.3,67,418,1.4,47.257,5109.06
0,0,1,0,0.7,17,0.8,34,6,167,-33,43,667,23.3,34,836,1.4,51.582,707.2488889
0,1,0,0,1.4,17,0.8,17,3,84,-33,43,667,23.3,34,418,1.4,47.273,5207.953795
1,0,0,0,1,3,0.6,23,3,40,0,4,250,50,100,0,1.4,32.484,1121.202899
0,1,0,0,1.4,17,0.4,34,6,167,34,86,334,36.6,34,418,0.7,37.439,3766.698667
0,1,0,0,1.4,17,0.4,17,3,167,34,86,334,36.6,34,418,1.4,37.706,3255.007179
0,0,0,0,1.4,9,0.8,34,6,167,34,43,334,36.6,67,418,0.7,38.665,1377.38035
1,0,0,0,1.4,9,0.8,34,3,167,-33,43,667,36.6,34,418,1.4,40.035,1062.920635
1,0,0,0,1.4,9,0.4,17,6,167,34,43,667,23.3,34,836,1.4,54.646,629.6923077
0,1,1,1,2,7,0.6,39,2,250,-100,32,751,10,76,0,1,54.241,5686.331658
1,0,0,0,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,40.659,756.2279306
0,0,0,1,1.4,9,0.4,17,6,84,-33,86,334,36.6,34,836,0.7,38.993,512.3636364
0,1,0,0,1.4,17,0.8,17,6,167,-33,86,334,36.6,67,836,0.7,40.559,1597.99596
0,1,0,0,0.7,9,0.8,34,3,84,-33,86,667,36.6,67,418,1.4,38.995,3716.291204
1,0,0,0,1.6,13,0.6,36,3,237,61,106,527,23.2,44,969,0.2,54.174,258.9166667
1,0,0,0,0.7,9,0.8,17,3,167,-33,43,334,36.6,67,418,0.7,39.762,1062.793651
0,0,0,0,2,25,0.6,26,0,250,100,64,1,10,100,0,2,54.362,1539.76037
0,1,0,0,0.7,9,0.4,17,3,84,-33,43,667,23.3,34,836,0.7,49.901,1738.112381
0,0,1,0,0.7,17,0.4,34,3,84,-33,43,334,23.3,67,836,0.7,49.672,565.8888889
0,0,1,0,1,1,0.6,23,3,40,0,4,250,50,40,0,1.4,30.298,1152.427778
0,0,1,0,0.7,17,0.4,34,6,167,-33,43,334,36.6,67,418,0.7,37.08,1396.133333
0,1,0,1,1,3,0.6,23,3,250,0,4,250,23,100,0,1.4,47.123,9770.30467
1,0,0,0,0.7,9,0.4,34,6,167,34,86,334,36.6,34,418,1.4,39.985,1208.490278
1,0,0,0,0.7,9,0.4,34,3,84,-33,86,334,23.3,34,836,1.4,55.3,633.0769231
0,1,0,0,1.4,9,0.8,34,3,167,-33,43,667,36.6,67,836,1.4,41.605,1487.387097
0,1,0,0,1.4,9,0.8,34,3,167,-33,86,667,36.6,67,418,1.4,39.047,3836.094222
1,0,0,0,0.7,17,0.8,34,6,84,-33,43,334,36.6,34,836,0.7,43.519,472.8
1,0,0,0,1.4,17,0.8,17,6,84,-33,43,667,36.6,67,836,1.4,44.251,525.2121212
0,0,0,0,1.1,9,0.7,12,6,164,-49,68,853,38.8,22,911,1.9,59.39,683.9547619
0,0,1,0,0,1,0,26,4,63,-50,128,251,20,100,0,1,45.872,768.341033
0,1,0,0,0.7,9,0.8,17,6,167,34,86,334,36.6,34,418,0.7,38.658,4186.547561
0,0,0,0,1.4,17,0.8,34,6,167,-33,86,667,23.3,34,418,1.4,47.285,2122.994741
0,0,0,0,0.7,17,0.4,17,6,84,34,86,334,36.6,67,836,0.7,39.413,457.88
0,0,0,1,0.7,17,0.4,34,3,84,-33,86,334,23.3,67,418,1.4,46.068,1470.901149
1,0,0,0,1.3,4,0.8,17,4,30,-27,6,320,26.7,51,0,1.1,46.233,2223.883721
0,0,1,0,1.4,17,0.4,17,3,167,-33,86,667,23.3,67,836,0.7,49.64,606.0923077
1,0,0,0,1.4,9,0.4,34,3,167,-33,43,334,36.6,34,418,1.4,40.537,1117.518182
0,0,1,1,1,25,0,51,6,63,-50,0,501,10,1,0,2,51.752,1273.819108
0,0,0,1,0.7,9,0.8,17,6,84,-33,43,667,36.6,67,418,1.4,39.002,1405.125
0,1,1,0,1,3,0.6,23,3,40,0,4,1,23,40,0,1.4,45.996,2828.997024
0,1,0,0,2,25,0,26,0,250,0,64,1,50,100,626,1,19.197,1104.25
0,1,0,0,0.7,17,0.8,34,3,167,34,86,667,36.6,67,836,1.4,41.814,1241.50641
0,0,0,1,1.4,9,0.8,17,3,167,-33,86,667,36.6,67,836,1.4,41.935,552.0166667
0,0,1,1,1.2,5,0.2,0,10,43,65,21,831,50,81,0,0.9,27.509,465.94
1,0,0,0,1.4,17,0.8,17,6,84,-33,86,334,36.6,67,418,0.7,39.789,1369.333333
0,0,0,1,0.7,17,0.4,17,6,167,34,43,667,36.6,67,836,1.4,40.391,491
0,0,0,1,1.4,9,0.8,17,6,167,34,43,667,23.3,67,836,1.4,51.678,664.1761905
0,0,1,0,1.4,9,0.4,34,3,84,-33,43,334,36.6,34,836,0.7,39.051,409.6888889
0,1,0,0,1.4,17,0.4,34,3,84,-33,43,667,36.6,34,418,0.7,37.057,3500.421569
