Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
6,0,3,2,6.376724488,5.00769312
4,1,3,50,9.037629313,5.100760951
6,0,4,1,6.24014257,4.894785504
7,1,1,20,7.937150152,5.112800375
4,0,1,10,7.429866991,5.085429501
6,0,2,5,6.722670938,5.07987808
5,1,1,50,8.947271652,5.114503927
6,0,4,2,6.376724488,5.00769312
3,1,2,2,7.881933754,4.679288806
6,1,4,5,7.121688916,5.0697917
4,0,4,5,7.075885561,5.041577674
5,1,4,2,7.035667894,4.953555274
3,1,1,20,8.548710187,5.046250314
6,1,3,5,7.121688916,5.0697917
4,0,4,20,7.958239493,5.096536076
5,0,3,5,6.849711592,5.068121424
3,0,4,1,7.285531686,4.401580549
5,0,3,10,7.256642729,5.09903161
7,0,1,20,7.739753612,5.115354732
5,1,3,10,7.578983985,5.093914276
6,1,2,50,8.902718788,5.117955552
6,0,2,1,6.24014257,4.894785504
6,0,3,1,6.24014257,4.894785504
4,1,3,20,8.21162552,5.093925707
7,1,3,2,6.775695869,4.998378999
5,0,1,20,7.834932386,5.110228707
6,1,4,20,7.978390142,5.111081381
5,0,2,2,6.536861081,4.97692226
7,1,1,10,7.408083432,5.099070723
3,0,4,2,7.353587949,4.71815563
5,0,1,50,8.830730684,5.115372185
5,0,3,2,6.536861081,4.97692226
3,0,1,5,7.540786742,4.946184483
5,1,4,20,8.059182199,5.107607992
3,1,2,5,8.014260434,4.927881398
6,1,1,5,7.121699275,5.069765971
6,1,3,50,8.902718788,5.117955552
5,1,2,50,8.947271652,5.114503927
5,1,1,5,7.263907648,5.057963691
4,1,4,50,9.037629313,5.100760951
6,0,1,50,8.797687462,5.118824889
6,0,1,100,9.682815552,5.121427207
4,1,1,2,7.324189549,4.889213047
7,1,2,10,7.408083432,5.099070723
5,0,1,10,7.256642729,5.099033588
5,0,3,20,7.834932386,5.110228707
6,0,4,10,7.162582668,5.102447958
4,1,1,50,9.037629313,5.100760951
3,0,1,2,7.353605591,4.718020678
6,1,1,20,7.978390142,5.111081381
3,1,3,5,8.014260434,4.927881398
4,0,3,2,6.812883235,4.915289944
7,1,3,20,7.937150152,5.112800375
4,0,2,50,8.900257005,5.101620629
5,0,2,50,8.830730684,5.115372185
5,1,4,10,7.578983985,5.093914226
3,0,4,5,7.540786742,4.946186618
6,1,1,1,6.771397028,4.850638689
5,1,1,100,9.766851864,5.117965171
3,0,1,20,8.239068608,5.051194744
