A,B,C,A-,B-
4,4,5,11.41837972,8.441542305
7,25,4,15.57062658,11.44961151
2,35,3,10.7548875,10.60570099
7,1,5,12.39473063,6.531198275
8,19,3,15.88464752,11.81792813
1,2,5,8.113742166,4.866478395
2,2,5,8.781359714,5.841435146
7,8,5,15.31603399,7.679359363
3,15,3,11.55842071,9.260459475
3,8,4,10.87728413,8.708210224
2,64,5,11.99823782,10.37986031
8,8,3,15.23032072,10.96473646
2,35,4,11.35093918,10.65835576
6,22,4,14.5716934,11.21018897
5,64,5,14.74546425,12.64761208
5,14,3,13.12686577,10.29174742
6,8,5,14.31288296,9.170858366
4,15,3,12.35066299,9.859624439
3,14,3,11.30206767,9.014280996
1,19,4,10.07815081,7.739010861
6,15,4,14.17850925,11.03425486
1,32,5,11.03960452,8.783424695
2,22,4,11.17305246,9.136334261
3,25,4,12.04916787,10.51527408
3,16,5,11.95782756,9.621040101
4,36,2,12.86205613,12.03070176
8,4,5,15.16030477,7.802506965
5,35,3,13.61401961,13.00194029
6,8,3,13.71478213,10.59422542
5,19,4,13.48242984,10.94420462
6,19,4,14.33998915,10.79276682
5,22,4,13.71198954,11.1551998
3,64,5,12.71123677,11.29721127
6,1,5,11.43201985,6.942698771
2,4,5,9.741466986,6.77445112
0,4,5,9.019590728,4.849816643
4,35,3,12.69913863,12.15636984
4,22,4,12.84979602,10.55821909
4,32,5,13.76103174,11.00016159
5,15,4,13.30919211,10.62523982
2,22,3,10.88034881,9.129408807
2,15,3,10.58402294,8.346562042
0,15,4,9.821773982,6.445010442
2,14,4,10.57837269,8.177039855
0,22,3,10.27029533,7.178065338
6,8,4,13.44514421,10.34895612
1,8,3,9.550746785,6.980023448
0,36,1,10.65910396,8.8341948
3,19,3,11.50729912,9.434258562
3,22,3,11.7903485,9.962558736
