Max_spout,Spliters,Counters,Throughput+,Latency-
1.00E+06,2,1,38992,72496
1,1,15,4194.1,2.5676
100,2,3,18568,65.437
1,3,12,4528.8,3.0358
1,1,12,4013.8,2.5474
1000,6,12,26596,273.88
1,6,15,4645.8,2.1468
1.00E+05,3,15,20932,1579.7
1.00E+05,1,1,7473.9,53025
1,1,3,4160.1,2.6057
100,3,3,16941,65.185
10000,3,12,19488,1691.8
1000,3,12,22122,501.11
1.00E+05,1,3,18689,51009
1000,6,15,25833,251.19
1.00E+06,6,3,20812,2143
10,6,9,20066,5.0202
100,2,9,24962,43.247
100,2,18,25565,39.447
100,1,3,15515,75.825
10,3,3,14591,7.6695
1.00E+06,1,1,43406,83233
10000,6,18,26558,1099.8
1.00E+06,6,6,25226,856.82
1.00E+06,6,12,26474,976.39
10000,3,18,21380,1384.5
10,3,9,17161,6.5827
10,1,6,14870,8.1247
100,3,12,20821,56.731
1.00E+06,1,6,41953,36772
1.00E+06,2,9,47756,70551
10,3,15,17209,6.2798
10,6,15,19157,5.0006
1.00E+05,1,15,20828,41317
1.00E+05,6,3,21251,1891.2
100,1,18,20121,56.687
1.00E+05,1,12,19390,41428
100,1,12,20872,55.886
100,2,6,20814,53.103
1.00E+05,6,9,24757,1024
10000,6,12,25977,1047.6
1000,3,6,19858,549.73
100,2,1,8746,117.57
10000,1,1,9689.1,11175
1,3,3,5058.6,3.5506
1.00E+05,3,6,18216,1821.7
10,2,6,18462,6.481
100,6,3,20359,55.501
1,3,9,4786.9,2.1468
1000,2,1,8666.8,1239.5
