Max_spout,Spliters,Counters,Throughput+,Latency-
1000,1,15,23497,439.35
10000,2,9,30161,3483.2
1,6,9,4891.9,2.1503
10000,2,15,33155,2972
1.00E+06,1,15,44024,74403
1000,1,6,22015,511.62
100,2,12,26373,40.169
1000,3,15,22132,468.71
100,6,9,23142,37.915
10000,3,6,18757,1658.8
1.00E+06,6,15,25167,974.89
1,2,3,4343.6,2.381
1.00E+06,2,3,44107,94541
1.00E+05,1,15,20828,41317
100,2,3,18568,65.437
1.00E+06,2,9,47756,70551
1,2,18,4236.2,2.4647
10000,6,15,25530,1007.9
10000,3,1,8683.1,8988
1.00E+05,6,3,21251,1891.2
10000,6,9,25202,1145.3
10,6,9,20066,5.0202
1.00E+05,1,9,36900,17797
1.00E+06,6,9,26987,1218
1.00E+06,2,15,51455,87048
1,3,15,4767.6,2.2173
1000,6,15,25833,251.19
100,1,1,8511.2,135.2
100,6,6,21587,48.702
100,1,3,15515,75.825
10000,3,3,17617,1981.7
1.00E+06,1,12,54656,73740
10,2,18,19335,5.641
1,6,1,4904.2,2.1626
10000,3,15,21523,1524.7
1.00E+06,6,12,26474,976.39
10000,6,6,26660,815.83
1,6,18,4688.1,2.2277
10,3,1,8219.4,13.865
10000,2,1,7431.5,13541
1.00E+05,6,12,26315,928.18
100,3,9,21448,54.396
10000,6,1,21157,1439.6
10,6,12,19528,4.9185
1.00E+05,2,12,31491,29871
10000,1,1,9689.1,11175
1.00E+06,1,6,41953,36772
100,2,18,25565,39.447
1.00E+05,1,6,27212,25993
1.00E+05,3,18,21527,1635.1
