F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing,NumberIterations-, TimeToSolution- 
1,1,0,0,0,0,1,0,1,65,55,0,4,7,107.315
0,1,0,0,1,1,0,0,1,50,45,5,5,18,305.35
0,1,0,0,1,0,1,0,1,50,60,2,6,6,113.803
1,1,0,0,0,0,1,0,1,90,55,4,5,6,166.752
0,1,0,1,1,0,0,1,1,85,20,3,7,4,104.119
0,1,0,0,1,0,0,1,1,10,80,7,7,4,125.498
1,1,0,1,0,0,0,1,1,65,70,0,3,7,86.165
0,1,1,0,1,0,0,0,1,55,85,6,0,7,79.33800001
0,1,0,1,1,1,0,0,1,60,40,0,6,13,149.319
1,1,0,1,0,1,0,0,1,90,15,8,2,30,730.735
1,1,0,1,0,0,1,0,1,35,65,5,1,8,159.447
1,1,0,1,0,0,0,1,1,85,90,4,5,4,109.046
1,1,0,1,0,0,0,1,1,75,30,1,3,5,74.69
1,1,0,1,0,0,0,1,1,75,45,2,1,5,64.046
1,1,0,0,0,0,0,1,1,80,35,1,2,6,78.457
0,1,0,0,1,1,0,0,1,25,65,7,3,501,9298.015
1,1,0,0,0,0,1,0,1,80,70,7,4,6,198.966
1,1,1,1,0,0,0,0,1,80,75,8,8,5,164.323
0,1,0,1,1,0,0,1,1,85,30,1,5,5,74.303
0,1,0,1,1,0,0,1,1,75,45,6,4,4,99.943
1,1,1,1,0,0,0,0,1,75,70,4,8,4,99.71900001
1,1,0,0,0,0,1,0,1,55,60,3,2,6,105.989
0,1,0,1,1,1,0,0,1,55,70,5,5,7,134.066
0,1,0,0,1,0,1,0,1,80,70,7,3,7,160.173
1,1,0,1,0,1,0,0,1,60,75,0,6,9,134.517
1,1,1,1,0,0,0,0,1,85,50,4,7,5,119.619
0,1,0,1,1,0,0,1,1,85,5,8,1,4,92.985
1,1,0,1,0,0,1,0,1,70,70,3,1,9,139.788
1,1,0,0,0,0,1,0,1,25,70,3,3,10,214
0,1,0,0,1,0,1,0,1,60,40,8,2,5,129.828
1,1,1,1,0,0,0,0,1,50,90,5,4,5,97.983
0,1,1,0,1,0,0,0,1,75,20,3,6,11,175.583
1,1,1,0,0,0,0,0,1,70,20,1,1,41,310.767
1,1,1,0,0,0,0,0,1,45,85,5,3,6,111.786
1,1,0,1,0,1,0,0,1,70,40,2,5,8,139.913
1,1,0,0,0,0,1,0,1,85,10,2,0,5,51.879
0,1,1,1,1,0,0,0,1,55,85,8,4,5,98.262
0,1,0,0,1,0,0,1,1,85,65,7,5,6,170.196
1,1,0,0,0,1,0,0,1,85,45,1,5,29,431.285
1,1,0,0,0,0,0,1,1,80,55,6,0,5,102.186
1,1,0,1,0,0,0,1,1,70,35,5,1,5,101.269
1,1,0,0,0,0,1,0,1,10,85,0,5,60,1025.494
1,1,0,0,0,0,0,1,1,30,65,4,8,6,209.631
0,1,0,1,1,0,1,0,1,60,60,5,8,5,141.222
1,1,0,0,0,0,0,1,1,70,35,1,8,4,113.198
