Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-
3,10,1,1,1,1000,7526.9,43.943
3,10,10,1,12,10,14178,22.543
3,10000,1,3,12,1000,16260,30580
3,10,2,2,3,1000,15291,22.017
3,1000,100,1,1,10,9762.6,3718.5
3,1000,10,2,3,1000,14747,1804.1
3,10,3,3,3,1000,17960,18.077
3,1,3,2,12,10,5081.9,6.0266
1,10000,3,2,12,1000,32007,2827.5
1,2,100,3,6,1000,184.19,101.13
1,1,1,6,6,10,2842.4,7.6576
3,10000,100,6,6,1000,8816,34806
3,2,2,6,12,1000,8996.9,6.8026
1,1000,3,2,6,1000,18836,573.42
3,1000,3,1,12,10,20538,2715.2
1,2,3,2,3,10,3298.7,6.0386
1,10000,3,3,1,1000,4747.8,16817
3,1000,10,6,6,100,29598,1529.5
1,1,100,2,12,100,98.471,100.34
3,1000,2,1,6,100,17621,2939.5
3,10000,10,6,12,1000,10689,32262
1,100,10,3,6,100,14107,71.127
1,1,10,3,1,10,893.82,11.198
3,10,10,6,12,1000,17056,20.045
3,100,1,2,3,1000,11894,273.92
3,2,10,1,6,1000,5407.1,11.404
3,100,1,6,3,1000,13712,243.56
1,10,10,3,6,1000,7784.9,13.092
3,100,10,2,6,10,15543,216.92
3,1000,2,6,3,100,18689,2434.2
3,10000,2,1,1,100,5375.2,43932
3,10000,1,6,1,100,5494.1,47411
3,1,1,6,3,10,6977.6,4.3121
1,10000,1,3,12,1000,18988,4942.6
3,1000,10,6,6,10,28324,1375.1
1,10000,2,2,6,1000,28764,3834
3,1000,100,2,12,100,29354,1255.9
3,1,100,6,6,10,276.47,100.4
1,10,100,3,6,100,916.5,100.54
1,1,1,6,3,100,3011.1,3.4513
3,100,3,1,3,100,12871,257.63
3,10000,3,6,6,100,8156,31993
3,2,3,1,6,1000,8349.3,7.7424
1,1,2,1,3,1000,2059.6,5.0699
1,10,100,3,3,1000,891.71,100.54
1,1,2,6,12,100,2224.8,4.3703
3,1,3,1,12,10,4621.1,6.4503
1,1,100,2,6,100,107.41,100.44
1,1000,3,3,1,10,10335,989.83
3,1,100,1,3,1000,285.44,100.4
1,1000,10,3,1,10,10148,1024.5
1,100,3,1,1,10,9265.7,112.11
1,100,100,6,12,1000,7929.9,118.29
1,1,3,3,1,100,2119.5,4.8406
3,100,100,1,1,1000,9185.5,361.7
3,2,100,1,3,10,558.81,100.33
1,100,100,1,12,1000,8643.9,121
1,10,2,1,1,100,8744,11.807
3,2,3,1,6,100,8341.2,7.5625
3,1000,2,3,1,10,3625.2,13867
3,1000,10,3,1,1000,3668.5,12102
3,2,2,3,3,100,10172,6.1076
1,1,1,3,3,10,3016.6,3.5633
3,1,3,1,12,100,4523.5,6.5791
1,10000,2,6,3,1000,25933,4129.4
1,1,2,1,1,10,1949.9,5.49
1,2,3,6,3,1000,3627.4,5.4572
1,10000,100,6,6,100,29652,3484.9
1,100,10,1,12,1000,15945,67.393
3,100,3,6,12,1000,19946,182.83
3,100,1,2,1,1000,8285.1,403.91
3,10000,2,6,12,100,8706.8,25140
3,10,3,6,12,10,17814,18.043
3,10,10,3,6,1000,17778,19.997
3,10000,100,2,1,10,6044,36854
3,10000,10,1,12,1000,6158.2,42122
1,10,1,2,3,1000,13513,7.7715
3,10,100,1,3,100,2777.6,106.54
1,10,2,3,6,1000,13284,8.2758
1,1000,1,1,6,100,15885,668.82
