Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
7,0,2,5,6.656067274,5.083255384
6,0,4,10,7.162582668,5.102447958
3,0,1,5,7.540786742,4.946184483
3,0,2,100,9.858304322,5.066162087
4,0,3,50,8.900257005,5.101620629
7,0,1,100,9.672985692,5.123159887
7,1,2,1,6.673217192,4.878750454
4,0,1,2,6.812883235,4.915280585
3,1,2,2,7.881933754,4.679288806
4,0,4,50,8.900257005,5.101620629
6,0,1,10,7.162582668,5.102447958
4,1,4,5,7.513253856,5.031756014
5,1,3,100,9.766851864,5.117965171
5,0,2,2,6.536861081,4.97692226
5,1,2,5,7.2638701,5.058114363
3,1,4,5,8.014260434,4.927881398
7,1,3,10,7.408083432,5.099070723
7,0,1,10,7.113783832,5.104157682
5,1,2,2,7.035667894,4.953555274
5,0,3,2,6.536861081,4.97692226
3,1,3,5,8.014260434,4.927881398
6,1,2,5,7.121688916,5.0697917
6,0,3,50,8.797687462,5.118824889
4,0,4,1,6.713324647,4.726992878
7,1,1,50,8.880039571,5.119684617
3,1,1,20,8.548710187,5.046250314
3,1,1,1,7.836833049,4.309193816
7,1,3,1,6.673217192,4.878750454
6,0,4,5,6.722670938,5.07987808
5,0,4,1,6.415403762,4.837142461
4,1,4,2,7.32378437,4.892895336
3,1,3,100,9.965784285,5.066154451
4,0,2,10,7.429866991,5.085422986
3,0,2,20,8.239068608,5.051194744
5,0,2,1,6.415403762,4.837142461
4,0,1,20,7.958239493,5.096536076
4,0,4,100,9.746890481,5.104194403
6,0,1,20,7.772288178,5.11366646
5,0,1,20,7.834932386,5.110228707
6,1,2,2,6.867241668,4.983829961
5,1,4,5,7.2638701,5.058114363
4,0,4,2,6.812883235,4.915289944
4,0,2,2,6.812883235,4.915289944
6,1,4,50,8.902718788,5.117955552
5,1,3,20,8.059182199,5.107607992
6,1,1,2,6.867254025,4.983722136
4,0,1,50,8.900257005,5.101620629
6,0,1,2,6.376724488,5.007683559
5,1,3,2,7.035667894,4.953555274
5,0,4,20,7.834932386,5.110228707
4,1,1,100,9.824529208,5.104190483
6,0,2,2,6.376724488,5.00769312
4,1,2,1,7.254650728,4.68779634
7,1,2,10,7.408083432,5.099070723
5,0,4,5,6.849711592,5.068121424
7,0,2,1,6.144515496,4.923426501
5,0,1,1,6.415403762,4.83712609
5,1,4,100,9.766851864,5.117965171
6,0,1,100,9.682815552,5.121427207
3,0,2,2,7.353587949,4.71815563
