A,B,C,D,E,F,G,H,I,J,K,A-,B-
1,0,0,1,0,1,0,0,1,1,0,239.37,28
1,0,1,1,1,1,1,0,1,0,0,221.86,29
1,1,1,0,1,1,0,1,0,1,0,242.55,15
1,1,1,1,1,1,1,0,1,1,0,248.02,28
1,1,1,1,1,1,1,0,0,0,0,208.92,29
1,0,0,0,0,1,0,1,0,1,1,245.79,16
1,1,0,0,1,1,1,0,0,0,1,216.87,28
1,1,1,0,1,1,1,0,1,0,1,235.96,28
1,0,0,1,1,1,0,1,1,0,0,228.86,19
1,0,1,1,1,1,1,0,0,0,0,205.47,29
1,1,1,1,1,0,1,1,0,1,0,243.78,15
1,0,1,1,1,0,0,1,1,1,1,261.44,19
1,0,0,0,1,1,1,1,0,0,0,213.41,15
1,0,1,1,1,1,1,0,1,0,0,223.52,29
1,1,0,0,0,0,0,1,1,0,0,227.01,18
1,1,1,1,1,0,1,1,0,1,0,240.83,15
1,1,0,0,1,0,0,1,0,0,1,259.39,11
1,1,0,1,0,1,0,0,0,1,1,235.85,28
1,1,1,1,1,1,0,1,0,0,0,218.62,14
1,1,1,1,1,1,1,0,1,0,0,225.16,29
1,0,1,0,1,0,0,1,0,0,1,246.13,14
1,0,1,1,1,1,0,1,0,1,0,237.04,15
1,1,1,1,1,1,1,0,0,0,1,219.31,28
1,1,1,1,1,1,1,1,1,1,1,268.55,19
1,0,1,1,1,1,0,1,1,1,1,264.93,19
1,1,0,0,0,0,0,0,0,1,1,232.62,28
1,1,1,1,1,0,1,0,0,1,0,231.31,28
1,0,0,1,0,0,0,0,0,0,0,199.95,26
1,0,1,1,1,0,1,0,0,0,1,219.05,29
1,1,1,1,1,0,0,0,0,0,1,219.5,26
1,1,1,1,1,0,0,1,1,0,0,232.52,18
1,1,1,0,1,0,0,1,1,0,1,248.9,16
1,0,1,0,1,1,1,0,0,0,0,206.12,29
1,1,1,0,1,1,1,0,0,0,0,206.23,29
1,1,1,0,1,0,1,0,1,0,1,234.38,28
1,0,1,1,1,0,1,0,1,0,0,220.86,29
1,1,0,0,0,1,0,0,0,0,0,201.83,29
1,1,1,1,1,1,1,0,1,0,1,236.74,28
1,1,1,0,1,0,0,0,0,0,1,216.64,26
1,0,1,1,1,0,0,0,0,1,0,224.73,29
1,1,0,0,1,1,1,0,1,1,0,246.16,28
1,1,0,1,0,1,0,0,1,0,0,220.57,29
1,1,1,1,1,1,1,0,0,1,1,241.23,28
1,0,0,1,1,0,1,1,0,1,0,235.03,15
1,1,1,0,1,0,0,1,1,1,0,253.05,19
1,0,0,1,0,1,0,0,1,0,0,218.56,29
1,1,0,0,1,1,0,0,1,1,0,245.2,28
