Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-
1,1000,12,1,1.00E+07,10000,53296,172.52
1,100,15,120,1.00E+05,1.00E+05,20796,38.663
1,10,3,300,2.00E+06,1.00E+05,38199,2.0488
1,1000,18,300,1.00E+05,10000,60427,115.9
3,10000,2,300,1.00E+06,1.00E+05,38676,8568.1
1,10000,1,300,2.00E+06,1000,3005.9,25016
3,1000,3,60,1.00E+06,1000,1.28E+05,186.03
1,10000,1,1,2.00E+06,1000,2842.8,25722
3,10,18,1,1.00E+07,1000,9713.4,139.29
1,1000,3,120,1.00E+05,1.00E+05,75490,93.597
1,100,12,120,1.00E+05,10000,39312,19.574
1,100,18,10,1.00E+06,10000,22891,37.537
3,1000,12,60,1.00E+05,10000,1.27E+05,186.16
1,10,1,300,1.00E+07,1.00E+05,1144.8,83.837
3,100,6,60,2.00E+06,1.00E+05,37581,67.819
3,10,1,10,1.00E+05,1000,5969.8,42.454
1,100,9,120,1.00E+07,1000,36373,22.438
3,1000,3,300,1.00E+07,1.00E+05,1.23E+05,198.47
1,10,1,1,1.00E+06,1000,12273,5.1952
3,100,18,120,1.00E+06,10000,37809,67.104
1,10000,2,300,1.00E+07,1000,5818.5,13204
1,10,2,60,1.00E+05,10000,11676,7.9952
1,10000,12,120,1.00E+06,1000,1.70E+05,420.69
1,100,9,300,1.00E+05,1.00E+05,38642,19.373
3,10000,6,300,1.00E+07,10000,2.17E+05,1219.1
3,10,9,300,1.00E+06,1000,14463,19.017
3,10,9,1,2.00E+06,1000,15982,17.026
3,1000,9,60,1.00E+07,10000,1.26E+05,233.54
1,10,9,10,1.00E+05,10000,37133,2.3072
3,10000,6,60,1.00E+07,10000,2.03E+05,1114.7
3,10000,1,10,1.00E+06,1000,6817,24221
3,100,18,60,1.00E+05,1000,39857,65.3
3,10000,12,60,1.00E+06,10000,2.03E+05,1073.4
3,10,18,1,1.00E+07,10000,9045.7,108.41
1,100,6,120,1.00E+07,10000,38612,24.356
3,100,2,60,1.00E+07,1.00E+05,10886,7761.2
3,100,1,1,1.00E+07,1000,6750.6,454.06
3,100,15,300,1.00E+07,1000,36588,92.761
3,100,2,1,2.00E+06,10000,15710,915.38
3,10000,15,10,1.00E+07,10000,2.03E+05,1467.6
1,1000,3,60,1.00E+05,1000,73792,94.957
3,100,2,10,1.00E+06,1.00E+05,11373,7819.9
1,10,12,300,2.00E+06,10000,36631,2.1988
3,10,6,60,1.00E+06,1.00E+05,15786,16.897
1,10000,9,120,2.00E+06,1000,1.48E+05,418.8
1,1000,12,10,2.00E+06,1.00E+05,66608,118.73
3,1000,12,1,2.00E+06,1.00E+05,1.36E+05,182.77
1,1000,6,1,1.00E+05,10000,73337,85.511
1,1000,1,300,1.00E+07,10000,418.41,21701
1,100,6,10,2.00E+06,1000,36621,20.299
3,100,6,1,1.00E+05,10000,36418,65.099
3,100,9,1,2.00E+06,1.00E+05,38857,67.282
1,10,9,1,2.00E+06,1000,35150,2.547
1,10,2,300,1.00E+05,1000,28697,3.555
3,100,12,60,1.00E+06,10000,39975,65.031
1,1000,18,300,1.00E+07,1000,57280,249.23
1,10,6,10,1.00E+06,1.00E+05,35664,2.3131
1,10,2,1,1.00E+05,1.00E+05,318.28,128
3,1000,9,10,1.00E+07,1.00E+05,1.31E+05,206.83
3,1000,3,300,1.00E+05,1000,1.30E+05,188.73
3,10000,6,120,1.00E+06,1000,2.07E+05,1105.5
1,10,15,300,1.00E+06,1.00E+05,37356,2.1202
3,100,1,300,1.00E+05,1000,6370.5,419.43
3,1000,9,10,1.00E+05,1000,1.31E+05,189.42
3,100,2,300,1.00E+06,1000,25413,143.38
3,100,6,300,1.00E+05,1.00E+05,41991,64.082
1,10000,1,120,1.00E+07,1.00E+05,2669.8,28489
1,1000,6,1,1.00E+06,10000,73049,93.515
3,100,15,10,1.00E+05,1000,41737,62.524
3,100,6,120,1.00E+06,1.00E+05,38372,68.238
1,100,3,10,2.00E+06,10000,37337,19.114
3,100,1,60,1.00E+06,1000,6650.8,428.11
3,100,1,120,2.00E+06,1.00E+05,87.4,23256
3,10000,18,1,1.00E+06,1000,2.08E+05,1113.1
3,10,2,300,1.00E+06,1000,10477,26.631
1,100,3,60,1.00E+06,10000,38574,19.529
1,10,15,120,1.00E+07,1.00E+05,36128,2.4108
1,10,18,1,1.00E+06,1000,35812,2.2283
1,1000,3,300,1.00E+06,10000,78027,101.04
1,1000,3,300,1.00E+07,1000,75818,100.25
