Spout_wait,Spliters,Counters,Throughput+,Latency-
10,5,5,16406,195.69
4,4,14,18605,180.45
100,6,18,20398,177.98
1000,6,14,3250.2,773.71
6,3,6,16480,214.24
6,5,11,19788,174.54
1000,1,7,3058.1,941.23
4,4,16,20060,174.71
9,5,5,16561,208.98
4,5,1,9560.1,368.29
8,6,8,17809,196.96
10000,3,7,607.29,6151
7,4,3,15573,219.55
6,4,4,15740,221.27
3,6,13,19814,191.11
9,6,16,21176,174.91
10000,2,13,561.06,6205.9
4,6,14,20253,184.74
6,1,1,9179.4,350.32
1,5,7,15979,201.95
4,6,15,20591,173.86
8,1,13,15152,229.64
10,2,6,15517,215.88
8,5,3,16116,201.93
9,6,5,16678,186.04
8,4,4,16226,205.96
1,5,5,14958,230.14
10000,3,5,667.35,5665.9
1000,4,5,3062.4,801.36
6,6,16,21221,171.2
7,3,1,9545.5,343.65
3,6,8,17687,205.63
8,6,1,9805.8,335.85
4,6,9,18203,187.03
5,1,17,17414,189.04
2,6,4,14834,221.29
5,3,9,18218,184.29
2,4,3,14814,214.45
10,2,15,18707,198.29
4,2,18,17820,189.06
1,1,2,10818,316.58
6,2,9,16277,212.64
6,1,8,15459,211.54
4,4,18,20710,177.62
1,1,4,11537,292.69
4,1,6,13797,237.17
8,5,10,19032,170.73
10,1,10,14225,221.94
10,1,9,13426,241.89
1,4,9,15607,205.96
100,6,16,20132,172.29
9,1,4,12969,266.64
1000,3,14,3084.3,819.15
9,1,5,15014,216.29
1000,1,4,2954.8,948.42
5,2,11,17492,212.48
5,3,6,16482,209.67
10000,2,4,564.53,5758.6
6,4,8,16981,207.94
3,4,6,16214,210.27
8,4,17,21847,168.13
5,4,4,15607,224.25
8,5,9,18941,172.92
3,1,2,12297,275.28
100,3,7,17151,198.51
5,3,11,18113,200.19
7,1,17,19227,166.98
2,6,11,18076,195.47
7,5,1,9911,358.43
100,5,1,9295.4,336.72
1,1,5,12999,237.04
10,6,5,16330,216.8
5,5,16,19334,173.59
7,2,13,19275,172.32
5,2,6,14275,224.04
7,3,16,20476,191.77
8,6,11,19933,180.42
6,6,11,19495,190.78
3,1,1,8220.5,404.54
3,4,3,14792,209.99
5,5,15,20974,175.37
4,4,11,19209,184.26
2,5,14,18567,192.2
1,1,18,12962,253.55
5,4,5,15775,205.4
8,5,14,19344,181.95
2,1,1,8337.3,394.28
6,2,3,13566,246.83
4,2,4,15091,228.56
8,2,11,18609,179.77
1,2,13,16286,186.2
2,2,5,14916,228.45
1000,6,15,3185.1,756.12
7,3,9,18581,183.62
10000,1,5,579.53,4820.2
7,6,12,20069,186.99
4,2,16,19167,188.14
1,5,12,18590,193.02
8,5,7,17365,185.84
100,3,16,19475,186.05
1,6,18,19152,183.64
6,3,15,19994,159.31
1,1,12,12239,263.31
6,2,12,16895,181.01
4,4,13,20134,170.21
10000,2,9,579.38,6812.1
100,3,9,18875,189.26
100,5,17,21070,157.21
2,3,6,15960,224.49
8,2,17,19245,185.93
9,4,2,12555,258.72
100,4,14,19635,169.76
8,1,15,14442,214.87
9,1,7,13780,233.4
3,3,14,18144,200.7
2,5,1,8853.8,354.76
10000,3,3,392.71,8358.5
5,2,7,16747,198.78
9,3,17,22430,160.14
1000,5,18,3117.1,745.67
1,4,4,14204,250.52
4,2,15,17926,192.56
9,4,7,16573,197.92
1000,5,12,3404.9,747.75
7,1,1,8941.5,376.93
1000,5,15,3213.4,735.29
6,3,18,20402,185.48
3,2,12,16383,207.91
10,5,6,16840,201.65
9,4,15,20460,187.65
10,4,2,13128,240.19
3,5,11,18177,200.89
8,6,15,21615,163.52
8,3,12,20028,192.44
10,3,4,15512,212.82
2,5,15,19421,191.47
1,5,8,15568,227.4
10,4,15,22101,187.55
6,5,10,20095,176.3
10,4,18,21246,167.25
9,5,12,19708,158.53
6,4,10,19286,163.71
9,1,14,17554,185.15
5,1,16,14622,220.23
6,1,12,13749,224.36
4,5,17,21488,169.08
1000,3,11,3056.1,795.38
5,5,7,17570,193.77
6,4,14,18883,171.99
7,1,7,13422,250.23
1,1,15,13164,244.6
1000,5,7,3257.4,806.53
1000,4,4,3291.8,780.65
5,3,14,18353,203.26
5,1,7,13024,249.22
10000,1,16,394.88,7252
8,5,11,19579,194.19
3,1,9,13297,252.01
6,1,13,14391,220.76
3,4,8,17333,198.12
3,3,12,19040,187.35
2,4,8,17221,203.77
9,4,9,18358,167.79
5,2,9,16802,216
10,6,1,9863.8,337.42
6,5,15,21082,177.91
9,1,8,16708,188.86
3,5,10,18636,168.4
10,6,3,16316,193.64
5,3,16,19893,175.26
3,5,8,16913,195.85
2,1,16,14072,225.86
4,5,18,20166,155.54
7,2,3,14373,227.96
100,2,12,17963,178.49
8,1,16,14363,221.96
1000,3,2,3145.2,895.01
1,4,14,17538,188.25
4,4,9,17973,201.85
6,4,1,8935.8,332.06
4,2,7,16783,211.13
2,1,17,16256,194.45
4,6,1,9039.4,344.91
8,1,5,14983,218.91
1000,5,8,3154.5,776.68
100,4,8,16940,195.91
3,5,5,15810,228.3
6,6,10,19108,179.76
4,3,10,18983,190.41
9,5,16,20168,176.73
7,1,5,13982,226.03
1,2,9,15377,217.16
5,1,8,15183,200.64
10,3,1,10182,325.3
10000,3,1,416.31,7782.2
10,5,14,19812,180.47
7,1,2,12715,254.45
9,2,7,15720,204.86
10,3,14,19013,177.87
2,6,5,15850,234.81
6,5,16,19668,167.11
100,6,7,17561,192.48
3,4,17,20636,180.59
3,5,2,12773,243.79
1000,4,7,3122.1,801.62
9,5,17,22419,176.65
6,1,4,12759,258.19
1,1,13,12596,260.77
100,2,8,17503,204.08
5,4,17,21595,165.35
10,3,10,19847,178.65
4,3,3,14984,212.78
1000,3,5,3100.2,801.39
100,1,11,18255,169
9,4,14,18716,181.76
7,2,2,12429,247.83
3,6,2,12603,237.77
7,1,8,15818,197.06
1000,1,15,2987.4,917.76
10000,1,18,402.53,8797.5
4,5,8,17204,204.36
2,3,13,18608,221.8
3,3,10,18421,177.34
1000,3,3,3096.6,882.97
1,3,11,17484,196.27
3,1,7,12308,255.93
2,5,12,17881,182.27
2,1,3,12804,250.71
4,2,6,14720,224.19
9,5,8,17788,206.04
7,3,13,19717,169.4
8,3,17,21004,165.18
1000,5,6,3393.4,781.84
10,3,18,21021,151.23
8,6,18,22323,173.09
4,1,13,14385,228
1000,2,13,3050.5,848.72
6,2,17,20425,167.99
4,1,15,14354,232.15
6,6,6,16882,195.61
100,5,10,19647,169.28
5,1,15,14763,208.71
10000,3,9,642.12,5976.3
8,3,8,17876,200.75
100,2,14,19076,175.27
1,3,12,18268,200.34
7,3,12,19484,174.59
2,4,17,19333,176.63
2,5,4,15386,225.32
1000,2,6,2981.1,829.61
5,5,18,21489,165.71
1,6,3,13978,239.83
7,6,11,19409,183.12
3,3,3,14959,228.82
10,1,2,12554,267.27
2,1,15,13883,240.04
7,6,18,21098,166.01
1,1,9,12168,268.84
2,2,18,17493,186.91
7,6,17,22171,171.01
9,1,9,13854,236.01
9,1,16,14631,214.6
4,2,12,16121,199.59
10000,2,8,470.94,6694.7
4,6,11,18891,183.68
4,6,16,20451,171.79
7,2,10,18753,182.53
5,2,18,17639,179.81
100,3,15,20907,163.76
6,1,11,15407,209.92
7,6,9,18573,185.3
8,1,14,17062,185.28
9,6,8,18180,199.41
2,1,14,16567,199.75
9,2,3,13946,233.96
7,3,4,15222,217.56
2,3,3,14913,221.1
7,4,13,20307,183.41
4,1,8,14252,206.88
1000,3,18,3138.6,775.97
2,1,13,13554,237.44
1000,3,8,3105,818.54
10,2,3,14577,228.04
100,6,5,16328,208.73
9,4,13,20225,174.24
10,4,14,18964,170.48
3,1,16,12693,247.98
6,3,16,19435,217.76
1000,6,6,3196.8,792.48
10000,2,5,567.93,6402.4
9,6,15,21237,150.5
8,1,6,13287,239.06
7,2,17,20673,183.41
1000,4,13,3321.6,772.51
3,5,14,19311,222.4
1,3,5,14845,232.94
8,2,3,14062,240.61
7,4,17,21406,166.54
100,3,13,19581,175.88
1000,6,2,3207.9,851.97
5,5,2,12719,245.87
1,2,12,15830,208.02
9,2,4,15208,213.92
9,1,11,17740,180
100,5,8,18330,196.8
2,2,9,15583,232.8
7,1,4,12233,269.46
10,1,16,14224,225.61
1,6,6,15571,221.22
1000,3,16,3035.6,816.61
5,3,2,12760,243.76
100,4,10,18951,185
1,5,4,14629,253.32
10000,1,8,515.12,6573.1
8,6,14,19744,205.88
10,3,2,12344,243.08
6,4,9,18031,196.48
5,5,10,20077,177.23
1,6,13,17982,185.49
2,1,10,13940,226.85
1,2,5,14658,247.88
7,5,5,15925,228.68
10,6,6,17375,181.86
1,2,7,15192,214.55
7,1,16,14295,229.42
4,4,3,15042,210.11
8,4,7,17134,210.88
2,2,13,17908,207.82
7,5,4,15851,213.26
4,2,5,15360,219.72
4,2,8,16881,207.97
