Max_spout,Spliters,Counters,Throughput+,Latency-
100,3,2,51763,19.574
1.00E+06,2,8,80544,30348
10000,6,4,43014,743.21
10000,3,16,57894,753.81
100,1,1,45494,22.179
1.00E+05,5,1,28325,1347.7
10000,6,8,48377,453.5
100,6,4,43909,22.236
10000,6,14,47003,494.8
10,4,14,30010,3.389
10000,4,5,44606,876.83
10,5,7,29903,3.374
1000,5,1,30328,339.94
1,2,11,5378.1,1.8613
10,1,11,27273,3.5566
100,6,14,48914,19.031
1000,5,17,59520,172.09
1,1,15,5257.5,1.9272
100,5,3,40247,25.347
1.00E+06,5,2,36078,1020.6
100,1,2,46286,22.103
1.00E+06,3,10,56862,827.55
1,6,3,7680.7,1.3299
1000,6,11,48956,174.12
10000,1,9,64300,1468.8
10000,1,16,65010,1635
1.00E+05,4,18,52242,883.67
100,3,10,54352,18.575
1000,4,4,43890,231.82
100,2,18,55966,16.927
1.00E+05,2,17,83057,10676
100,5,11,53875,18.737
100,3,4,45557,23.217
10,2,9,30945,3.2195
1.00E+05,1,1,45189,20990
1000,5,8,55600,183.07
1000,6,17,44658,195.48
10,4,17,28135,3.5179
10,3,13,29956,3.3254
1000,6,12,48093,174.74
1.00E+05,1,9,67355,14309
10000,3,9,57998,731.92
1.00E+05,3,6,54630,831.75
10,6,11,30909,3.222
100,3,18,54581,18.323
10000,2,8,57685,1722
1,6,6,7767.2,1.3184
1000,4,10,55124,184.06
1.00E+05,3,3,43551,806.48
10000,5,3,36517,981.23
