Spouts,Max_spout,Spout_wait,Spliters,Counters,Netty_min_wait,Throughput+,Latency-
1,10000,1,2,12,100,26472,3682.6
1,1000,10,6,3,100,17546,646.56
1,100,2,1,6,1000,13395,81.28
3,100,2,1,12,1000,13080,256.78
1,1,3,2,3,100,1757.4,6.0619
3,2,10,2,12,1000,5344.5,11.184
1,10,100,1,1,10,956,101.14
3,2,1,2,1,10,9388.9,7.2082
1,2,100,3,3,10,186.62,100.63
1,1,10,2,3,100,902.41,10.809
1,10,3,1,6,100,11098,9.149
1,10,3,2,1,10,10230,10.198
3,100,2,3,6,1000,15727,215.44
3,10000,3,6,1,10,7034.4,47430
3,1000,100,6,12,10,28957,1266.4
1,100,2,6,12,10,14892,71.85
1,10,100,2,6,10,920.56,101.34
1,2,10,3,1,100,1778.8,11.025
1,1,100,3,6,100,94.235,100.4
3,10000,1,2,6,1000,11521,27535
1,1,100,6,6,10,88.353,100.38
1,10000,2,2,12,1000,28688,6924.2
1,1,3,6,12,10,1943.5,5.2083
3,1,2,6,6,100,6036.6,4.8592
1,1,2,3,1,100,2218.6,4.5089
3,1000,100,1,1,10,9762.6,3718.5
3,100,10,2,3,1000,14304,236.95
1,100,1,2,3,10,14085,73.065
3,1000,1,3,1,10,3322.6,13315
3,1000,3,2,1,1000,4347.9,7708
1,10,3,6,12,1000,10709,9.6064
3,100,3,2,1,100,9270,373.52
3,2,3,1,1,1000,7403.9,8.5637
1,100,2,3,1,10,8640.6,114.99
3,1,3,6,1,1000,5881.9,5.2794
3,10000,1,1,1,100,7331.8,44668
1,100,100,1,1,100,7602.1,138.14
1,1,2,6,6,1000,2230.9,4.3968
1,10,10,6,12,1000,7237.4,15.064
1,10000,1,2,6,10,29862,4050.5
3,1000,2,3,3,1000,18842,2444.5
1,1000,2,6,1,10,9857.3,1076
1,10000,1,3,12,100,15671,5539.5
1,10000,3,6,1,1000,4924.7,14717
1,2,2,2,12,1000,3655.6,5.4408
3,2,10,2,3,10,5337,11.008
3,2,2,3,6,100,9706.9,6.3791
3,1000,10,3,12,1000,32588,1289.7
3,1,2,6,3,10,6546.4,4.8803
1,1,3,2,1,100,1712.3,5.8506
1,10,100,6,1,100,945.12,100.52
1,10,100,3,6,10,919.29,99.636
1,10000,3,3,3,1000,17252,5314
1,10,2,2,6,1000,11728,8.3824
3,2,100,2,1,10,523.24,101.03
1,2,1,1,1,10,4024.2,4.9752
3,10000,2,3,6,1000,11105,30305
1,100,10,3,3,100,13082,81.377
3,10000,100,2,12,100,12530,28225
3,1000,10,2,3,10,17863,2534.9
1,100,3,3,1,1000,8619.3,117.75
1,100,3,1,12,10,15994,64.588
3,100,2,6,12,100,18959,186.44
1,10,2,2,3,1000,12781,8.1943
1,1000,2,1,6,10,15908,646.97
1,1000,2,6,3,10,16541,674.03
3,100,1,3,12,10,18615,204.57
1,2,3,6,3,10,3512.2,5.4395
3,1,100,1,12,100,284.18,100.4
3,1000,100,6,3,10,20680,1926.7
1,10000,1,2,3,100,9995.2,10803
1,10,100,3,12,10,925.71,101
1,100,100,1,12,10,8875.2,113.05
1,10000,100,1,6,100,22731,4766.5
3,10,3,3,3,10,18356,19.573
3,1,100,3,3,100,269.31,100.38
3,1,1,1,3,10,5813.7,4.9987
1,2,10,3,3,100,1821.2,10.765
3,2,10,3,3,100,5404.4,10.865
3,1000,10,1,12,100,20123,1860.2
