Max_spout,Spliters,Counters,Throughput+,Latency-
1000,1,12,22722,494.29
100,1,3,17561,66.278
1000,3,9,20589,537.34
1000,2,12,33903,348.49
1,3,3,4742.8,2.2434
1.00E+06,1,3,43144,77076
1.00E+05,1,3,17260,57080
10,3,12,15038,7.0763
1,2,12,4224.6,2.4514
10000,1,9,18112,6255.3
10,1,1,7494.8,15.267
100,1,18,21201,51.009
10,2,15,18564,5.822
10000,1,3,16015,6876.6
1.00E+05,1,18,20186,46405
1.00E+05,6,15,26714,985.57
10,1,9,12787,8.5116
100,2,1,7677.3,137.63
1.00E+05,1,12,17814,49666
1000,3,12,20562,523.63
10000,6,18,25694,828.89
1.00E+06,2,18,63113,76115
1.00E+05,3,18,17900,1829.9
100,6,6,21305,46.838
1,1,3,4098.6,2.5385
1.00E+05,1,6,18566,51016
10000,3,15,18857,1717.1
10,3,15,15777,6.9694
1,2,18,4229.9,2.4561
1.00E+06,3,15,20226,1784.3
10,6,1,7599.1,13.874
1,1,12,4032,2.6341
10000,3,6,16018,2153.4
100,2,6,21809,52.464
1000,2,6,28725,399.13
10,2,9,18656,5.6942
10000,1,6,18745,5990.6
1000,3,18,21098,501.84
10,2,6,17445,6.2931
1000,2,3,22093,522.18
1,2,15,4192.9,2.5676
10000,2,12,31890,3379.6
10,1,12,13208,8.4711
100,2,3,18789,60.38
1.00E+05,6,6,24924,869
10000,2,18,30901,3380.6
1.00E+05,3,6,17406,2010.2
1.00E+05,1,15,21013,45807
100,2,18,28405,38.097
10,3,18,16158,6.515
