A,B,C,D,E,F,G,H,I,J,K,A-,B-
1,1,1,1,1,1,1,1,1,0,1,253.67,18
1,0,0,0,0,0,1,0,0,1,1,230.79,29
1,1,1,0,1,1,0,0,0,0,0,207.12,29
1,0,1,0,1,0,0,0,0,1,0,223.68,29
1,1,0,1,1,0,0,1,0,0,0,212.94,14
1,0,0,0,1,1,0,0,0,0,0,202.06,29
1,1,1,0,1,1,0,1,1,1,0,256.45,20
1,1,0,0,0,1,1,1,0,0,0,212.71,15
1,1,1,1,1,1,0,1,0,0,1,266.54,12
1,1,0,0,1,0,1,0,0,0,1,215.85,28
1,1,1,1,1,0,0,0,0,0,0,204.99,26
1,0,1,1,1,1,0,0,0,1,0,228.34,29
1,0,0,1,1,0,0,0,0,0,1,215.29,26
1,1,1,0,1,0,1,0,1,1,1,254.47,28
1,0,1,1,1,1,0,1,0,1,0,237.04,15
1,0,0,1,0,0,0,1,1,1,1,258.02,19
1,0,0,1,1,0,1,0,0,0,1,215.96,28
1,1,0,1,1,1,0,1,1,1,0,254.14,20
1,0,0,1,0,0,1,1,0,1,1,244.85,15
1,0,0,1,1,0,0,1,1,1,0,247.72,19
1,1,1,0,1,0,1,1,1,0,0,230.08,19
1,0,1,0,1,0,0,0,0,1,0,225.5,29
1,0,1,0,1,1,0,0,0,1,0,227.18,29
1,0,0,0,0,1,1,1,1,0,0,226.75,18
1,0,1,1,1,1,0,1,1,0,0,230.47,19
1,0,1,0,1,0,0,1,0,1,1,246.39,15
1,0,0,0,1,0,1,0,0,0,1,214.89,29
1,0,0,0,1,1,0,0,1,0,1,233,28
1,0,0,1,1,1,1,1,1,1,1,262.11,19
1,0,0,1,0,0,0,0,0,1,0,221.33,29
1,0,0,0,1,1,0,0,0,0,1,215.19,29
1,1,0,0,1,1,0,1,1,0,0,230.77,19
1,0,1,1,1,1,0,1,0,0,0,217.29,14
1,1,0,1,0,1,1,0,0,1,0,227.91,29
1,1,1,0,1,1,0,0,0,0,1,217.68,28
1,0,0,1,0,1,1,1,1,1,1,260.69,19
1,0,1,1,1,1,0,1,1,0,0,232.29,19
1,0,0,1,1,0,1,1,1,0,0,227.99,18
1,0,0,0,1,0,1,1,0,1,1,247.79,15
1,0,0,0,1,0,0,1,0,0,1,256.94,11
1,0,0,1,0,1,0,0,1,0,1,231.63,27
1,0,1,1,1,0,0,1,0,0,1,247.37,14
1,1,0,1,1,1,1,0,1,0,0,222.63,29
1,1,0,1,1,1,0,1,0,1,1,252.52,15
1,0,1,0,1,0,0,1,0,0,1,246.13,14
1,1,1,0,1,1,0,1,1,1,1,268.58,19
1,0,1,0,1,1,1,0,1,0,0,222.56,29
1,0,1,0,1,0,1,0,0,1,1,235.23,27
1,0,0,0,0,1,0,0,1,0,1,231.62,28
1,0,1,0,1,0,1,1,1,1,1,261.69,19
1,1,1,1,1,0,0,0,0,1,0,229.17,28
1,1,0,1,1,0,1,1,1,1,1,266.09,19
1,0,1,1,1,0,1,0,0,0,1,217.19,27
1,1,0,0,0,1,0,1,0,1,0,238.25,16
1,0,0,0,0,1,1,0,0,1,1,232.22,28
1,0,0,0,1,1,0,0,1,1,1,250.07,28
1,0,0,0,0,0,0,0,0,1,0,219.15,29
1,0,0,1,0,0,1,1,0,1,0,231.91,15
1,1,1,1,1,0,1,0,0,0,0,207.65,29
1,1,1,1,1,0,0,1,1,0,0,232.52,18
1,0,1,0,1,1,0,0,1,0,0,222.19,29
1,0,0,0,0,0,0,0,1,1,1,246,28
1,0,1,1,1,0,1,0,0,1,0,227.12,29
1,0,0,0,1,0,0,1,0,0,0,210.71,15
1,0,0,0,1,1,0,0,1,1,0,240.34,28
1,1,0,1,1,0,1,0,0,1,1,236.98,28
1,1,1,1,1,1,1,0,1,1,1,256.25,28
1,0,1,1,1,1,0,0,1,1,0,241.7,28
1,0,1,0,1,1,0,1,0,0,0,215.94,14
1,1,1,1,1,0,0,1,1,1,1,266.1,19
1,0,0,0,1,0,0,0,1,0,1,232.22,29
1,1,1,1,1,1,0,0,0,0,0,208.05,29
1,0,0,0,1,0,1,0,1,0,1,233.42,28
1,0,1,0,1,1,1,0,0,0,0,204.29,29
1,1,0,0,1,0,1,0,0,0,0,203.56,29
1,0,1,1,1,0,0,0,1,1,0,241.97,28
1,0,0,0,0,0,1,0,1,1,0,238.1,28
1,0,0,0,1,0,0,1,1,1,1,261.09,18
1,0,0,0,1,1,0,1,0,1,0,234.65,16
1,1,0,1,0,0,1,0,1,1,1,251.32,28
1,1,0,0,1,1,1,0,1,0,1,235.78,28
1,1,1,1,1,0,1,1,0,0,0,215.74,14
1,1,0,0,0,0,0,0,1,0,0,218.82,29
1,0,0,0,1,1,0,0,0,1,1,233.12,29
1,0,0,0,0,1,1,1,1,1,0,248.54,20
1,0,1,1,1,1,1,0,1,1,1,252.77,28
1,1,1,0,1,0,1,1,1,1,0,254.34,19
1,1,0,0,0,0,1,1,0,1,0,237.5,16
1,0,0,0,0,0,0,0,1,1,0,234.87,29
1,0,1,1,1,0,1,0,1,1,0,242.86,28
1,1,1,1,1,0,0,0,0,1,1,237.13,28
