Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
4,0,4,50,8.900257005,5.101620629
6,0,1,20,7.772288178,5.11366646
5,1,3,20,8.059182199,5.107607992
4,0,2,5,7.075885561,5.041577674
6,0,1,1,6.24014257,4.89476559
5,1,1,100,9.766851864,5.117965171
7,1,3,5,7.04617453,5.07314603
7,1,1,1,6.673217192,4.878722314
3,1,1,1,7.836833049,4.309193816
5,0,2,5,6.849711592,5.068121424
6,0,3,20,7.772288178,5.11366646
4,1,2,1,7.254650728,4.68779634
6,1,2,5,7.121688916,5.0697917
4,1,3,20,8.21162552,5.093925707
7,1,2,1,6.673217192,4.878750454
6,0,2,1,6.24014257,4.894785504
3,0,1,1,7.28555018,4.401360964
4,0,3,100,9.746890481,5.104194403
5,0,1,10,7.256642729,5.099033588
5,0,2,20,7.834932386,5.110228707
5,0,4,5,6.849711592,5.068121424
3,1,3,2,7.881933754,4.679288806
5,1,1,50,8.947271652,5.114503927
3,1,2,50,9.251482411,5.059483872
6,0,3,50,8.797687462,5.118824889
3,0,2,2,7.353587949,4.71815563
4,0,1,20,7.958239493,5.096536076
5,0,4,20,7.834932386,5.110228707
6,0,1,5,6.722670938,5.079876372
5,1,3,50,8.947271652,5.114503927
5,1,1,2,7.035777848,4.952769374
5,0,1,50,8.830730684,5.115372185
4,1,1,20,8.21162552,5.093925707
4,1,1,50,9.037629313,5.100760951
5,0,4,1,6.415403762,4.837142461
5,0,3,10,7.256642729,5.09903161
3,0,4,1,7.285531686,4.401580549
7,1,2,10,7.408083432,5.099070723
3,0,3,2,7.353587949,4.71815563
4,1,1,100,9.824529208,5.104190483
5,0,2,2,6.536861081,4.97692226
3,1,3,50,9.251482411,5.059483872
3,1,3,5,8.014260434,4.927881398
5,0,4,2,6.536861081,4.97692226
7,0,1,50,8.780969477,5.120554394
3,0,1,2,7.353605591,4.718020678
5,0,1,20,7.834932386,5.110228707
4,1,4,2,7.32378437,4.892895336
6,0,1,50,8.797687462,5.118824889
6,1,1,5,7.121699275,5.069765971
3,0,2,1,7.285531686,4.401580549
5,0,3,2,6.536861081,4.97692226
3,1,2,1,7.835102979,4.33936051
4,0,3,50,8.900257005,5.101620629
4,1,4,1,7.254650728,4.68779634
4,0,1,2,6.812883235,4.915280585
6,1,1,1,6.771397028,4.850638689
5,1,1,1,6.9502351,4.792766697
6,1,4,2,6.867241668,4.983829961
4,1,3,1,7.254650728,4.68779634
