F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing,NumberIterations-, TimeToSolution- 
1,1,0,1,0,0,0,1,1,60,30,0,8,5,136.238
0,1,0,0,1,0,0,1,1,30,75,6,4,6,129.453
1,1,0,1,0,1,0,0,1,80,45,7,8,6,197.637
1,1,0,0,0,1,0,0,1,30,80,8,2,11,257.85
0,1,0,0,1,0,0,1,1,50,75,5,0,6,76.143
0,1,1,0,1,0,0,0,1,40,75,7,7,5,108.015
0,1,0,1,1,0,1,0,1,40,90,5,5,5,113.347
1,1,1,1,0,0,0,0,1,50,50,8,3,4,98.629
0,1,1,1,1,0,0,0,1,35,85,7,6,5,99.96299999
0,1,0,1,1,1,0,0,1,45,45,5,5,9,151.947
1,1,0,0,0,0,1,0,1,10,90,1,0,8,58.951
0,1,0,1,1,0,0,1,1,25,90,7,5,4,106.234
0,1,0,1,1,1,0,0,1,20,80,0,8,24,354.517
0,1,0,1,1,0,0,1,1,90,30,5,8,4,119.174
1,1,0,1,0,1,0,0,1,70,40,3,5,8,161.034
0,1,0,0,1,0,0,1,1,80,10,5,7,4,114.709
0,1,0,1,1,0,0,1,1,80,80,2,1,30,291.649
0,1,0,0,1,0,0,1,1,70,30,4,1,5,64.424
0,1,0,1,1,0,0,1,1,90,30,2,8,4,93.109
0,1,0,0,1,0,1,0,1,75,40,8,1,5,106.473
1,1,1,0,0,0,0,0,1,60,75,6,7,5,138.479
1,1,0,0,0,0,1,0,1,25,75,5,8,6,232.156
1,1,1,1,0,0,0,0,1,35,55,4,6,5,106.85
0,1,1,1,1,0,0,0,1,20,90,3,4,7,84.34
0,1,0,0,1,1,0,0,1,10,80,2,1,501,3495.152
0,1,0,0,1,0,0,1,1,70,80,5,2,7,129.224
1,1,0,1,0,0,0,1,1,50,75,7,1,4,98.02600001
0,1,1,0,1,0,0,0,1,85,10,2,3,65,642.179
0,1,0,1,1,0,1,0,1,50,90,8,8,4,134.616
1,1,0,0,0,0,0,1,1,25,80,7,3,7,209.059
0,1,1,0,1,0,0,0,1,50,45,7,8,5,113.757
1,1,0,1,0,1,0,0,1,65,25,2,8,12,280.536
0,1,0,0,1,0,0,1,1,85,50,6,4,4,92.757
0,1,0,0,1,1,0,0,1,70,90,0,1,501,2071.998
1,1,0,1,0,1,0,0,1,80,55,0,8,9,174.044
1,1,1,0,0,0,0,0,1,30,80,4,7,6,142.302
0,1,1,0,1,0,0,0,1,30,75,2,3,10,94.081
0,1,0,1,1,0,1,0,1,15,75,4,5,5,105.862
1,1,0,1,0,1,0,0,1,50,75,1,4,9,122.371
0,1,0,1,1,0,0,1,1,80,35,8,8,4,147.148
1,1,0,1,0,0,0,1,1,45,70,8,1,5,143.822
1,1,1,0,0,0,0,0,1,80,65,2,3,7,93.38
0,1,0,1,1,0,0,1,1,20,90,4,5,5,103.583
0,1,0,0,1,1,0,0,1,30,75,7,5,9,186.948
1,1,0,0,0,1,0,0,1,65,75,7,2,7,147.877
0,1,0,0,1,1,0,0,1,45,70,7,0,9,125.062
1,1,0,0,0,0,0,1,1,60,60,2,3,5,87.999
1,1,0,1,0,0,0,1,1,90,35,1,5,5,105.328
0,1,0,0,1,0,0,1,1,85,75,5,2,13,217.36
0,1,0,0,1,1,0,0,1,40,55,1,7,23,321.986
1,1,0,1,0,0,0,1,1,55,70,7,6,4,150.078
0,1,0,1,1,0,1,0,1,50,45,3,0,8,76.715
0,1,0,1,1,0,1,0,1,60,35,2,8,5,119.075
0,1,1,1,1,0,0,0,1,90,80,1,3,19,165.054
1,1,0,1,0,0,0,1,1,55,65,2,4,5,107.439
1,1,1,1,0,0,0,0,1,50,85,1,3,6,67.631
0,1,0,1,1,1,0,0,1,90,5,4,2,416,4943.467
0,1,0,0,1,0,1,0,1,70,70,6,4,6,149.585
1,1,0,0,0,1,0,0,1,60,40,2,6,12,231.418
0,1,0,0,1,0,1,0,1,15,85,8,6,12,354.442
0,1,1,1,1,0,0,0,1,90,20,7,6,5,106.907
1,1,1,0,0,0,0,0,1,90,70,0,8,11,228.348
0,1,0,0,1,0,1,0,1,60,85,5,2,7,123.038
1,1,0,0,0,0,1,0,1,70,20,5,0,4,74.19
0,1,0,0,1,0,1,0,1,80,80,7,0,13,218.691
0,1,0,0,1,1,0,0,1,70,80,1,3,26,232.065
1,1,0,0,0,0,1,0,1,65,60,7,7,5,221.303
0,1,0,1,1,0,1,0,1,50,50,1,7,6,111.174
1,1,0,0,0,0,0,1,1,85,10,8,6,4,285.13
1,1,0,1,0,1,0,0,1,90,55,3,8,8,195.309
0,1,1,0,1,0,0,0,1,60,65,6,5,5,101.321
0,1,0,0,1,0,0,1,1,80,90,7,4,4,94.222
1,1,1,1,0,0,0,0,1,35,75,3,8,5,115.713
0,1,1,1,1,0,0,0,1,35,60,4,8,5,100.784
0,1,0,1,1,1,0,0,1,90,15,2,3,64,713.972
1,1,0,1,0,0,1,0,1,65,65,3,4,6,146.896
0,1,0,1,1,0,1,0,1,5,85,4,7,4,99.613
1,1,0,1,0,0,0,1,1,85,75,4,3,12,277.601
1,1,1,0,0,0,0,0,1,70,45,5,6,5,115.666
0,1,0,1,1,1,0,0,1,65,65,6,3,7,120.933
0,1,0,0,1,1,0,0,1,75,30,8,4,9,186.797
1,1,0,0,0,0,0,1,1,80,85,1,0,141,995.008
1,1,0,0,0,1,0,0,1,35,75,6,1,9,151.207
0,1,0,0,1,1,0,0,1,20,80,2,3,34,331.197
1,1,0,0,0,1,0,0,1,60,55,3,7,6,135.351
0,1,0,0,1,0,0,1,1,80,50,6,7,4,116.74
0,1,0,0,1,0,0,1,1,85,70,7,7,7,243.781
0,1,0,1,1,0,0,1,1,85,70,8,1,8,181.176
1,1,0,0,0,0,1,0,1,65,50,3,6,5,143.933
0,1,0,1,1,1,0,0,1,80,55,6,2,9,127.677
0,1,0,1,1,0,0,1,1,15,75,1,1,8,57.177
0,1,1,0,1,0,0,0,1,85,85,0,8,41,543.322
0,1,1,0,1,0,0,0,1,90,40,2,3,8,79.337
1,1,0,1,0,1,0,0,1,50,75,6,8,6,180.863
1,1,1,0,0,0,0,0,1,80,40,6,1,6,100.356
