A,B,C,D,E,F,G,H,I,J,K,A-,B-
1,1,1,1,1,0,1,1,0,1,1,255.64,15
1,0,1,1,1,0,0,0,0,0,1,218.43,26
1,0,0,1,0,0,1,0,1,0,0,217.9,29
1,1,1,1,1,1,0,0,1,0,1,236.17,28
1,0,1,0,1,0,1,1,0,0,1,261.84,12
1,1,0,1,0,0,0,0,0,1,1,234.1,28
1,0,0,1,0,0,0,1,0,1,1,243.81,16
1,1,1,1,1,0,1,1,1,0,1,250.6,18
1,1,0,0,0,0,0,1,0,1,1,249.66,16
1,1,1,0,1,0,1,0,0,1,0,228.94,28
1,0,0,1,1,0,1,0,0,1,0,224.3,28
1,1,0,0,1,1,0,1,0,1,1,254.27,16
1,1,0,0,1,0,1,1,0,0,1,259.5,12
1,0,1,1,1,0,1,0,1,0,0,220.86,29
1,1,1,0,1,0,1,1,1,1,0,256.47,19
1,0,1,0,1,1,0,1,1,1,1,264.16,19
1,1,1,1,1,0,1,0,1,0,0,222.82,29
1,1,0,1,0,1,0,1,1,1,0,252.14,20
1,1,1,0,1,1,1,0,1,1,1,255.32,28
1,1,0,0,1,1,1,1,1,1,1,269.47,18
1,1,0,0,0,1,0,0,1,1,0,243.52,28
1,0,1,0,1,1,0,0,1,0,1,233.43,28
1,1,0,1,0,1,1,0,0,1,0,227.91,29
1,0,0,0,0,0,0,1,1,0,0,224.49,18
1,0,1,1,1,1,1,1,0,1,0,238.46,15
1,0,0,1,0,1,0,0,0,1,1,231.89,28
1,1,0,0,1,0,1,1,1,0,0,230.14,18
1,1,1,1,1,0,0,0,0,1,0,230.74,29
1,1,0,1,1,0,1,0,0,1,1,236.98,28
1,0,0,0,0,1,1,0,0,0,0,200.92,29
1,1,1,0,1,0,1,1,1,0,0,232.14,19
1,1,0,0,0,0,0,1,0,1,0,236.24,16
1,0,1,0,1,1,1,1,0,1,0,239.51,15
1,0,1,0,1,1,1,0,1,1,1,250.53,28
1,0,0,0,0,0,0,1,1,1,0,244.91,19
1,0,0,0,0,1,1,1,0,1,0,233.74,16
1,1,1,0,1,1,0,1,0,1,0,242.55,15
1,1,1,0,1,0,0,0,1,0,1,236.36,28
1,1,1,1,1,0,1,0,0,0,0,205.95,29
1,1,1,0,1,1,1,1,1,0,1,252.68,18
1,0,1,0,1,1,0,0,1,1,1,251.16,28
1,0,0,0,1,0,0,1,1,0,1,247.25,16
1,0,0,0,0,1,0,1,0,1,1,245.79,16
1,0,0,0,1,1,0,1,0,0,1,258.9,12
1,1,1,0,1,0,0,0,1,1,0,242.92,28
1,1,1,0,1,0,1,0,1,1,0,246.03,28
1,0,1,0,1,0,1,0,1,0,1,233.23,28
1,0,1,1,1,1,0,0,1,0,0,223.07,29
1,0,0,0,0,1,0,1,1,1,0,246.94,20
1,1,1,0,1,0,1,0,1,1,1,254.47,28
1,0,0,1,0,0,1,1,0,1,1,244.85,15
1,1,1,1,1,1,0,1,0,1,1,253.98,15
1,0,0,0,1,0,1,1,1,0,0,227.73,18
1,1,0,0,0,1,1,0,1,0,0,220.37,29
1,1,1,1,1,0,1,0,0,1,1,239.96,28
1,0,1,1,1,1,0,1,0,0,0,215.01,14
1,0,1,1,1,1,1,0,0,1,1,237.35,28
1,1,1,1,1,1,0,1,1,1,1,269.52,19
1,1,1,1,1,1,1,1,1,0,0,232.66,19
1,1,1,0,1,0,1,1,0,0,0,214.34,14
1,1,1,0,1,1,1,1,1,1,0,258.05,20
1,1,1,0,1,0,1,0,1,0,1,236.43,28
1,0,0,0,1,1,0,1,1,0,0,228.27,18
1,0,0,0,0,0,0,0,0,0,0,210.34,27
1,0,1,1,1,1,0,0,0,1,0,226.58,29
1,0,1,0,1,1,0,0,0,1,0,225.41,28
1,1,0,1,0,0,1,0,1,0,0,219.91,29
1,1,1,1,1,1,0,0,1,1,1,254.07,28
1,1,0,0,0,0,1,1,1,1,1,266.11,18
1,1,0,0,0,0,0,0,0,0,0,201.15,26
1,0,1,1,1,0,0,1,1,0,0,228.65,19
1,0,0,0,0,1,1,1,0,1,1,246.94,16
1,1,1,0,1,0,0,1,1,1,0,253.05,19
