Max_spout,Spliters,Counters,Throughput+,Latency-
1.00E+06,6,3,20157,1979.7
1.00E+06,2,6,52611,82576
1,6,1,4849.6,2.3172
1,2,9,4212.6,2.4867
1,6,6,4716.8,2.1994
1000,1,3,20665,547.77
10,3,15,15777,6.9694
10000,6,1,8058.1,11121
1.00E+05,1,6,18566,51016
100,1,18,21201,51.009
1000,6,1,9131.9,1299.1
1000,3,3,18655,579.29
10,2,1,6876.2,16.932
10000,2,9,30740,3751.1
10000,1,1,8808.6,12596
1000,1,1,9036.2,1310.1
1000,2,3,22093,522.18
1.00E+06,1,9,35978,85576
1000,3,18,21098,501.84
10,3,18,16158,6.515
1,1,9,4059.4,2.5699
1000,2,1,7755.1,1269.1
10,2,3,13898,7.9557
10000,1,12,19184,5861.8
1,6,3,4850.4,2.1844
100,1,6,17933,62.246
1,2,6,4123.2,2.4584
1000,1,15,20768,560.98
1.00E+06,1,12,38675,84330
100,1,15,17886,62.345
10000,1,3,16015,6876.6
10000,2,12,31890,3379.6
1.00E+06,6,1,36125,46551
1.00E+05,1,3,17260,57080
1.00E+06,1,3,43144,77076
1.00E+05,3,1,9988.9,64176
1.00E+05,2,9,29027,34206
10,1,9,12787,8.5116
100,2,15,28395,36.861
1.00E+05,1,15,21013,45807
100,3,1,7864.7,131.92
100,2,1,7677.3,137.63
100,3,3,17860,61.224
1000,2,18,34045,334.44
1000,3,15,19776,602.72
1.00E+06,3,15,20226,1784.3
1000,1,18,23878,465.92
1.00E+05,1,12,17814,49666
1.00E+05,6,9,25620,1057.5
1,3,3,4742.8,2.2434
