Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
6,1,2,1,6.771370616,4.850979895
4,0,4,1,6.713324647,4.726992878
6,0,3,2,6.376724488,5.00769312
6,0,2,100,9.682815552,5.121427207
4,1,2,100,9.824529208,5.104190483
5,1,1,50,8.947271652,5.114503927
3,0,1,1,7.28555018,4.401360964
7,0,1,10,7.113783832,5.104157682
6,1,1,2,6.867254025,4.983722136
6,1,2,100,9.740247934,5.121424796
3,0,1,20,8.239068608,5.051194744
5,0,4,5,6.849711592,5.068121424
4,0,3,1,6.713324647,4.726992917
6,1,4,5,7.121688916,5.0697917
6,0,3,50,8.797687462,5.118824889
4,0,4,5,7.075885561,5.041577674
4,0,2,1,6.713324647,4.726992878
6,1,3,10,7.466488455,5.097368445
3,1,1,20,8.548710187,5.046250314
4,1,1,1,7.255406313,4.676592316
6,1,2,2,6.867241668,4.983829961
3,1,3,10,8.211260476,5.020135758
7,0,1,2,6.290129465,5.022484651
4,1,4,10,7.782709969,5.080353221
4,1,3,20,8.21162552,5.093925707
5,0,1,10,7.256642729,5.099033588
7,1,1,5,7.04617453,5.073143505
3,1,4,5,8.014260434,4.927881398
4,1,4,1,7.254650728,4.68779634
6,0,4,50,8.797687462,5.118824889
5,0,1,100,9.702370112,5.117968127
3,0,1,5,7.540786742,4.946184483
6,0,4,2,6.376724488,5.00769312
5,1,3,100,9.766851864,5.117965171
7,0,2,20,7.739753612,5.115354732
6,0,2,2,6.376724488,5.00769312
3,0,2,50,9.069460509,5.061161897
4,0,3,100,9.746890481,5.104194403
6,0,1,20,7.772288178,5.11366646
7,1,2,50,8.880039571,5.119684617
5,1,3,1,6.951937423,4.79503586
4,0,2,2,6.812883235,4.915289944
5,0,4,50,8.830730684,5.115372185
4,0,4,50,8.900257005,5.101620629
3,1,4,1,7.835102979,4.33936051
3,0,4,5,7.540786742,4.946186618
6,0,1,50,8.797687462,5.118824889
3,0,2,10,7.807606084,5.029864975
3,0,3,10,7.807606084,5.029858801
4,0,3,20,7.958239493,5.096536076
5,0,1,50,8.830730684,5.115372185
4,1,4,100,9.824529208,5.104190483
5,0,3,1,6.415403762,4.837142461
7,1,2,2,6.775695869,4.998378999
3,0,4,20,8.239068608,5.051194744
6,0,1,100,9.682815552,5.121427207
3,1,1,1,7.836833049,4.309193816
5,0,2,5,6.849711592,5.068121424
3,1,2,100,9.965784285,5.066154451
3,0,3,1,7.285531686,4.401580549
