F,Smoother,ColorGS,RelaxParameter,V,Jacobi,Line,ZebraLine,Cycle,Alpha,Beta,PreSmoothing,PostSmoothing,NumberIterations-, TimeToSolution- 
1,1,0,0,0,1,0,0,1,5,85,4,7,501,12176.427
0,1,0,0,1,0,0,1,1,45,80,0,7,8,127.501
1,1,0,1,0,1,0,0,1,80,25,0,5,24,330.142
0,1,0,1,1,1,0,0,1,90,15,4,8,27,590.295
1,1,0,0,0,1,0,0,1,75,85,4,1,48,645.938
1,1,1,1,0,0,0,0,1,85,25,7,8,5,156.781
0,1,1,0,1,0,0,0,1,50,55,0,3,11,78.23
1,1,1,0,0,0,0,0,1,65,40,0,7,7,112.839
1,1,0,0,0,0,0,1,1,30,70,8,1,6,166.162
1,1,0,0,0,0,1,0,1,65,70,8,5,5,206.567
1,1,0,0,0,1,0,0,1,75,45,0,3,18,169.695
1,1,0,0,0,0,1,0,1,65,60,5,0,6,115.33
1,1,1,0,0,0,0,0,1,40,60,3,4,6,101.714
0,1,0,0,1,1,0,0,1,60,35,2,4,34,387.476
0,1,0,0,1,1,0,0,1,5,90,6,3,501,8607.541
0,1,0,1,1,0,1,0,1,60,65,8,4,5,139.065
1,1,0,1,0,1,0,0,1,90,60,7,4,8,204.44
1,1,1,1,0,0,0,0,1,45,55,7,4,4,92.814
1,1,0,0,0,1,0,0,1,50,90,7,7,501,15146.686
0,1,0,0,1,0,0,1,1,80,55,2,7,5,105.85
1,1,0,0,0,1,0,0,1,20,80,2,2,41,465.751
1,1,0,1,0,0,1,0,1,60,60,1,8,5,139.884
0,1,1,1,1,0,0,0,1,65,40,8,4,5,95.143
1,1,0,1,0,0,0,1,1,80,10,7,1,4,109.336
0,1,0,1,1,0,0,1,1,75,55,1,0,20,97.19
1,1,0,1,0,0,1,0,1,65,35,2,8,5,154.601
1,1,0,1,0,0,1,0,1,40,65,2,2,9,135.382
1,1,0,0,0,0,1,0,1,85,25,3,4,5,117.399
1,1,1,0,0,0,0,0,1,55,45,7,8,5,154.351
0,1,0,1,1,0,1,0,1,70,85,1,5,13,204.554
1,1,1,1,0,0,0,0,1,85,15,7,3,6,139.863
0,1,1,1,1,0,0,0,1,65,55,3,7,5,84.699
1,1,0,0,0,0,1,0,1,35,65,7,2,6,165.571
0,1,1,0,1,0,0,0,1,70,45,2,4,6,64.855
0,1,0,1,1,0,0,1,1,75,90,1,4,6,74.097
0,1,0,1,1,0,0,1,1,30,65,0,3,16,135.962
0,1,0,1,1,1,0,0,1,65,65,4,1,9,97.907
0,1,1,0,1,0,0,0,1,65,40,0,4,11,89.184
1,1,0,0,0,0,0,1,1,65,70,0,8,5,126.675
0,1,0,1,1,0,1,0,1,30,85,4,0,14,153.87
0,1,0,1,1,0,1,0,1,85,15,7,1,4,83.897
0,1,0,1,1,0,0,1,1,35,75,2,1,11,96.13199999
0,1,0,1,1,0,0,1,1,20,75,3,6,11,221.346
1,1,0,1,0,0,0,1,1,15,80,2,0,71,672.731
1,1,0,1,0,0,0,1,1,80,30,8,2,4,123.706
1,1,0,1,0,0,1,0,1,40,50,5,2,6,135.991
1,1,0,1,0,0,1,0,1,65,90,3,8,5,165.53
1,1,0,0,0,0,1,0,1,80,70,6,6,6,214.756
0,1,0,1,1,1,0,0,1,70,80,2,3,18,191.158
1,1,0,0,0,0,1,0,1,50,50,1,8,5,142.202
0,1,0,1,1,0,0,1,1,70,90,0,5,7,86.019
0,1,0,1,1,0,1,0,1,75,45,7,2,5,106.271
1,1,0,1,0,0,0,1,1,50,75,6,7,4,147.576
1,1,0,0,0,0,1,0,1,55,50,0,3,9,116.792
0,1,0,0,1,0,0,1,1,15,85,6,0,26,369.469
0,1,1,1,1,0,0,0,1,35,60,2,4,6,64.991
0,1,1,1,1,0,0,0,1,55,60,5,8,5,99.941
0,1,0,1,1,1,0,0,1,70,70,2,7,8,133.653
0,1,0,1,1,1,0,0,1,70,55,0,2,19,106.386
1,1,1,1,0,0,0,0,1,75,70,4,6,5,106.863
0,1,1,0,1,0,0,0,1,75,90,3,6,18,261.999
