Max_spout,Spliters,Counters,Throughput+,Latency-
1,3,9,4646.2,2.2873
100,6,15,21993,42.093
1.00E+06,6,12,26336,855.8
1.00E+06,1,18,46272,83169
1000,6,9,24362,345.38
1.00E+06,6,1,36125,46551
10,3,15,15777,6.9694
1000,6,6,25035,343.85
10,3,12,15038,7.0763
10,3,3,14028,8.641
1,1,12,4032,2.6341
1.00E+05,2,1,6209.4,83712
1.00E+05,3,6,17406,2010.2
10,2,6,17445,6.2931
1.00E+06,1,12,38675,84330
100,2,1,7677.3,137.63
10000,1,12,19184,5861.8
100,2,9,24019,46.646
100,2,12,26077,39.596
100,6,3,19318,47.348
1.00E+05,6,6,24924,869
1.00E+06,2,1,35943,70293
1.00E+05,2,3,23864,37378
10,3,9,16038,6.8006
1.00E+06,3,18,20100,1692.8
1.00E+05,6,12,25490,953.19
1,2,15,4192.9,2.5676
1000,3,9,20589,537.34
1.00E+05,2,15,29311,33300
1000,2,1,7755.1,1269.1
10,1,1,7494.8,15.267
10,2,15,18564,5.822
1.00E+05,6,3,19790,2276.2
10000,3,15,18857,1717.1
10000,3,3,18253,1943.9
1.00E+05,1,6,18566,51016
1.00E+06,2,12,60713,73693
1,3,6,4745.9,2.274
10000,6,9,25614,1220.9
100,6,18,23940,35.91
1000,3,3,18655,579.29
1.00E+06,2,15,63734,71418
100,6,6,21305,46.838
1.00E+06,3,9,19653,1953.2
1,6,1,4849.6,2.3172
1000,1,12,22722,494.29
100,3,6,20076,55.609
1000,1,1,9036.2,1310.1
1,1,18,4100.2,2.6116
10000,6,3,19316,2194.6
