Max_spout,Spliters,Counters,Throughput+,Latency-
10000,1,9,20060,3340.5
1000,2,18,32815,341.28
1.00E+06,2,18,65823,46988
100,1,15,19875,53.539
1.00E+05,2,3,21514,38738
1000,3,6,19858,549.73
100,2,15,25948,46.001
10000,2,1,7431.5,13541
1.00E+06,2,3,44107,94541
10000,1,15,20936,4748.4
1.00E+06,1,9,41829,24516
1.00E+05,1,18,21145,41498
1.00E+05,6,1,31179,6540.8
1,1,1,4255.3,2.5621
1,2,9,4369.6,2.4306
1.00E+06,3,1,26988,32624
1,2,15,4291.2,2.4462
10,1,6,14870,8.1247
10,3,18,16140,7.2948
1000,1,9,24910,467.36
100,6,18,22884,33.092
1.00E+05,2,18,31825,28692
1000,1,3,20050,553.74
10,6,1,7524.2,13.959
10,2,6,18462,6.481
100,6,3,20359,55.501
100,6,9,23142,37.915
1,1,12,4013.8,2.5474
1,6,1,4904.2,2.1626
1.00E+06,3,9,19266,1713.3
1000,1,15,23497,439.35
10000,3,12,19488,1691.8
10000,3,6,18757,1658.8
100,6,6,21587,48.702
10000,2,3,22333,5447.8
1000,6,6,25492,310.14
1000,1,12,21808,470.82
1.00E+05,1,15,20828,41317
10000,1,6,29612,4304.9
1000,2,15,33549,321.53
1000,3,3,19036,595.91
1000,2,1,8666.8,1239.5
100,6,12,24892,41.478
10,1,15,16019,7.3717
1.00E+05,6,18,28650,776.38
10,1,9,14807,7.5491
1,1,18,3964.2,2.5503
1.00E+05,3,9,17859,2033.3
1,3,18,4949.1,2.1277
100,3,18,21234,53.927
