Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-
1,10000,15,120,1.00E+06,10000,1.57E+05,376.37
1,10000,2,300,2.00E+06,10000,2472.7,33989
3,1000,1,10,1.00E+06,1.00E+05,961.5,17530
1,1000,1,10,1.00E+07,10000,409.06,22062
3,10,18,120,2.00E+06,1000,12017,24.805
3,1000,15,60,1.00E+06,1000,1.13E+05,237.87
1,10000,3,120,1.00E+06,1.00E+05,1.39E+05,381.5
1,1000,3,10,1.00E+05,1.00E+05,72630,96.536
1,10000,18,300,1.00E+06,10000,1.52E+05,456.36
3,1000,18,1,2.00E+06,10000,1.21E+05,237.01
3,100,18,1,2.00E+06,1.00E+05,39969,71.246
3,1000,6,300,1.00E+05,1000,1.36E+05,184.62
1,10000,18,10,1.00E+06,1000,1.66E+05,415.68
3,100,12,300,1.00E+05,1.00E+05,38623,65.245
3,10,18,1,2.00E+06,1.00E+05,11775,21.523
3,1000,3,60,1.00E+07,10000,1.26E+05,193.77
3,100,6,1,2.00E+06,1000,39365,67.87
1,10,1,10,1.00E+05,1000,25978,3.4782
1,10,3,120,1.00E+07,1000,36457,2.1881
1,10,1,10,1.00E+05,1.00E+05,1023.8,83.236
3,1000,15,60,1.00E+07,1.00E+05,1.10E+05,282.12
1,10,6,60,1.00E+05,1000,37956,2.2629
1,100,1,1,1.00E+06,10000,1077.7,228.81
1,100,9,300,1.00E+06,1.00E+05,39572,18.756
3,1000,15,10,1.00E+06,10000,1.30E+05,186.54
1,1000,18,60,1.00E+06,1000,65111,123.87
1,1000,15,1,1.00E+07,1.00E+05,51799,167.49
3,100,2,1,1.00E+06,1000,25961,136.93
1,1000,15,300,1.00E+05,1.00E+05,63940,125.43
1,100,12,10,1.00E+06,10000,40128,17.957
1,100,3,1,1.00E+05,10000,40535,18.052
1,1000,9,300,1.00E+06,1000,82934,90.794
1,1000,12,60,1.00E+06,1.00E+05,63462,119.09
1,10,2,10,2.00E+06,1000,25435,3.4625
3,1000,9,60,1.00E+07,1.00E+05,1.15E+05,203.34
1,10,12,120,1.00E+05,1.00E+05,36346,2
1,100,2,300,2.00E+06,10000,6853.6,147.44
1,1000,18,300,1.00E+05,10000,60427,115.9
3,10,3,300,1.00E+06,1.00E+05,16005,16.389
3,10,3,10,1.00E+06,10000,14151,16.493
3,1000,2,1,2.00E+06,10000,53331,7214.9
1,1000,12,10,1.00E+06,1.00E+05,64045,117.41
3,10,1,1,2.00E+06,1000,5647.7,41.96
3,10000,2,10,2.00E+06,1.00E+05,12295,8064
3,10000,3,60,2.00E+06,1.00E+05,2.02E+05,1155.5
1,10000,9,120,1.00E+05,10000,1.49E+05,364.13
3,10000,12,10,1.00E+06,1000,2.02E+05,1204.6
1,1000,18,60,1.00E+06,10000,64422,128.8
3,10,15,120,2.00E+06,1000,10770,22.599
1,10000,15,60,1.00E+06,10000,1.54E+05,420.36
1,10000,2,120,2.00E+06,1000,5713.5,12665
3,1000,2,1,1.00E+06,1000,62141,987.54
1,10000,3,120,1.00E+05,1000,1.26E+05,373.76
1,10000,1,60,1.00E+06,1000,3006.4,25556
1,1000,12,120,1.00E+06,10000,60299,133.58
1,100,1,300,1.00E+07,1.00E+05,392.43,1976.7
1,10,12,120,2.00E+06,1000,36759,2.1412
1,100,1,60,1.00E+05,10000,6141.1,157.93
3,100,1,10,1.00E+06,10000,851.81,3566.6
3,100,9,120,2.00E+06,1000,39989,68.321
1,10,2,300,1.00E+05,10000,11962,7.821
1,10000,15,120,1.00E+06,1000,1.60E+05,469.88
3,10000,2,1,1.00E+07,10000,16625,9362.8
1,10,12,60,1.00E+06,1.00E+05,37168,2
3,10000,12,10,2.00E+06,1.00E+05,2.06E+05,1066.6
1,1000,9,10,2.00E+06,10000,75543,92.783
3,100,6,1,1.00E+05,1.00E+05,40085,64.693
3,10000,1,120,1.00E+06,1.00E+05,5630.9,16852
1,10000,6,10,1.00E+07,1.00E+05,1.36E+05,391.17
3,10000,1,1,1.00E+06,1.00E+05,8029.5,16260
1,1000,1,60,1.00E+07,10000,405.18,20827
3,100,12,300,1.00E+05,1000,39243,62.888
3,10000,9,60,1.00E+05,10000,2.14E+05,1128
1,10000,2,10,2.00E+06,10000,2170,33156
3,10,18,10,1.00E+05,1.00E+05,10784,24.57
1,10000,9,60,1.00E+06,10000,1.43E+05,382.55
1,100,6,60,2.00E+06,1000,35596,18.895
1,10,2,60,1.00E+07,1000,25183,3.4447
3,10000,6,10,2.00E+06,1000,2.12E+05,1040.3
3,10,3,60,2.00E+06,10000,15769,16.711
