Max_spout,Spliters,Counters,Throughput+,Latency-
1000,4,10,55124,184.06
1.00E+06,6,1,55673,6031.5
10,2,11,30705,3.2506
100,2,5,47051,22.11
10,1,6,28862,3.5443
1.00E+06,3,3,43923,834.66
1.00E+06,2,15,77306,17328
100,1,14,53658,17.361
1000,2,4,48976,203.12
10000,4,8,46546,851.16
1.00E+05,5,5,44880,841.33
1.00E+05,2,11,76492,11936
1,1,14,5042.6,1.9422
1,4,5,6869.1,1.4805
1.00E+05,6,12,44941,539.73
1.00E+06,1,5,69014,48267
1.00E+05,4,7,55388,796.09
1,5,9,6683.8,1.5397
100,6,16,46773,19.903
1.00E+05,5,16,54569,931.08
1000,6,16,45229,193.45
100,3,3,45752,21.69
100,2,1,39997,25.032
1,5,13,6373.1,1.5647
100,5,14,50797,19.589
100,5,5,45951,22.136
10000,3,15,58308,754.76
1.00E+05,5,18,55594,813.39
1.00E+05,5,17,57302,843.75
1,4,15,6276.2,1.6329
1.00E+05,6,10,44348,551.68
1.00E+06,4,5,41780,911.8
1.00E+05,3,13,57626,886.67
1,2,14,5464.8,1.9197
10000,4,18,53160,836.73
1.00E+05,1,2,56635,16829
10,5,13,28871,3.541
1,4,9,6256.8,1.6328
10,5,3,28968,3.4356
1.00E+06,2,17,91538,37087
100,5,13,50365,19.829
1.00E+05,6,8,47573,476.85
1000,3,10,55308,184.64
1.00E+05,1,10,65424,13340
10,6,4,32233,3.1626
1.00E+06,1,15,85140,40213
1.00E+05,2,16,70660,503.57
1.00E+05,5,10,55095,853.41
1.00E+05,4,1,47322,16401
1.00E+05,3,18,58816,812.4
10,5,15,28524,3.5358
1,5,6,7000.6,1.446
1000,4,4,43890,231.82
100,2,7,51649,19.832
1.00E+06,4,1,73975,27361
1.00E+06,2,7,71997,27969
10000,4,6,47779,775.03
1.00E+05,2,13,76190,789.55
1,6,11,7037.9,1.4329
100,4,16,52702,18.764
1,1,1,5434.7,1.8632
1.00E+05,2,2,47481,17940
1000,1,4,52119,194.73
10000,6,8,48377,453.5
100,6,5,46010,21.097
10000,6,15,48354,478.39
1000,5,12,55750,182.82
10,3,11,30027,3.3538
10,5,1,29790,3.3747
1000,5,17,59520,172.09
10000,5,11,56989,830.78
1.00E+05,2,15,81320,10245
100,3,7,49943,20.323
100,1,12,53898,17.537
10000,5,15,54627,810.04
10,2,5,32465,3.0701
1,5,16,6304.4,1.5942
10000,6,12,44764,541.08
10000,1,15,65670,1544.7
1.00E+06,5,9,55087,865.8
1,6,18,6857.8,1.4954
1000,5,18,59279,171.49
1.00E+06,5,8,53027,895.41
1,4,6,7207,1.4109
10000,6,18,46995,591.56
1.00E+05,6,5,42988,756.13
100,4,3,39276,26.5
10,3,7,30044,3.3138
1.00E+06,3,2,64297,720.35
1.00E+05,1,14,65736,15405
100,6,18,45666,19.374
1,5,8,7004.2,1.4586
1.00E+06,5,15,54619,965.73
10000,2,13,71459,387.57
1000,4,16,60322,170.17
100,2,8,47480,21.423
10,6,6,31394,3.2462
1.00E+06,6,11,45294,505.23
1,2,9,5406,1.8264
10,6,13,30842,3.226
1000,1,18,67460,145.24
1.00E+06,6,13,47157,529.31
10,4,16,28586,3.4746
1,6,14,6914.1,1.4566
10,6,10,31625,3.1312
10000,1,9,64300,1468.8
1.00E+05,5,14,52484,891.42
1,3,13,7017.7,1.5023
1.00E+06,3,11,57489,707.08
1.00E+05,3,9,57433,925.43
1000,3,6,56000,192.73
1000,4,3,38038,276.55
100,4,13,52643,19.134
1.00E+06,6,5,42758,696.02
10,5,12,28589,3.5364
10000,3,12,58415,783.82
1000,6,7,40440,224.07
1.00E+06,3,6,55815,784.2
10,4,7,30177,3.3191
1.00E+05,4,6,48289,852.67
10000,4,1,55902,1726.8
1.00E+05,6,2,55380,440.37
1.00E+06,3,9,58277,775.45
10000,4,7,58163,722.58
10000,5,8,53575,770.37
100,3,16,54903,18.29
10000,3,11,58125,823.45
1.00E+06,4,4,41062,897.43
10,1,1,28203,3.4546
10000,3,18,57586,792.96
10000,2,17,78121,1279.5
10,6,7,31102,3.1728
1.00E+06,5,5,48852,821.36
100,4,17,53212,19.881
1.00E+06,1,14,95094,36603
1.00E+06,6,6,43657,618.01
1.00E+05,6,7,38731,827.65
100,1,6,51659,20.06
100,1,13,54443,17.328
1000,6,11,48956,174.12
1.00E+06,6,3,43784,874.17
100,2,13,57293,15.94
100,6,3,44198,22.409
1.00E+06,2,16,69749,309.65
10,5,16,29568,3.4202
10,6,9,31656,3.1751
1.00E+06,1,6,67297,53340
1.00E+05,2,17,83057,10676
1,2,1,5698.4,1.8184
1.00E+06,2,2,57085,85782
1000,2,6,53012,197.96
1.00E+05,4,15,55649,878.43
1000,3,14,60581,167.99
10000,3,5,52020,816.86
10,4,1,28420,3.4374
10000,5,5,46750,815.89
1,2,4,5775.6,1.7408
10000,4,4,39796,891.95
10000,5,1,26744,1486.5
10,2,18,30311,3.3197
100,3,18,54581,18.323
1000,3,8,58304,174.86
1.00E+05,3,15,57327,756.68
1.00E+06,2,3,61824,83512
10000,3,7,49894,777.49
1.00E+06,4,9,51861,857.03
10000,1,2,58503,1682.6
1000,6,6,44860,196.18
1,6,8,7104.5,1.3724
100,6,13,46496,18.653
1.00E+05,4,2,33020,1152
1000,1,8,53505,174.83
10,4,15,29159,3.4936
100,1,2,46286,22.103
1.00E+05,4,4,40355,897.75
10000,3,8,58858,748.62
1,5,3,7040.8,1.446
100,6,17,42239,21.375
1.00E+05,4,11,55317,784.34
1,4,12,6686.6,1.5439
1,1,11,5300.4,1.9305
100,2,11,57860,16.393
10000,4,17,56387,877.9
1000,6,4,45218,192.37
1,5,1,7990.6,1.2994
1.00E+05,5,2,34813,1027.4
1.00E+05,4,18,52242,883.67
1.00E+06,6,7,39864,904.82
10,1,4,28996,3.4218
1,3,2,7468.3,1.3264
10,1,11,27273,3.5566
100,5,4,39310,26.083
1.00E+06,1,1,66418,91578
100,3,17,53660,18.863
10,6,15,30885,3.2422
1000,3,5,50915,198.33
1,6,3,7680.7,1.3299
1,6,6,7767.2,1.3184
1.00E+06,5,1,28155,1546.7
100,4,6,49121,20.616
10,6,11,30909,3.222
1.00E+05,3,10,55855,791.55
1,3,15,6513.8,1.5659
1.00E+06,4,15,56222,821.53
1.00E+06,4,3,37308,963.54
10000,1,6,63667,1499.3
10,2,16,30324,3.2671
10,1,16,27584,3.6382
100,1,10,53349,18.9
1,5,14,6400.4,1.5555
1,5,17,6394.5,1.6168
1,6,17,6858.3,1.4572
1,4,3,7331.2,1.3902
1000,6,8,49745,161.93
1000,6,12,48093,174.74
1.00E+06,5,3,36871,973.83
1000,4,1,52846,187.36
1000,1,14,67553,140.5
10000,6,1,56278,1267.7
10000,6,4,43014,743.21
1000,4,12,54865,184.36
1.00E+06,2,13,72768,390.52
100,4,4,42733,24.039
1.00E+06,1,18,82514,44566
1.00E+05,4,17,58359,895.5
1.00E+05,5,9,55332,800.45
1.00E+06,6,2,53945,447.48
1.00E+05,3,6,54630,831.75
1,3,17,6265.2,1.6202
100,4,11,54203,20.194
1.00E+06,6,16,47353,514.45
1,3,8,6900.3,1.4368
10,3,17,29452,3.4393
100,2,6,47652,21.37
1.00E+06,3,12,58792,853.42
100,2,10,54155,18.162
10000,2,8,57685,1722
100,6,1,46071,21.241
1.00E+06,5,13,54479,824.38
1000,4,11,57962,176.22
10,6,12,31526,3.1931
100,5,10,52505,19.357
100,6,12,47366,20.042
1.00E+06,1,16,70303,60552
100,1,15,54676,16.838
1,2,2,5801.6,1.7259
1,2,3,5791.9,1.7557
10000,6,3,42753,904.03
1000,1,7,58797,173.93
10,5,17,28762,3.4509
1.00E+05,2,18,78561,11850
100,4,2,33592,30.38
10000,1,16,65010,1635
1000,6,9,47213,181.57
10000,1,1,50789,2008.5
1.00E+05,1,9,67355,14309
1.00E+05,1,12,65922,13977
1000,5,14,56967,179.53
1.00E+05,6,11,48833,528.02
10000,1,10,64422,1472.5
10,2,6,32716,3.0902
10000,4,15,55474,803.04
10,4,12,30191,3.3699
100,3,12,55048,18.84
1,4,10,6328.6,1.6178
1.00E+06,1,3,63021,82187
10,4,2,29418,3.5282
1000,2,9,57605,168.94
1.00E+06,5,12,54673,838.89
1000,3,2,60799,166.47
1.00E+06,1,13,81950,55477
100,4,12,50747,19.686
1000,1,5,54852,184.6
100,5,8,52163,18.834
1.00E+06,6,10,45823,549.69
1.00E+06,3,1,72271,30521
10000,1,7,59942,1727.8
1000,1,10,58738,157.47
100,4,10,50731,20.16
100,2,12,54774,17.333
1000,3,4,49313,200.43
10,1,8,28536,3.5172
10,1,9,28657,3.4184
10,5,11,28365,3.4786
10,6,16,30727,3.2578
10,3,16,29242,3.4624
1.00E+05,1,4,60895,15073
1000,3,16,59858,172.84
10000,5,9,54385,760.35
1000,3,12,60301,165.5
10000,1,18,64152,1565.8
10000,1,12,62552,1539.4
1.00E+06,3,13,58196,753.06
10,6,5,32256,3.1328
100,5,18,51769,19.344
10000,2,1,37052,2735.3
10,4,6,30674,3.274
1,5,10,6437.4,1.5584
1.00E+05,6,16,47476,535.45
10000,6,10,45921,468.44
1.00E+06,4,12,53634,920.88
1,1,13,5201.2,1.9178
10000,5,2,34867,1029.5
1000,2,3,51798,195.36
10,4,9,30121,3.3636
100,1,8,51198,20.136
100,5,2,36286,27.571
100,6,14,48914,19.031
1.00E+05,1,6,64450,15049
10,2,13,30675,3.2491
1.00E+05,2,8,61056,14804
100,3,15,54598,18.623
100,6,7,40728,24.383
1.00E+05,1,16,63390,14063
1.00E+05,5,12,58277,825.91
10,2,17,29708,3.3809
1.00E+06,4,6,46966,853.63
1.00E+06,6,15,50244,522.62
1,5,15,6345.6,1.5636
100,3,4,45557,23.217
1.00E+05,2,14,75299,10531
1000,5,8,55600,183.07
1000,4,14,55946,181.57
1,3,6,7136.5,1.4391
1,6,15,7042.3,1.4358
100,1,1,45494,22.179
1,3,5,7130.9,1.4207
1.00E+06,5,6,42877,863.05
1.00E+05,2,4,51258,18328
1,1,8,5377.4,1.8902
1000,4,6,51426,203.82
10,3,3,31820,3.173
1,2,12,5577.5,1.8543
1.00E+05,3,4,53934,1229.4
10000,5,4,36179,999.54
1.00E+05,4,5,44360,820.19
100,6,4,43909,22.236
1.00E+05,1,5,60465,14235
1.00E+06,1,10,73506,40071
1000,1,15,65559,146.59
1000,2,15,66965,136.33
1,2,16,5424,1.8711
1.00E+05,1,1,45189,20990
10,1,7,29503,3.4534
1,1,10,5481,1.9006
10000,4,16,58658,799.13
10,6,8,31859,3.204
1.00E+05,2,10,64860,14685
10000,6,7,40972,835.76
100,5,1,30879,32.695
100,4,9,49746,19.719
100,5,12,52862,18.754
1000,6,18,47309,173.16
1.00E+05,2,9,70997,11549
1,4,4,6916.1,1.4471
10000,4,10,52129,812.86
1000,3,11,58614,169.62
1000,4,2,34221,299.39
1.00E+06,2,6,68913,56665
1,3,10,6839.8,1.5172
