Max_spout,Spliters,Counters,Throughput+,Latency-
1000,3,12,20562,523.63
1.00E+06,2,6,52611,82576
1.00E+05,6,18,27324,865.83
1.00E+06,2,9,61403,52488
10000,2,6,27670,3923
1,1,15,3983.3,2.585
10000,6,15,25023,809.05
100,1,15,17886,62.345
1.00E+05,3,18,17900,1829.9
1,3,6,4745.9,2.274
1.00E+06,3,18,20100,1692.8
1.00E+06,6,18,26278,1019.7
10000,6,9,25614,1220.9
100,2,1,7677.3,137.63
1.00E+05,2,1,6209.4,83712
1,1,12,4032,2.6341
1000,1,9,20011,551.17
1000,1,15,20768,560.98
100,3,1,7864.7,131.92
100,2,15,28395,36.861
1000,6,15,24693,277.74
1000,3,9,20589,537.34
1,2,1,4097.1,2.6345
1000,2,9,29274,357.24
1000,3,6,20312,555.68
10000,2,1,6913.8,14710
1.00E+06,3,1,46742,78749
1.00E+06,1,15,39811,83368
10000,1,3,16015,6876.6
10,1,15,13048,8.2902
1.00E+05,3,3,18159,1781.5
1.00E+05,6,9,25620,1057.5
100,1,18,21201,51.009
100,1,9,19721,62.512
1.00E+06,3,15,20226,1784.3
10000,2,3,23990,4735
1000,1,6,22127,540.98
1,6,18,4702.3,2.2763
100,1,6,17933,62.246
100,2,3,18789,60.38
10000,2,12,31890,3379.6
10,3,18,16158,6.515
10,3,9,16038,6.8006
10,2,3,13898,7.9557
1.00E+05,2,3,23864,37378
1000,3,1,8044.5,1305.9
10000,3,6,16018,2153.4
1.00E+06,6,3,20157,1979.7
1.00E+06,3,3,17810,2023.7
1000,1,3,20665,547.77
