A,B,C,A-,B-
1,7,4,9.477758266,6.860690304
0,4,5,9.019590728,4.849816643
5,36,1,13.52380696,13.23156242
2,35,3,10.7548875,10.60570099
7,36,1,15.39590226,14.71664238
7,36,2,15.48733762,14.60766939
2,64,5,11.99823782,10.37986031
3,36,2,12.04780555,11.65370002
3,19,4,11.70043972,9.61497325
4,36,1,12.65082737,12.47418769
1,32,5,11.03960452,8.783424695
7,15,3,14.85987446,10.75194128
6,15,4,14.17850925,11.03425486
4,2,5,10.46760555,7.448730092
8,2,5,14.21720042,7.276899329
8,22,3,16.13979114,11.91089241
0,19,4,10.05663772,6.792884914
3,19,3,11.50729912,9.434258562
0,1,5,7.098032083,2.858160813
4,8,3,11.97835296,9.557560706
0,15,4,9.821773982,6.445010442
4,36,2,12.86205613,12.03070176
3,22,4,11.91214086,10.02468971
0,25,3,10.23122118,7.792134629
3,16,5,11.95782756,9.621040101
3,35,4,12.12250448,11.53122277
0,64,5,11.35810171,8.757891433
7,14,3,14.72616493,10.75957087
1,14,4,9.818582177,7.226333592
6,64,5,15.7624599,12.82026986
5,64,5,14.74546425,12.64761208
5,16,5,13.82545572,10.22386568
0,7,3,8.924812504,5.870474631
6,22,3,14.53570064,11.25188231
4,4,5,11.41837972,8.441542305
4,32,5,13.76103174,11.00016159
4,64,5,13.66733334,12.29857337
8,19,3,15.88464752,11.81792813
5,19,3,13.32080055,10.78326081
3,8,3,11.01820018,8.807303347
4,14,3,12.26620091,9.686131921
5,7,3,12.73914771,10.03234148
7,2,5,13.31797782,7.558295565
2,25,4,11.23840474,9.685226919
0,36,1,10.65910396,8.8341948
0,32,5,11.19721669,7.586631221
6,25,4,14.68710225,11.28592421
3,8,4,10.87728413,8.708210224
3,7,4,10.75154406,8.522529897
5,15,4,13.30919211,10.62523982
