Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
5,0,3,1,6.415403762,4.837142461
6,0,2,20,7.772288178,5.11366646
7,1,3,1,6.673217192,4.878750454
6,0,3,1,6.24014257,4.894785504
4,0,3,10,7.429866991,5.085429403
4,1,2,1,7.254650728,4.68779634
4,1,2,10,7.782709969,5.080357077
7,0,1,2,6.290129465,5.022484651
5,1,4,20,8.059182199,5.107607992
5,0,2,1,6.415403762,4.837142461
4,0,4,20,7.958239493,5.096536076
3,0,1,10,7.807606084,5.029864975
5,1,3,100,9.766851864,5.117965171
5,1,3,2,7.035667894,4.953555274
5,0,4,10,7.256642729,5.099033291
7,1,1,50,8.880039571,5.119684617
7,1,3,2,6.775695869,4.998378999
6,1,3,1,6.771370616,4.850979895
4,1,4,10,7.782709969,5.080353221
7,0,1,100,9.672985692,5.123159887
3,0,3,1,7.285531686,4.401580549
7,1,2,5,7.04617453,5.07314603
4,0,1,20,7.958239493,5.096536076
4,1,4,2,7.32378437,4.892895336
7,0,1,20,7.739753612,5.115354732
3,1,3,2,7.881933754,4.679288806
5,1,1,1,6.9502351,4.792766697
3,1,1,20,8.548710187,5.046250314
4,1,3,2,7.32378437,4.892895336
6,1,1,2,6.867254025,4.983722136
3,1,3,50,9.251482411,5.059483872
4,0,4,1,6.713324647,4.726992878
7,1,3,100,9.726829514,5.123157473
7,1,1,5,7.04617453,5.073143505
5,1,3,5,7.2638701,5.058114363
6,0,1,50,8.797687462,5.118824889
6,0,3,2,6.376724488,5.00769312
4,1,2,50,9.037629313,5.100760951
3,1,4,50,9.251482411,5.059483872
7,1,2,50,8.880039571,5.119684617
4,1,3,100,9.824529208,5.104190483
6,1,4,50,8.902718788,5.117955552
5,1,4,50,8.947271652,5.114503927
7,0,1,10,7.113783832,5.104157682
6,1,4,10,7.466488455,5.097368445
6,0,3,50,8.797687462,5.118824889
5,0,1,100,9.702370112,5.117968127
3,1,1,2,7.882967008,4.667403539
3,0,3,10,7.807606084,5.029858801
6,0,2,100,9.682815552,5.121427207
3,0,3,20,8.239068608,5.051194744
3,1,1,1,7.836833049,4.309193816
7,1,1,10,7.408083432,5.099070723
3,1,2,2,7.881933754,4.679288806
3,1,4,10,8.211260476,5.020146292
4,1,3,20,8.21162552,5.093925707
7,1,1,100,9.726829514,5.123157473
4,0,4,50,8.900257005,5.101620629
3,0,2,10,7.807606084,5.029864975
3,0,2,1,7.285531686,4.401580549
