Max_spout,Spliters,Counters,Throughput+,Latency-
1000,3,12,25959,435.89
1.00E+06,2,6,56964,72319
1.00E+05,6,18,28055,874.78
1.00E+06,2,9,72394,58477
10000,2,6,33463,3441.6
1,1,15,4422.9,2.3844
10000,6,15,27720,745.04
100,1,15,22591,49.335
1.00E+05,3,18,21210,1826.1
1,3,6,5372.8,1.9353
1.00E+06,3,18,20184,1516.5
1.00E+06,6,18,28388,887.67
10000,6,9,27814,655.03
100,2,1,9506.6,109.87
1.00E+05,2,1,7977.6,78965
1,1,12,4275.4,2.3254
1000,1,9,23344,475.26
1000,1,15,25778,412.5
100,3,1,9885.2,117.19
100,2,15,31867,33.133
1000,6,15,27234,277.65
1000,3,9,22074,480.99
1,2,1,4508.5,2.4379
1000,2,9,35368,314.87
1000,3,6,21866,471.82
10000,2,1,8922.4,11828
1.00E+06,3,1,51244,80453
1.00E+06,1,15,58616,84497
10000,1,3,18950,5687.4
10,1,15,15229,7.2642
1.00E+05,3,3,18567,1733.9
1.00E+05,6,9,27096,843.62
100,1,18,23184,47.306
100,1,9,23144,48.175
1.00E+06,3,15,21614,1450.2
10000,2,3,25630,4190.6
1000,1,6,23770,478.53
1,6,18,4957.8,2.043
100,1,6,21745,50.779
100,2,3,24998,49.584
10000,2,12,33345,3375.2
10,3,18,15905,6.7601
10,3,9,17217,5.9988
10,2,3,19208,5.7214
1.00E+05,2,3,26935,35250
1000,3,1,10065,1100.4
10000,3,6,21413,1751.1
1.00E+06,6,3,22139,1764.9
1.00E+06,3,3,19409,1785
1000,1,3,22456,495.85
