Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
5,0,3,100,9.702370112,5.117968127
6,1,2,5,7.121688916,5.0697917
4,1,3,10,7.782709969,5.08035737
6,0,3,1,6.24014257,4.894785504
7,1,3,2,6.775695869,4.998378999
6,0,3,20,7.772288178,5.11366646
7,1,3,50,8.880039571,5.119684617
3,0,2,2,7.353587949,4.71815563
3,1,1,20,8.548710187,5.046250314
4,0,4,100,9.746890481,5.104194403
5,0,3,1,6.415403762,4.837142461
5,1,2,5,7.2638701,5.058114363
6,0,4,20,7.772288178,5.11366646
7,0,2,50,8.780969477,5.120554394
3,1,4,1,7.835102979,4.33936051
5,1,1,50,8.947271652,5.114503927
3,0,1,20,8.239068608,5.051194744
6,0,4,100,9.682815552,5.121427207
7,0,2,1,6.144515496,4.923426501
7,0,1,5,6.656067274,5.083255384
4,1,4,50,9.037629313,5.100760951
3,1,2,10,8.211265344,5.02012911
4,0,1,50,8.900257005,5.101620629
5,1,4,100,9.766851864,5.117965171
5,1,3,100,9.766851864,5.117965171
7,1,2,2,6.775695869,4.998378999
6,0,4,10,7.162582668,5.102447958
4,1,1,2,7.324189549,4.889213047
5,1,3,50,8.947271652,5.114503927
4,1,4,5,7.513253856,5.031756014
5,0,1,10,7.256642729,5.099033588
5,0,2,50,8.830730684,5.115372185
5,0,3,10,7.256642729,5.09903161
3,0,4,100,9.858304322,5.066162087
7,0,2,10,7.113783832,5.104157682
4,0,2,2,6.812883235,4.915289944
6,0,3,100,9.682815552,5.121427207
3,1,3,50,9.251482411,5.059483872
7,1,1,10,7.408083432,5.099070723
6,1,3,2,6.867241668,4.983829961
5,0,4,2,6.536861081,4.97692226
5,1,1,1,6.9502351,4.792766697
4,0,3,100,9.746890481,5.104194403
7,0,2,100,9.672985692,5.123159887
5,1,3,20,8.059182199,5.107607992
5,0,3,5,6.849711592,5.068121424
3,0,2,5,7.540786742,4.946186618
4,0,3,50,8.900257005,5.101620629
6,1,2,10,7.466488455,5.097368445
4,1,3,100,9.824529208,5.104190483
3,1,2,50,9.251482411,5.059483872
7,0,1,2,6.290129465,5.022484651
3,1,3,5,8.014260434,4.927881398
3,1,3,20,8.548710187,5.046250314
3,1,4,2,7.881933754,4.679288806
3,0,3,1,7.285531686,4.401580549
6,0,1,100,9.682815552,5.121427207
3,0,3,50,9.069460509,5.061161897
5,1,3,1,6.951937423,4.79503586
4,0,4,50,8.900257005,5.101620629
