A,B,C,A-,B-
7,1,5,12.39473063,6.531198275
0,36,2,10.76983784,8.765405487
5,15,4,13.30919211,10.62523982
6,8,5,14.31288296,9.170858366
4,8,5,12.41864325,9.433253026
7,7,3,14.22158712,10.17312412
5,16,5,13.82545572,10.22386568
7,4,5,14.31995431,7.603452483
5,8,3,12.84842733,10.22675306
5,8,5,13.26971112,9.51180174
3,35,3,11.82296909,11.46040144
3,7,3,10.88798213,8.553987328
3,14,4,11.35480034,9.057947231
7,25,4,15.57062658,11.44961151
6,64,5,15.7624599,12.82026986
8,2,5,14.21720042,7.276899329
1,14,3,9.832890014,7.256973697
7,15,3,14.85987446,10.75194128
8,25,4,16.20472396,11.73287415
4,19,4,12.63934071,10.19099723
8,7,4,14.86186234,10.54260113
1,15,3,9.909893084,7.430869627
2,15,4,10.76321237,8.438053168
3,4,5,10.53138146,7.654109752
6,25,3,14.64103567,11.28664203
8,8,3,15.23032072,10.96473646
8,22,4,16.08841559,11.88129476
6,15,3,14.19521839,10.972042
0,25,3,10.23122118,7.792134629
3,19,4,11.70043972,9.61497325
2,16,5,11.08812569,8.690660805
2,25,3,10.99929539,9.72844524
4,35,4,12.72792045,11.83287847
2,36,1,10.67419227,10.66419664
7,8,3,14.12129067,9.970627688
3,15,3,11.55842071,9.260459475
2,15,3,10.58402294,8.346562042
4,36,2,12.86205613,12.03070176
1,15,4,9.914385132,7.422663507
3,36,2,12.04780555,11.65370002
8,8,4,15.02345116,11.03878861
4,14,3,12.26620091,9.686131921
7,19,3,15.00873499,10.81031837
0,15,3,9.622051819,6.511822825
0,7,4,8.829722735,5.78971557
0,2,5,7.971543554,3.83196978
3,19,3,11.50729912,9.434258562
1,32,5,11.03960452,8.783424695
4,35,3,12.69913863,12.15636984
7,36,2,15.48733762,14.60766939
