A,B,C,A-,B-
5,4,5,12.37150441,8.565523889
3,8,5,11.49735289,8.659608643
0,22,4,10.27262979,7.208748533
5,36,1,13.52380696,13.23156242
0,19,4,10.05663772,6.792884914
4,22,4,12.84979602,10.55821909
1,7,4,9.477758266,6.860690304
7,22,4,15.47307151,11.35608841
7,7,3,14.22158712,10.17312412
2,7,3,10.10983065,7.761616662
5,15,4,13.30919211,10.62523982
5,25,4,13.84960057,11.60519175
1,25,4,10.49385545,8.767953287
6,14,3,14.08464232,10.91838768
6,35,3,14.60623169,13.35981593
4,22,3,12.71231204,10.70674724
4,8,3,11.97835296,9.557560706
2,16,5,11.08812569,8.690660805
5,15,3,13.27888499,10.37268453
2,35,3,10.7548875,10.60570099
1,36,2,10.37068741,9.771066822
4,14,4,12.30777003,9.873365398
1,22,3,10.30606169,8.144994221
6,22,3,14.53570064,11.25188231
0,19,3,9.824958741,6.771739106
2,14,3,10.4807902,8.13241029
4,36,2,12.86205613,12.03070176
4,15,4,12.43931146,9.998033505
4,2,5,10.46760555,7.448730092
2,8,4,10.19844504,7.921882077
6,35,4,14.76647715,12.44172061
6,14,4,14.0535017,10.93421264
7,1,5,12.39473063,6.531198275
7,8,4,14.35211241,10.73711949
3,32,5,12.84588203,10.53302527
0,2,5,7.971543554,3.83196978
8,8,4,15.02345116,11.03878861
0,7,4,8.829722735,5.78971557
3,22,3,11.7903485,9.962558736
8,25,4,16.20472396,11.73287415
3,19,3,11.50729912,9.434258562
2,7,4,10.07146236,7.804959873
0,32,5,11.19721669,7.586631221
3,19,4,11.70043972,9.61497325
5,35,4,13.8864587,12.99935382
5,19,4,13.48242984,10.94420462
6,8,5,14.31288296,9.170858366
4,14,3,12.26620091,9.686131921
8,25,3,16.24881706,12.12185067
3,1,5,8.727920455,5.793273955
