Max_spout,Spliters,Counters,Throughput+,Latency-
10,3,15,15777,6.9694
1.00E+05,3,3,18159,1781.5
1,2,9,4212.6,2.4867
10,3,18,16158,6.515
1,3,1,4869.9,2.2345
1,3,3,4742.8,2.2434
1.00E+06,1,15,39811,83368
1,2,1,4097.1,2.6345
100,3,3,17860,61.224
1,2,3,4213.6,2.4483
1.00E+05,6,12,25490,953.19
10000,6,9,25614,1220.9
10000,2,6,27670,3923
1.00E+06,3,1,46742,78749
1.00E+06,6,15,25389,812.2
1.00E+05,1,18,20186,46405
1,6,6,4716.8,2.1994
100,3,1,7864.7,131.92
1.00E+05,2,18,32366,28518
1000,2,3,22093,522.18
1,6,12,4638.4,2.2965
1,2,6,4123.2,2.4584
100,2,18,28405,38.097
1,3,12,4589.6,2.2376
100,2,6,21809,52.464
1.00E+05,3,15,19488,1556.2
10000,6,15,25023,809.05
10,3,3,14028,8.641
1.00E+06,3,18,20100,1692.8
1.00E+06,3,3,17810,2023.7
1.00E+06,1,12,38675,84330
10,1,6,13341,8.4104
10000,1,12,19184,5861.8
1.00E+06,6,1,36125,46551
1.00E+06,2,3,41319,90593
1.00E+06,2,6,52611,82576
1.00E+05,2,3,23864,37378
1000,3,12,20562,523.63
100,3,18,19610,59.478
1000,1,18,23878,465.92
1000,6,15,24693,277.74
1.00E+06,6,3,20157,1979.7
10,6,6,17588,5.4324
1,1,1,4123.9,2.5786
10000,1,9,18112,6255.3
100,6,1,8636.8,123.03
100,6,6,21305,46.838
1000,6,1,9131.9,1299.1
1.00E+05,6,6,24924,869
10,2,6,17445,6.2931
