Max_spout,Spliters,Counters,Throughput+,Latency-
10000,2,3,25630,4190.6
10000,3,9,21810,1437.6
1.00E+05,6,18,28055,874.78
10000,2,15,34157,3154.6
1.00E+05,6,3,21885,1960.1
1.00E+05,3,18,21210,1826.1
10000,3,3,19143,1658.2
1000,2,18,37037,312.07
100,6,15,24599,30.51
10,1,3,14647,7.5798
1,1,6,4504.4,2.2747
1.00E+06,2,12,64455,65922
1000,6,15,27234,277.65
100,2,12,33320,34.184
1.00E+05,3,6,21296,1548.2
1,6,1,5318.7,1.9595
1.00E+06,3,15,21614,1450.2
1.00E+05,6,1,10376,64210
1,2,18,4606.4,2.2191
1.00E+05,2,18,34687,28743
10,6,18,19340,4.6347
1,2,9,4752.9,2.2133
10000,3,15,22331,1447.1
10000,6,9,27814,655.03
10000,1,6,20267,5414.6
10000,6,12,27995,832.75
10,2,18,22140,4.9532
1.00E+05,1,15,21114,46172
1.00E+05,3,3,18567,1733.9
1000,2,3,26177,440.59
100,6,1,10467,102.54
1.00E+06,2,9,72394,58477
100,6,6,24578,38.387
1000,3,18,23344,433.98
10,3,3,16797,6.415
1.00E+06,3,9,21188,1713.5
1.00E+05,1,3,18463,48084
1000,6,18,27640,300.68
1,1,9,4404.4,2.3335
1.00E+05,6,9,27096,843.62
1,1,15,4422.9,2.3844
1000,2,15,38350,294.81
1.00E+06,2,6,56964,72319
1.00E+06,3,1,51244,80453
1000,3,12,25959,435.89
100,3,1,9885.2,117.19
10,6,6,19636,4.711
100,1,9,23144,48.175
1,2,1,4508.5,2.4379
10000,1,15,20039,5536.3
