Max_spout,Spliters,Counters,Throughput+,Latency-
1,3,9,4786.9,2.1468
100,6,15,23675,32.286
1.00E+06,6,12,26474,976.39
1.00E+06,1,18,50783,65193
1000,6,9,25870,330.79
1.00E+06,6,1,30522,961.88
10,3,15,17209,6.2798
1000,6,6,25492,310.14
10,3,12,17130,6.2694
10,3,3,14591,7.6695
1,1,12,4013.8,2.5474
1.00E+05,2,1,7217.6,79248
1.00E+05,3,6,18216,1821.7
10,2,6,18462,6.481
1.00E+06,1,12,54656,73740
100,2,1,8746,117.57
10000,1,12,20300,5131.3
100,2,9,24962,43.247
100,2,12,26373,40.169
100,6,3,20359,55.501
1.00E+05,6,6,26583,1151.3
1.00E+06,2,1,38992,72496
1.00E+05,2,3,21514,38738
10,3,9,17161,6.5827
1.00E+06,3,18,20307,1817.5
1.00E+05,6,12,26315,928.18
1,2,15,4291.2,2.4462
1000,3,9,22911,521.23
1.00E+05,2,15,32561,27907
1000,2,1,8666.8,1239.5
10,1,1,8226.1,13.733
10,2,15,19505,5.6023
1.00E+05,6,3,21251,1891.2
10000,3,15,21523,1524.7
10000,3,3,17617,1981.7
1.00E+05,1,6,27212,25993
1.00E+06,2,12,53037,77350
1,3,6,4836.7,2.1283
10000,6,9,25202,1145.3
100,6,18,22884,33.092
1000,3,3,19036,595.91
1.00E+06,2,15,51455,87048
100,6,6,21587,48.702
1.00E+06,3,9,19266,1713.3
1,6,1,4904.2,2.1626
1000,1,12,21808,470.82
100,3,6,20045,58
1000,1,1,10038,1063.6
1,1,18,3964.2,2.5503
10000,6,3,20442,1956.1
