Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
4,1,1,20,8.21162552,5.093925707
3,0,4,2,7.353587949,4.71815563
6,0,4,2,6.376724488,5.00769312
3,0,2,20,8.239068608,5.051194744
3,1,4,20,8.548710187,5.046250314
6,0,1,100,9.682815552,5.121427207
3,0,3,5,7.540786742,4.946186618
7,0,1,5,6.656067274,5.083255384
4,0,2,2,6.812883235,4.915289944
6,0,3,10,7.162582668,5.102447958
7,0,1,2,6.290129465,5.022484651
7,1,3,10,7.408083432,5.099070723
3,0,4,100,9.858304322,5.066162087
3,1,1,50,9.251482411,5.059483872
3,1,4,1,7.835102979,4.33936051
4,0,3,5,7.075885561,5.041577674
4,1,3,50,9.037629313,5.100760951
4,0,2,1,6.713324647,4.726992878
3,1,1,10,8.211464912,5.019398421
4,0,1,50,8.900257005,5.101620629
5,1,1,2,7.035777848,4.952769374
5,0,1,1,6.415403762,4.83712609
3,0,1,5,7.540786742,4.946184483
6,1,1,100,9.740247934,5.121424796
6,1,1,10,7.466488455,5.097367013
3,1,4,50,9.251482411,5.059483872
6,1,3,10,7.466488455,5.097368445
5,0,2,1,6.415403762,4.837142461
5,1,3,20,8.059182199,5.107607992
6,1,1,1,6.771397028,4.850638689
6,1,2,1,6.771370616,4.850979895
4,0,1,20,7.958239493,5.096536076
3,0,3,2,7.353587949,4.71815563
5,1,1,10,7.578999076,5.093870967
4,0,3,2,6.812883235,4.915289944
6,1,3,100,9.740247934,5.121424796
6,0,3,20,7.772288178,5.11366646
6,0,1,20,7.772288178,5.11366646
3,0,3,1,7.285531686,4.401580549
3,1,1,20,8.548710187,5.046250314
6,0,2,100,9.682815552,5.121427207
3,1,2,10,8.211265344,5.02012911
6,1,3,50,8.902718788,5.117955552
6,1,2,100,9.740247934,5.121424796
7,1,2,10,7.408083432,5.099070723
6,0,4,10,7.162582668,5.102447958
6,1,1,20,7.978390142,5.111081381
3,0,2,1,7.285531686,4.401580549
6,1,4,5,7.121688916,5.0697917
6,1,4,2,6.867241668,4.983829961
6,1,3,1,6.771370616,4.850979895
5,1,4,20,8.059182199,5.107607992
4,1,1,2,7.324189549,4.889213047
5,1,2,2,7.035667894,4.953555274
7,1,2,2,6.775695869,4.998378999
7,0,2,10,7.113783832,5.104157682
4,0,3,20,7.958239493,5.096536076
4,1,2,1,7.254650728,4.68779634
5,1,4,10,7.578983985,5.093914226
5,0,3,50,8.830730684,5.115372185
