Max_spout,Spliters,Counters,Throughput+,Latency-
1000,3,12,22122,501.11
1.00E+06,2,6,45856,1.05E+05
1.00E+05,6,18,28650,776.38
1.00E+06,2,9,47756,70551
10000,2,6,29437,3740
1,1,15,4194.1,2.5676
10000,6,15,25530,1007.9
100,1,15,19875,53.539
1.00E+05,3,18,21527,1635.1
1,3,6,4836.7,2.1283
1.00E+06,3,18,20307,1817.5
1.00E+06,6,18,26933,979.55
10000,6,9,25202,1145.3
100,2,1,8746,117.57
1.00E+05,2,1,7217.6,79248
1,1,12,4013.8,2.5474
1000,1,9,24910,467.36
1000,1,15,23497,439.35
100,3,1,8465.1,132.78
100,2,15,25948,46.001
1000,6,15,25833,251.19
1000,3,9,22911,521.23
1,2,1,4294.7,4.7793
1000,2,9,28129,398.1
1000,3,6,19858,549.73
10000,2,1,7431.5,13541
1.00E+06,3,1,26988,32624
1.00E+06,1,15,44024,74403
10000,1,3,20072,4961.1
10,1,15,16019,7.3717
1.00E+05,3,3,17911,1806.9
1.00E+05,6,9,24757,1024
100,1,18,20121,56.687
100,1,9,18652,62.08
1.00E+06,3,15,19319,1711.5
10000,2,3,22333,5447.8
1000,1,6,22015,511.62
1,6,18,4688.1,2.2277
100,1,6,18264,61.409
100,2,3,18568,65.437
10000,2,12,35418,3138.8
10,3,18,16140,7.2948
10,3,9,17161,6.5827
10,2,3,14169,8.1471
1.00E+05,2,3,21514,38738
1000,3,1,9973.9,1105.8
10000,3,6,18757,1658.8
1.00E+06,6,3,20812,2143
1.00E+06,3,3,19133,1814.2
1000,1,3,20050,553.74
