Max_spout,Spliters,Counters,Throughput+,Latency-
10000,1,9,21076,5170.7
1000,2,18,37037,312.07
1.00E+06,2,18,53112,69276
100,1,15,22591,49.335
1.00E+05,2,3,26935,35250
1000,3,6,21866,471.82
100,2,15,31867,33.133
10000,2,1,8922.4,11828
1.00E+06,2,3,42537,85607
10000,1,15,20039,5536.3
1.00E+06,1,9,55495,82624
1.00E+05,1,18,21202,45261
1.00E+05,6,1,10376,64210
1,1,1,4602.9,2.25
1,2,9,4752.9,2.2133
1.00E+06,3,1,51244,80453
1,2,15,4643.2,2.2503
10,1,6,15094,7.4457
10,3,18,15905,6.7601
1000,1,9,23344,475.26
100,6,18,25682,29.727
1.00E+05,2,18,34687,28743
1000,1,3,22456,495.85
10,6,1,8667.5,12.546
10,2,6,21618,4.8312
100,6,3,22524,47.047
100,6,9,23012,37.855
1,1,12,4275.4,2.3254
1,6,1,5318.7,1.9595
1.00E+06,3,9,21188,1713.5
1000,1,15,25778,412.5
10000,3,12,20768,1526.2
10000,3,6,21413,1751.1
100,6,6,24578,38.387
10000,2,3,25630,4190.6
1000,6,6,27448,277.18
1000,1,12,25936,446.51
1.00E+05,1,15,21114,46172
10000,1,6,20267,5414.6
1000,2,15,38350,294.81
1000,3,3,22331,505.4
1000,2,1,9034.6,1217.3
100,6,12,25459,33.369
10,1,15,15229,7.2642
1.00E+05,6,18,28055,874.78
10,1,9,15355,7.2769
1,1,18,4382.4,2.3919
1.00E+05,3,9,20921,1589
1,3,18,5160.4,2.0543
100,3,18,21195,49.925
