A,B,C,A-,B-
5,19,3,13.32080055,10.78326081
3,8,5,11.49735289,8.659608643
2,1,5,7.8008999,4.813273326
3,16,5,11.95782756,9.621040101
6,15,4,14.17850925,11.03425486
2,36,2,11.22641219,10.67300254
7,14,3,14.72616493,10.75957087
2,8,4,10.19844504,7.921882077
1,1,5,7.087462841,3.866651431
0,35,3,10.71338651,8.817826403
6,64,5,15.7624599,12.82026986
8,4,5,15.16030477,7.802506965
7,15,3,14.85987446,10.75194128
2,7,4,10.07146236,7.804959873
8,22,4,16.08841559,11.88129476
2,36,1,10.67419227,10.66419664
4,19,4,12.63934071,10.19099723
4,15,4,12.43931146,9.998033505
3,19,3,11.50729912,9.434258562
3,22,3,11.7903485,9.962558736
3,64,5,12.71123677,11.29721127
5,7,3,12.73914771,10.03234148
5,22,4,13.71198954,11.1551998
3,36,2,12.04780555,11.65370002
4,7,3,11.90312868,9.445028118
5,22,3,13.66810937,10.97174771
7,8,5,15.31603399,7.679359363
6,19,4,14.33998915,10.79276682
5,16,5,13.82545572,10.22386568
2,8,5,10.69870467,7.71095525
4,2,5,10.46760555,7.448730092
3,1,5,8.727920455,5.793273955
6,35,4,14.76647715,12.44172061
1,35,4,10.509775,9.767290131
0,4,5,9.019590728,4.849816643
1,16,5,10.215533,7.730255858
2,7,3,10.10983065,7.761616662
2,14,4,10.57837269,8.177039855
6,8,5,14.31288296,9.170858366
6,15,3,14.19521839,10.972042
8,1,5,13.30976054,7.537930924
4,19,3,12.50779464,10.27668784
0,14,4,9.562242424,6.2278842
2,14,3,10.4807902,8.13241029
3,35,3,11.82296909,11.46040144
6,14,4,14.0535017,10.93421264
2,35,3,10.7548875,10.60570099
1,8,4,9.411510988,7.018112284
1,22,3,10.30606169,8.144994221
8,19,3,15.88464752,11.81792813
