Max_spout,Spliters,Counters,Throughput+,Latency-
10000,3,13,58653,736.47
10000,5,15,54627,810.04
1.00E+06,2,3,61824,83512
10000,4,11,54605,791.7
1.00E+06,1,1,66418,91578
1.00E+05,6,11,48833,528.02
10000,5,8,53575,770.37
1000,4,12,54865,184.36
1000,1,6,55423,176.69
10,1,9,28657,3.4184
1,1,11,5300.4,1.9305
1.00E+06,4,18,55566,952.86
10000,1,12,62552,1539.4
100,3,18,54581,18.323
1.00E+05,5,15,55162,1249.1
1,5,16,6304.4,1.5942
1000,1,7,58797,173.93
1.00E+05,6,17,44254,652.28
1,3,18,6296.5,1.6335
1.00E+05,5,2,34813,1027.4
1.00E+06,4,6,46966,853.63
100,1,8,51198,20.136
1,3,7,7266.3,1.4241
10000,6,6,44504,552.38
1.00E+05,1,5,60465,14235
10000,2,9,66839,1407.6
1.00E+05,1,11,67729,12569
10,4,3,30954,3.258
1.00E+05,3,5,50951,825.53
1.00E+05,5,11,54720,827.53
1.00E+06,2,7,71997,27969
1.00E+06,2,4,55321,63627
1000,3,10,55308,184.64
100,6,3,44198,22.409
1.00E+06,6,1,55673,6031.5
100,6,12,47366,20.042
1.00E+06,1,6,67297,53340
1000,6,5,44651,200.39
10,4,14,30010,3.389
1.00E+06,6,8,46245,552.01
1.00E+05,2,8,61056,14804
1.00E+06,3,11,57489,707.08
10000,1,15,65670,1544.7
1,1,14,5042.6,1.9422
1.00E+06,4,16,56789,873.29
1,2,6,5546.3,1.8161
1000,4,9,55281,186.28
1,3,17,6265.2,1.6202
100,4,1,46605,22.206
1000,5,14,56967,179.53
100,4,13,52643,19.134
10,6,7,31102,3.1728
100,2,6,47652,21.37
1,2,13,5602.6,1.852
1.00E+05,3,13,57626,886.67
10000,3,1,51479,1811.1
100,1,15,54676,16.838
10,2,7,31642,3.2213
10000,1,14,63240,1544.4
1.00E+05,5,7,50286,848.09
1.00E+05,6,13,46049,552.56
10000,1,8,62588,1376.4
1,1,7,5377.6,1.8759
1.00E+06,4,8,49519,860.01
100,6,17,42239,21.375
1,1,13,5201.2,1.9178
1,6,5,7532.7,1.3448
1000,2,17,69097,127.68
100,1,3,49918,20.812
1.00E+05,2,18,78561,11850
1.00E+05,1,4,60895,15073
1.00E+06,2,18,81840,11246
10000,5,12,56196,775.45
10000,6,3,42753,904.03
10,1,17,27657,3.6694
10000,6,8,48377,453.5
10,2,15,31084,3.2191
100,2,8,47480,21.423
1,2,1,5698.4,1.8184
1,2,10,5370.8,1.8457
100,3,4,45557,23.217
1,3,1,6927.3,1.4724
10,5,12,28589,3.5364
1.00E+05,3,17,54411,883.79
1.00E+06,5,3,36871,973.83
1,5,15,6345.6,1.5636
10,5,18,28791,3.511
100,6,8,47814,19.547
10,2,16,30324,3.2671
10000,2,7,66185,1301.6
10,2,10,31649,3.1989
10000,5,6,49070,855.65
1,4,6,7207,1.4109
10,4,9,30121,3.3636
1.00E+06,6,11,45294,505.23
10000,5,1,26744,1486.5
10,3,4,32064,3.1989
1.00E+05,6,2,55380,440.37
10000,3,18,57586,792.96
1000,4,5,48125,216.95
1.00E+05,2,6,62921,14513
1.00E+06,5,6,42877,863.05
1000,3,3,45915,222.66
1.00E+06,6,18,47878,531.32
10000,4,5,44606,876.83
100,1,1,45494,22.179
1,1,3,5529.9,1.8618
10000,3,7,49894,777.49
100,2,3,48120,21.603
1000,4,16,60322,170.17
10,5,17,28762,3.4509
1.00E+06,4,9,51861,857.03
10000,4,12,53132,783.54
1,4,14,6071.9,1.6306
1.00E+05,2,7,65050,11657
1.00E+06,1,8,73308,37269
10,1,14,27587,3.6289
1,5,3,7040.8,1.446
10,4,13,29871,3.3572
1.00E+06,3,10,56862,827.55
1,1,16,5283.2,1.9688
10000,2,5,56752,1746.6
100,4,11,54203,20.194
10,6,18,30611,3.2763
1.00E+05,6,3,43781,877.35
10000,3,8,58858,748.62
1000,3,16,59858,172.84
1.00E+06,2,5,63131,81802
1.00E+05,2,10,64860,14685
1.00E+05,6,4,43977,662.96
1,4,13,6370.2,1.563
100,4,3,39276,26.5
100,2,17,55616,17.036
10,3,16,29242,3.4624
10,6,12,31526,3.1931
1000,4,14,55946,181.57
1.00E+06,1,2,56541,85691
1.00E+06,5,5,48852,821.36
100,1,17,53428,17.798
1000,6,6,44860,196.18
1.00E+05,4,17,58359,895.5
1,1,17,5190.9,1.9543
10,1,12,28007,3.5948
1000,6,12,48093,174.74
100,1,18,54025,17.415
10,2,18,30311,3.3197
100,2,16,57972,16.279
1.00E+06,4,12,53634,920.88
1.00E+05,5,8,53160,868.4
10000,2,10,67768,1463.6
1.00E+05,4,10,54938,759.54
10000,1,9,64300,1468.8
1,3,3,7094.5,1.4339
1.00E+06,5,9,55087,865.8
10000,3,14,57828,792.73
10,3,11,30027,3.3538
10000,2,17,78121,1279.5
1,6,13,7197.3,1.415
1000,4,2,34221,299.39
100,2,9,52608,19.265
100,3,7,49943,20.323
1.00E+05,6,7,38731,827.65
10000,5,7,51277,825.5
1.00E+05,2,5,61746,14625
1,3,10,6839.8,1.5172
10,2,3,34032,2.9425
1.00E+05,2,15,81320,10245
100,5,15,52117,19.199
10000,1,2,58503,1682.6
1000,1,10,58738,157.47
1,6,12,7165.7,1.4295
100,2,2,46785,21.854
10,3,12,29980,3.326
1,1,6,5420.2,1.8391
100,3,13,55170,18.374
1.00E+06,5,4,34482,992.83
1.00E+06,1,17,78498,55374
10000,5,17,56302,789.22
