A,B,C,A-,B-
4,19,3,12.50779464,10.27668784
3,7,4,10.75154406,8.522529897
1,15,4,9.914385132,7.422663507
0,14,4,9.562242424,6.2278842
3,19,4,11.70043972,9.61497325
0,19,4,10.05663772,6.792884914
7,4,5,14.31995431,7.603452483
0,1,5,7.098032083,2.858160813
2,19,3,10.64385619,8.675316106
3,15,3,11.55842071,9.260459475
5,19,3,13.32080055,10.78326081
8,1,5,13.30976054,7.537930924
4,15,3,12.35066299,9.859624439
2,15,4,10.76321237,8.438053168
5,22,3,13.66810937,10.97174771
2,64,5,11.99823782,10.37986031
6,1,5,11.43201985,6.942698771
6,4,5,13.26737193,8.566591824
2,36,2,11.22641219,10.67300254
5,4,5,12.37150441,8.565523889
3,16,5,11.95782756,9.621040101
4,14,4,12.30777003,9.873365398
4,19,4,12.63934071,10.19099723
6,19,4,14.33998915,10.79276682
8,7,3,15.10328781,10.52989738
1,15,3,9.909893084,7.430869627
4,15,4,12.43931146,9.998033505
4,22,3,12.71231204,10.70674724
0,64,5,11.35810171,8.757891433
1,8,4,9.411510988,7.018112284
7,35,3,15.48116875,13.65268358
0,8,4,9.095397023,6.02339954
7,36,1,15.39590226,14.71664238
1,19,4,10.07815081,7.739010861
8,8,3,15.23032072,10.96473646
4,36,2,12.86205613,12.03070176
3,15,4,11.47522678,9.330080673
5,15,4,13.30919211,10.62523982
3,35,4,12.12250448,11.53122277
1,8,3,9.550746785,6.980023448
5,16,5,13.82545572,10.22386568
3,7,3,10.88798213,8.553987328
4,32,5,13.76103174,11.00016159
0,19,3,9.824958741,6.771739106
7,2,5,13.31797782,7.558295565
0,35,4,10.78381676,8.77675046
0,25,4,10.26795708,7.757676762
3,8,4,10.87728413,8.708210224
2,4,5,9.741466986,6.77445112
1,22,4,10.32305476,8.210060462
