Spout_wait,Spliters,Counters,Throughput+,Latency-
6,6,6,16882,195.61
5,1,8,15183,200.64
1,5,17,20391,176.12
7,4,13,20307,183.41
7,6,10,19514,161.74
7,5,4,15851,213.26
100,6,5,16328,208.73
6,2,2,12414,260.98
4,5,13,19578,194.42
5,2,9,16802,216
1,2,12,15830,208.02
10000,1,11,288.56,7908.9
9,6,13,20492,165.89
4,4,5,16262,206.77
1,1,2,10818,316.58
8,2,5,16060,226.78
1,3,7,16029,254.05
9,2,8,17610,200.53
4,4,8,17659,184.96
100,2,8,17503,204.08
100,1,4,12321,252.99
2,2,1,9093.2,355.89
100,6,6,17404,176.71
4,2,12,16121,199.59
1000,4,6,3077.6,805.8
1000,1,17,2853.9,925.21
1000,3,10,3074.8,789.44
6,1,13,14391,220.76
1000,3,15,3045.4,797
2,4,16,19321,188.85
10,6,3,16316,193.64
8,6,16,21178,152.89
6,6,11,19495,190.78
6,2,13,19408,170.62
5,5,6,16195,195.66
4,1,16,14891,217.78
1000,6,13,3438.6,748.1
10000,2,11,567.94,5515.8
2,1,16,14072,225.86
1,4,1,8297.3,386.33
7,4,17,21406,166.54
1,6,9,17646,210.41
1,2,14,17417,206.11
2,6,9,18191,198.56
1000,3,1,2952.8,953.22
1000,4,14,3127.7,775.05
10000,2,2,488.69,7129.9
7,6,6,16851,192.84
6,2,15,18242,192.63
10000,1,15,375.41,7905.4
