Max_spout,Spliters,Counters,Throughput+,Latency-
100,2,1,7677.3,137.63
1.00E+06,1,1,48918,93904
10000,3,15,18857,1717.1
10000,2,3,23990,4735
10,6,15,18604,5.2717
1.00E+05,2,18,32366,28518
10000,3,18,19010,1792.1
100,6,1,8636.8,123.03
10000,6,1,8058.1,11121
10,3,3,14028,8.641
10000,2,9,30740,3751.1
10,3,12,15038,7.0763
1000,3,3,18655,579.29
1,2,1,4097.1,2.6345
10,1,3,12690,9.0425
100,6,6,21305,46.838
1000,3,15,19776,602.72
1,1,9,4059.4,2.5699
100,3,6,20076,55.609
1.00E+06,6,6,24009,1028
1.00E+06,1,15,39811,83368
1,6,6,4716.8,2.1994
1000,6,3,21467,512.14
1000,6,15,24693,277.74
1000,6,18,23876,372.5
1.00E+05,2,15,29311,33300
100,2,6,21809,52.464
1000,2,12,33903,348.49
100,1,18,21201,51.009
1.00E+05,1,9,18336,49528
100,3,12,20701,58.286
1.00E+06,6,18,26278,1019.7
10,1,15,13048,8.2902
10000,6,6,26972,1266.6
1000,3,6,20312,555.68
1000,6,6,25035,343.85
10,3,6,16094,6.7821
10,2,12,19215,5.9139
1.00E+06,2,1,35943,70293
10000,6,12,26973,856.94
10000,2,1,6913.8,14710
1.00E+05,6,6,24924,869
1.00E+05,1,15,21013,45807
10,6,9,18337,5.274
100,2,12,26077,39.596
10000,1,6,18745,5990.6
1.00E+06,1,18,46272,83169
1000,2,15,35508,330.13
1.00E+05,1,12,17814,49666
10000,3,1,8160,13166
