Spouts,Max_spout,Sorters,Emit_freq,Chunk_size,Message_size,Throughput+,Latency-
1,10,15,120,1.00E+06,1.00E+05,36304,2.1482
3,100,1,300,2.00E+06,1000,6830.1,417.1
1,1000,2,10,1.00E+06,1.00E+05,671.57,10202
3,100,15,120,1.00E+05,1.00E+05,38545,63.329
3,100,3,1,1.00E+07,1.00E+05,41836,68.276
3,100,2,120,1.00E+05,10000,14702,928.41
3,10000,6,10,1.00E+05,1000,1.96E+05,1072.5
1,1000,3,300,1.00E+07,10000,71417,108.27
3,1000,9,300,1.00E+07,1000,1.23E+05,214.09
1,100,15,300,1.00E+06,10000,21980,38.404
3,10000,2,1,1.00E+05,1.00E+05,10373,9394
3,10000,3,10,1.00E+06,10000,1.97E+05,1054.9
3,100,12,120,1.00E+06,1.00E+05,40264,64.323
1,100,1,300,1.00E+06,1.00E+05,446.62,1811.9
1,100,12,1,2.00E+06,10000,38065,21.226
1,10,1,300,1.00E+06,10000,10239,8.9053
3,1000,2,120,2.00E+06,1.00E+05,2305.6,10824
1,10,18,60,1.00E+06,1.00E+05,36330,2.2141
1,100,1,120,1.00E+07,10000,3965.6,189.5
1,100,12,120,1.00E+05,1.00E+05,37211,19.664
3,100,3,300,2.00E+06,10000,38498,68.99
3,100,1,60,1.00E+07,1000,6662.6,437.81
1,1000,12,300,1.00E+05,1.00E+05,62015,109.75
3,10000,2,120,1.00E+07,1.00E+05,13847,8508.9
3,100,12,1,1.00E+06,10000,40606,59.994
3,1000,2,1,1.00E+07,1.00E+05,1588.3,10091
3,100,3,10,1.00E+06,1000,39690,63.727
1,10,2,1,1.00E+06,1.00E+05,331.29,137.53
3,10000,6,300,1.00E+07,1.00E+05,2.18E+05,1118.3
3,100,15,10,1.00E+06,10000,39398,66.472
1,100,18,10,1.00E+06,1.00E+05,22469,39.241
1,10,9,120,1.00E+07,10000,33198,2.7953
1,1000,12,10,1.00E+05,1.00E+05,68627,119.75
3,10000,12,1,1.00E+05,1000,2.10E+05,1066
1,10000,1,120,1.00E+06,1.00E+05,1832.2,25653
3,100,15,60,2.00E+06,1000,37659,69.171
3,100,1,120,1.00E+07,1000,6930.4,434.64
3,10,18,300,1.00E+05,1.00E+05,11709,22.735
3,100,3,1,1.00E+06,1000,37318,64.562
1,100,3,300,1.00E+07,1.00E+05,37574,19.146
3,10,9,120,1.00E+05,1.00E+05,15848,16.936
3,10,2,120,1.00E+07,1000,10115,29.14
3,10000,2,300,1.00E+05,1.00E+05,22325,8208.7
3,100,1,300,2.00E+06,1.00E+05,95.375,27521
3,100,6,10,1.00E+06,10000,38359,64.413
3,10,9,60,1.00E+07,1.00E+05,14771,18.646
1,10000,6,120,1.00E+07,1000,1.34E+05,417.81
1,100,6,10,1.00E+07,1.00E+05,34964,22.795
3,100,9,60,2.00E+06,10000,38447,64.701
1,1000,15,1,1.00E+06,1000,59518,122.52
3,10,12,10,1.00E+06,1.00E+05,10928,22.932
1,100,18,1,2.00E+06,1000,23409,37.125
1,100,2,60,1.00E+05,1.00E+05,1171.5,811.93
3,1000,3,10,1.00E+07,10000,1.17E+05,203.76
3,10,1,1,1.00E+06,1.00E+05,100.18,2663.8
3,1000,12,120,2.00E+06,1000,1.26E+05,181.77
1,10,1,60,1.00E+06,1.00E+05,982,66.852
3,10,15,10,1.00E+05,1.00E+05,11735,24.778
1,100,9,60,1.00E+05,10000,35766,20.504
3,1000,6,120,1.00E+06,1000,1.33E+05,190.99
1,10,9,120,1.00E+05,10000,37357,2
3,10,18,10,1.00E+07,1000,11533,23.344
3,1000,15,60,2.00E+06,10000,1.08E+05,225.4
1,10,6,1,1.00E+07,1.00E+05,30408,2.7574
3,1000,2,300,2.00E+06,10000,53692,7691.4
3,1000,2,1,1.00E+05,1.00E+05,1882.5,9214.3
1,10000,9,10,1.00E+06,1.00E+05,1.51E+05,383.04
1,1000,3,120,2.00E+06,10000,74353,104.66
1,10,2,10,2.00E+06,10000,8531.8,9.3814
1,10000,2,60,1.00E+06,10000,2534.3,31547
3,10,1,60,1.00E+07,10000,991.76,302.68
3,10000,12,300,2.00E+06,1.00E+05,2.20E+05,1188.5
3,100,2,1,2.00E+06,1.00E+05,11476,8034.9
1,10000,3,1,1.00E+07,10000,1.24E+05,413.89
1,10,3,120,1.00E+07,1000,36457,2.1881
3,10,1,120,1.00E+07,1.00E+05,96.688,2689.9
3,1000,3,300,1.00E+05,1.00E+05,1.30E+05,183.61
3,100,9,60,1.00E+06,1.00E+05,36729,68.892
1,1000,1,60,2.00E+06,1.00E+05,457.5,30437
3,10,1,300,2.00E+06,1000,6537.5,37.058
