A,B,C,A-,B-
3,8,3,11.01820018,8.807303347
3,19,4,11.70043972,9.61497325
2,35,3,10.7548875,10.60570099
7,14,3,14.72616493,10.75957087
3,36,2,12.04780555,11.65370002
6,25,4,14.68710225,11.28592421
1,14,3,9.832890014,7.256973697
5,15,4,13.30919211,10.62523982
0,8,3,9.154818109,6.035372181
5,36,1,13.52380696,13.23156242
1,22,3,10.30606169,8.144994221
6,2,5,12.36550227,7.721985507
7,8,3,14.12129067,9.970627688
2,64,5,11.99823782,10.37986031
1,16,5,10.215533,7.730255858
2,25,3,10.99929539,9.72844524
1,14,4,9.818582177,7.226333592
0,15,4,9.821773982,6.445010442
6,36,2,14.62804676,13.51134515
1,64,5,11.25325658,9.618118628
4,4,5,11.41837972,8.441542305
7,36,1,15.39590226,14.71664238
3,7,4,10.75154406,8.522529897
4,36,1,12.65082737,12.47418769
4,7,4,11.67065625,9.510868147
2,36,1,10.67419227,10.66419664
1,4,5,9.038918989,5.849099186
8,25,4,16.20472396,11.73287415
1,8,4,9.411510988,7.018112284
3,8,5,11.49735289,8.659608643
8,7,3,15.10328781,10.52989738
0,8,5,9.97441459,5.773587653
1,19,3,9.965784285,7.724034654
7,8,4,14.35211241,10.73711949
5,7,4,12.51619248,10.18870654
2,35,4,11.35093918,10.65835576
5,25,3,13.70606427,11.58287499
1,32,5,11.03960452,8.783424695
2,15,4,10.76321237,8.438053168
2,36,2,11.22641219,10.67300254
1,15,4,9.914385132,7.422663507
8,4,5,15.16030477,7.802506965
0,2,5,7.971543554,3.83196978
3,35,4,12.12250448,11.53122277
3,8,4,10.87728413,8.708210224
4,25,4,12.97620609,11.32123577
0,25,4,10.26795708,7.757676762
6,25,3,14.64103567,11.28664203
5,8,4,12.64543328,10.30355742
4,1,5,9.592457037,6.564959804
