Max_spout,Spliters,Counters,Throughput+,Latency-
100,6,6,21305,46.838
10,6,15,18604,5.2717
1,2,12,4224.6,2.4514
1000,1,15,20768,560.98
1000,2,6,28725,399.13
1.00E+06,6,1,36125,46551
1000,1,18,23878,465.92
1.00E+05,1,18,20186,46405
100,2,18,28405,38.097
10,6,6,17588,5.4324
100,1,3,17561,66.278
1,1,9,4059.4,2.5699
1.00E+05,6,6,24924,869
10000,2,3,23990,4735
10,3,15,15777,6.9694
1,1,1,4123.9,2.5786
1.00E+06,2,9,61403,52488
1000,2,18,34045,334.44
1,1,15,3983.3,2.585
1000,6,18,23876,372.5
10,3,18,16158,6.515
10000,6,15,25023,809.05
10000,6,6,26972,1266.6
1,3,3,4742.8,2.2434
1.00E+06,3,18,20100,1692.8
10,3,6,16094,6.7821
1.00E+05,3,3,18159,1781.5
1.00E+05,2,9,29027,34206
1.00E+05,3,1,9988.9,64176
1.00E+06,3,15,20226,1784.3
1.00E+05,6,18,27324,865.83
1,6,3,4850.4,2.1844
10000,6,1,8058.1,11121
1000,6,6,25035,343.85
100,6,9,22039,41.581
100,3,3,17860,61.224
100,2,1,7677.3,137.63
10,3,1,7221.4,19.849
1.00E+06,1,12,38675,84330
1,1,18,4100.2,2.6116
1.00E+06,6,9,25312,911.97
1,2,15,4192.9,2.5676
1.00E+06,3,6,18378,1747.9
1,6,12,4638.4,2.2965
1000,2,3,22093,522.18
1.00E+05,3,18,17900,1829.9
10,2,9,18656,5.6942
10000,3,1,8160,13166
10,2,12,19215,5.9139
1.00E+05,2,15,29311,33300
