Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
5,1,4,50,8.947271652,5.114503927
5,1,1,10,7.578999076,5.093870967
5,0,4,1,6.415403762,4.837142461
7,0,2,100,9.672985692,5.123159887
4,0,1,2,6.812883235,4.915280585
6,0,2,5,6.722670938,5.07987808
7,1,3,1,6.673217192,4.878750454
5,0,2,2,6.536861081,4.97692226
6,1,1,50,8.902718788,5.117955552
6,1,4,5,7.121688916,5.0697917
3,1,1,2,7.882967008,4.667403539
4,1,2,1,7.254650728,4.68779634
6,0,4,2,6.376724488,5.00769312
3,1,2,1,7.835102979,4.33936051
6,1,2,10,7.466488455,5.097368445
4,1,4,2,7.32378437,4.892895336
6,1,1,2,6.867254025,4.983722136
7,0,1,2,6.290129465,5.022484651
6,1,4,50,8.902718788,5.117955552
4,1,3,5,7.513253856,5.031756014
5,0,1,1,6.415403762,4.83712609
4,0,4,20,7.958239493,5.096536076
6,1,4,2,6.867241668,4.983829961
5,1,2,20,8.059182199,5.107607992
6,0,2,10,7.162582668,5.102447958
5,1,2,10,7.578983985,5.093912551
5,0,2,100,9.702370112,5.117968127
3,0,3,5,7.540786742,4.946186618
4,0,2,5,7.075885561,5.041577674
6,1,3,100,9.740247934,5.121424796
4,1,1,5,7.513411787,5.031031867
5,0,1,2,6.536876618,4.976903632
3,1,4,5,8.014260434,4.927881398
6,0,1,2,6.376724488,5.007683559
4,0,3,100,9.746890481,5.104194403
7,1,2,1,6.673217192,4.878750454
3,0,2,2,7.353587949,4.71815563
4,1,1,20,8.21162552,5.093925707
7,1,1,20,7.937150152,5.112800375
7,1,1,2,6.775695869,4.998368761
4,0,4,2,6.812883235,4.915289944
5,1,2,2,7.035667894,4.953555274
3,1,4,20,8.548710187,5.046250314
7,1,2,10,7.408083432,5.099070723
3,0,3,1,7.285531686,4.401580549
5,0,1,5,6.849711592,5.068119779
5,0,3,2,6.536861081,4.97692226
7,1,2,5,7.04617453,5.07314603
5,0,2,5,6.849711592,5.068121424
3,1,4,10,8.211260476,5.020146292
6,1,2,20,7.978390142,5.111081381
6,1,3,5,7.121688916,5.0697917
4,0,1,100,9.746890481,5.104194403
3,1,2,20,8.548710187,5.046250314
3,1,3,5,8.014260434,4.927881398
4,1,1,2,7.324189549,4.889213047
4,0,3,50,8.900257005,5.101620629
3,1,2,50,9.251482411,5.059483872
7,0,1,100,9.672985692,5.123159887
7,1,2,20,7.937150152,5.112800375
