A,B,C,D,E,F,G,H,I,J,K,A-,B-
1,0,0,1,0,0,0,1,0,1,0,231.04,15
1,1,1,0,1,1,1,0,0,1,1,238.74,28
1,1,0,1,1,0,0,1,1,1,1,264.93,19
1,1,0,0,1,0,0,0,1,0,0,220.42,29
1,0,1,1,1,0,1,1,1,1,1,264.6,19
1,1,1,1,1,1,1,1,1,0,0,232.66,19
1,0,1,1,1,0,1,1,1,1,1,262.6,19
1,0,1,0,1,1,0,1,0,0,0,215.94,14
1,1,0,1,1,0,0,0,1,1,1,251.71,28
1,1,1,1,1,1,0,1,0,1,1,253.98,15
1,1,0,0,0,1,0,1,0,1,1,251.91,16
1,0,0,0,1,0,1,0,1,1,1,249.44,28
1,1,1,1,1,0,1,1,1,1,1,269.38,19
1,1,0,1,0,1,1,0,1,0,0,220.98,29
1,0,0,1,1,0,1,0,1,1,0,240.41,28
1,0,1,1,1,1,0,1,1,1,1,262.95,19
1,0,0,1,0,1,0,1,1,0,1,246.65,18
1,1,1,0,1,1,1,1,1,1,0,255.87,20
1,1,1,0,1,1,0,1,1,0,1,250.24,18
1,1,1,0,1,0,1,1,1,1,1,268.38,19
1,1,0,0,0,1,1,1,0,0,1,259.38,12
1,1,1,1,1,0,0,1,1,1,1,266.1,19
1,1,0,0,0,1,0,0,1,0,1,232.64,28
1,1,0,1,1,0,1,0,0,0,1,216.91,29
1,1,1,0,1,0,0,0,0,0,0,205.99,26
1,0,0,0,0,0,0,0,1,0,1,230.74,29
1,1,0,1,1,1,1,0,0,0,0,205.74,29
1,0,1,0,1,0,0,0,0,1,1,232.18,28
1,1,0,0,1,0,1,1,1,0,1,250.37,17
1,0,1,1,1,0,0,0,0,1,1,235.12,28
1,1,0,1,0,0,1,1,0,0,1,259.37,12
1,0,1,1,1,0,1,0,1,0,1,236.31,28
1,1,0,0,0,0,1,1,0,0,0,211.27,15
1,0,1,0,1,0,0,0,1,1,0,238.78,28
1,0,0,0,1,1,1,1,0,0,1,259.69,12
1,1,1,0,1,1,0,1,1,1,0,254.26,20
1,1,1,1,1,1,1,1,1,0,0,234.68,19
1,1,0,0,0,1,1,1,1,1,1,267.59,18
1,0,1,1,1,1,0,1,1,0,1,251.91,18
1,1,0,1,0,1,1,1,1,0,0,228.97,19
1,0,1,0,1,0,1,1,0,0,0,215.31,14
1,1,1,0,1,1,1,0,0,1,0,230.31,28
1,0,1,1,1,1,1,0,1,1,1,252.77,28
1,1,0,0,0,1,1,0,0,1,1,236.64,28
1,0,1,1,1,0,0,1,1,1,1,261.44,19
1,0,1,1,1,0,1,0,0,1,0,225.69,29
1,1,1,0,1,1,1,1,0,1,0,241.9,15
1,1,0,0,1,1,1,1,0,0,1,262.01,12
1,0,0,0,0,1,1,0,1,0,1,233,29
1,0,1,0,1,1,1,1,0,0,1,266.12,12
1,0,1,1,1,0,0,1,0,0,0,212.94,14
1,0,0,0,0,0,0,0,0,1,1,228.3,29
1,1,1,0,1,0,1,0,0,1,1,237.33,28
1,0,1,1,1,0,0,1,0,0,1,265.38,11
1,0,0,0,0,0,1,0,0,0,0,199.68,29
1,0,0,1,0,1,0,0,1,1,1,248.06,28
1,0,0,1,1,1,1,1,0,1,0,236.89,15
1,1,1,1,1,1,0,0,0,0,1,218.59,28
1,1,0,0,0,0,1,0,1,0,0,219.4,29
1,1,0,0,1,1,0,1,1,1,1,268.8,18
1,1,1,1,1,1,1,0,0,0,0,208.92,29
1,1,1,0,1,1,0,1,1,0,0,232.76,18
1,1,0,1,0,1,0,1,0,1,1,250.26,15
1,0,1,1,1,1,1,0,0,1,0,227.03,29
1,1,1,1,1,1,0,1,0,0,1,266.54,12
1,1,0,0,1,1,0,1,1,0,1,251.3,18
1,0,1,0,1,1,0,0,1,1,0,242.43,28
1,1,0,1,0,0,1,0,0,0,1,215.03,29
1,0,1,1,1,0,0,0,1,0,1,236.06,29
1,0,0,1,1,0,1,0,1,0,0,219.63,29
1,1,1,0,1,1,0,0,0,1,1,239.59,27
1,1,1,1,1,0,1,0,0,0,1,219.95,27
1,1,1,0,1,1,1,1,0,0,1,264.04,12
