Spout,Split,Count,Buffer_size,Heap,Throughput+,Latency-
2,6,6,1.05E+08,2048,13050,145.75
2,6,1,1.05E+07,512,9789,197.19
1,6,9,2.62E+05,2048,13824,69.907
1,3,3,1.05E+07,512,12192,78.38
2,3,3,2.62E+05,512,11589,172.21
1,3,1,5.24E+06,512,8571.8,110.88
2,3,3,2.62E+05,2048,11877,167.73
2,1,9,1.05E+08,2048,13820,144.9
2,3,3,5.24E+06,1024,11637,171.71
3,2,1,1.05E+07,512,8170.9,370.08
1,6,9,2.62E+05,512,13387,70.633
2,6,9,1.05E+08,2048,14121,137.87
2,2,1,1.05E+08,1024,8476.8,242.01
3,1,12,1.05E+07,1024,12464,242.18
3,6,12,1.05E+06,1024,18708,165.25
2,3,3,1.05E+07,2048,11394,178.65
1,1,6,2.62E+05,2048,13516,71.818
3,1,2,2.62E+05,512,11108,272.23
2,6,9,1.05E+08,512,14311,141.58
3,3,6,1.05E+07,2048,15446,200.21
1,6,6,5.24E+06,1024,12790,75.418
2,6,12,1.05E+07,512,15587,129.74
2,6,3,1.05E+08,2048,11818,164.83
2,1,1,1.05E+06,2048,7851.3,262.75
3,6,3,1.05E+06,2048,13699,223.01
1,3,6,1.05E+07,512,13052,72.387
1,2,2,5.24E+06,1024,10979,90.24
1,6,3,1.05E+08,2048,12814,76.921
1,1,9,1.05E+08,512,14117,68.127
2,3,6,2.62E+05,1024,12656,158.11
3,2,3,5.24E+06,1024,12451,245.09
2,2,9,1.05E+08,2048,14045,145.76
1,6,12,1.05E+07,2048,14532,65.505
2,2,1,1.05E+07,1024,8324.9,243.35
2,3,12,1.05E+08,1024,14757,132.54
1,2,2,1.05E+08,2048,11455,83.516
1,3,1,1.05E+06,512,8556.9,111.33
1,3,1,1.05E+06,2048,8282.6,113.69
1,2,6,1.05E+06,512,17898,54.633
1,2,9,5.24E+06,512,19541,50.401
2,3,12,5.24E+06,512,14808,137.62
2,3,6,2.62E+05,512,12877,150.37
1,6,3,2.62E+05,512,12456,80.408
2,2,6,1.05E+08,2048,13623,150.31
2,1,2,5.24E+06,1024,10934,180.51
1,2,12,1.05E+07,1024,20356,48.387
2,2,3,1.05E+06,2048,12288,162.39
3,2,1,5.24E+06,2048,8473,365.42
3,2,3,1.05E+07,512,12599,237.2
2,6,9,2.62E+05,2048,14476,136.85
3,3,2,5.24E+06,1024,11357,275.88
3,6,12,1.05E+07,2048,18422,163.12
1,3,2,1.05E+06,2048,11549,84.664
3,2,1,1.05E+08,512,8379.6,357.55
3,3,9,5.24E+06,1024,16386,191.05
2,6,1,1.05E+07,1024,10063,197.63
3,6,6,1.05E+06,512,15770,193.73
1,6,2,2.62E+05,1024,11693,81.686
1,1,1,1.05E+06,1024,9213.3,102.99
3,3,9,1.05E+07,512,16569,190.43
3,6,1,2.62E+05,512,8184.2,371.71
1,2,1,2.62E+05,2048,7965.2,124.28
3,1,1,1.05E+07,512,7941.4,387.25
2,3,9,1.05E+08,512,13810,147.99
2,1,6,1.05E+08,1024,12535,160.22
3,6,2,5.24E+06,512,11808,254.04
3,3,3,5.24E+06,1024,13463,228.15
1,2,12,2.62E+05,2048,20534,49.505
3,3,12,1.05E+06,512,17892,172.78
1,2,1,1.05E+08,2048,7810.2,127.93
2,6,12,1.05E+08,2048,15578,127.42
2,2,6,1.05E+07,2048,12322,153.88
3,1,6,1.05E+08,512,11781,258.81
2,2,9,1.05E+06,512,14408,141.85
3,3,6,1.05E+07,1024,15353,196.48
3,1,6,1.05E+06,512,12174,252.57
2,2,9,5.24E+06,1024,13579,145.34
2,2,12,1.05E+08,1024,14810,139.85
2,1,9,1.05E+08,1024,13963,139.24
2,3,12,1.05E+06,2048,13643,144.77
1,1,3,2.62E+05,512,13009,75.129
3,2,3,5.24E+06,2048,12315,247.84
1,3,1,1.05E+07,512,8305.2,115.51
3,6,1,5.24E+06,1024,8413.5,360.16
1,6,12,5.24E+06,1024,13906,70.048
3,6,9,1.05E+08,1024,16990,177.94
1,1,12,5.24E+06,2048,14589,65.733
3,3,3,2.62E+05,1024,13419,221.61
2,3,12,5.24E+06,2048,14557,133.22
3,2,9,1.05E+06,2048,15161,202.01
3,3,3,1.05E+06,1024,13658,223.86
3,6,2,1.05E+08,1024,11411,263.65
1,3,2,2.62E+05,2048,11518,83.852
1,6,12,1.05E+07,512,13511,70.402
1,6,6,1.05E+07,1024,12604,74.836
2,1,9,5.24E+06,512,13962,144.94
3,6,3,5.24E+06,512,14131,218.18
1,6,2,1.05E+08,2048,11632,81.601
1,2,12,5.24E+06,512,20591,47.387
2,6,3,2.62E+05,512,11573,167.27
3,1,12,1.05E+08,2048,11934,246.94
1,2,12,2.62E+05,1024,20536,47.513
1,3,12,1.05E+06,2048,12771,72.043
2,3,2,1.05E+06,1024,11577,176.46
3,1,3,1.05E+06,1024,11821,258.78
1,2,9,2.62E+05,512,18928,52.784
2,1,2,1.05E+07,512,11463,172.79
2,2,1,1.05E+07,2048,8674.8,231.9
2,3,3,1.05E+06,2048,11688,165.08
1,1,9,1.05E+07,512,15037,64.194
3,2,2,2.62E+05,1024,11521,273.84
2,3,6,1.05E+08,2048,12534,154.19
3,1,12,1.05E+06,512,12174,240.7
3,3,3,1.05E+06,2048,13652,221.59
1,2,9,1.05E+06,512,18889,52.377
1,2,3,5.24E+06,512,14573,68.835
1,3,12,1.05E+08,1024,12754,72.6
3,6,6,1.05E+06,2048,15319,194.8
1,6,12,1.05E+08,512,13463,68.497
1,6,6,1.05E+08,512,13143,73.065
2,1,9,1.05E+06,1024,13426,141.57
3,1,9,1.05E+08,2048,12047,252.08
1,6,6,1.05E+08,1024,12891,77.633
1,2,12,1.05E+07,2048,20134,51.406
1,6,2,5.24E+06,1024,11972,78.883
1,6,3,1.05E+06,1024,12397,79.414
3,1,1,1.05E+06,1024,7845.3,379.21
2,1,12,1.05E+08,1024,13643,143.02
2,6,9,1.05E+06,2048,14215,138.06
3,2,9,2.62E+05,1024,15383,196.52
2,1,3,5.24E+06,2048,12293,161.1
2,3,2,1.05E+06,512,11316,172.47
1,1,6,1.05E+08,2048,14702,65.645
3,1,2,1.05E+06,2048,11332,267.57
1,6,12,1.05E+08,2048,13927,66.105
1,2,3,1.05E+07,512,14060,72.272
1,3,6,2.62E+05,1024,12790,75.441
1,6,9,1.05E+06,1024,13433,70.547
1,2,1,1.05E+06,2048,7811.1,127.36
3,1,12,2.62E+05,1024,12515,248.54
2,2,9,1.05E+07,2048,13660,141.27
3,1,1,2.62E+05,2048,7855.3,377.63
2,3,2,1.05E+08,1024,11801,170.98
1,6,1,1.05E+07,512,8543.7,109.33
1,6,2,1.05E+06,2048,11690,83.558
3,3,1,1.05E+06,1024,8491.4,367.32
2,2,1,1.05E+08,2048,8158.2,247.52
2,2,6,2.62E+05,2048,13395,150.91
3,6,2,1.05E+06,1024,11594,255.23
2,2,9,2.62E+05,1024,13630,143.3
1,1,3,1.05E+06,512,12901,77.71
2,6,6,1.05E+07,1024,13286,141.22
1,3,6,1.05E+08,2048,12455,73.217
3,2,2,1.05E+08,1024,11453,270.58
1,1,2,1.05E+07,1024,10793,92.613
3,1,6,1.05E+07,1024,11847,250.2
3,3,1,1.05E+07,512,8024.9,380.96
2,6,2,1.05E+06,1024,11437,177.01
1,1,12,5.24E+06,512,15059,63.972
2,3,3,1.05E+06,1024,11724,169.37
1,6,3,1.05E+08,1024,12748,76.717
2,1,12,1.05E+06,1024,14385,135.92
1,2,2,2.62E+05,1024,11259,85.93
3,2,1,1.05E+06,2048,8333.2,371.39
1,2,1,1.05E+06,512,7828.6,129.22
3,2,6,1.05E+08,2048,13862,212.71
1,3,12,1.05E+07,512,13475,68.503
1,1,2,1.05E+08,2048,10620,92.693
2,6,2,1.05E+08,512,11655,169.22
1,3,12,1.05E+07,2048,12437,77.372
2,6,2,5.24E+06,512,11574,176.28
3,2,2,2.62E+05,2048,11542,262.7
3,1,6,1.05E+08,1024,12052,258.38
2,2,6,1.05E+08,512,12835,153.19
3,3,2,5.24E+06,512,11674,270.36
2,1,12,1.05E+07,512,13589,144.86
3,3,3,1.05E+08,2048,13499,220.31
2,6,2,2.62E+05,2048,11493,169.03
2,2,12,1.05E+08,512,14718,135.21
1,6,3,1.05E+07,512,12366,76.828
3,3,9,1.05E+08,1024,16916,180.52
3,6,3,1.05E+07,2048,14052,211.81
3,1,9,1.05E+07,1024,12296,246.51
3,1,9,1.05E+07,512,12231,243.66
3,3,3,1.05E+06,512,13453,217.05
1,3,2,1.05E+06,512,11641,83.951
1,2,12,5.24E+06,2048,20050,51.366
3,3,12,5.24E+06,1024,17809,173.96
1,2,1,1.05E+07,1024,8083.9,124.77
2,6,1,1.05E+06,1024,9521.7,198.07
3,2,3,1.05E+06,512,12313,244.86
1,2,2,5.24E+06,512,11235,85.496
3,2,3,1.05E+07,1024,12742,238.06
2,6,1,2.62E+05,2048,9787.4,200.6
3,6,1,1.05E+06,512,8358.1,359.63
1,3,9,1.05E+08,512,12390,78.109
2,3,2,1.05E+06,2048,11271,181.91
2,2,9,2.62E+05,2048,13148,149.72
1,1,2,1.05E+07,512,10803,91.932
1,1,6,1.05E+08,1024,14207,69.085
2,6,3,5.24E+06,2048,11681,163.56
3,1,2,1.05E+08,512,11367,268.87
2,2,12,1.05E+06,1024,13730,147.69
2,1,1,1.05E+06,512,7600.2,259.56
2,3,2,2.62E+05,2048,11788,172.61
1,2,3,1.05E+08,2048,14328,67.434
1,6,3,2.62E+05,1024,12273,78.982
2,3,1,5.24E+06,2048,9575.8,199.41
2,3,1,1.05E+07,2048,9557.2,201.76
2,6,1,1.05E+08,1024,9745.7,201.18
3,3,1,5.24E+06,1024,8134.6,371.67
1,2,2,1.05E+06,2048,11100,88.202
1,2,1,5.24E+06,2048,8056,124.54
2,3,12,1.05E+07,512,14458,136.56
1,2,3,2.62E+05,512,14411,69.1
1,1,12,2.62E+05,1024,15166,63.527
3,2,9,2.62E+05,512,15582,198.2
1,6,9,5.24E+06,1024,13238,71.228
2,2,12,5.24E+06,1024,14745,138.28
1,1,12,1.05E+08,1024,14557,66.947
1,1,6,1.05E+08,512,13599,73.403
3,3,12,2.62E+05,512,17736,176.97
2,6,6,1.05E+07,512,12992,155.41
3,6,1,5.24E+06,512,8059.8,363.97
2,1,9,1.05E+07,512,13663,142.71
2,1,6,1.05E+06,2048,12825,152.6
1,1,9,5.24E+06,1024,14733,65.498
1,3,9,1.05E+06,2048,12170,76.017
1,2,9,5.24E+06,2048,19063,53.326
1,1,2,5.24E+06,1024,10874,90.62
2,3,1,1.05E+06,2048,9682.5,200.58
3,3,9,2.62E+05,2048,17079,180.64
2,1,9,1.05E+07,2048,13773,147.37
2,3,9,1.05E+08,1024,14244,140.87
2,6,2,1.05E+06,2048,11929,166.68
1,2,1,5.24E+06,1024,7954.7,126.38
1,1,6,1.05E+07,2048,13955,69.705
3,3,6,5.24E+06,1024,15373,203.88
3,1,12,1.05E+07,2048,11988,241.75
2,6,9,1.05E+07,2048,14623,137.48
2,3,2,5.24E+06,1024,11639,172.21
1,1,1,1.05E+07,1024,9395.3,104.4
3,2,3,1.05E+08,1024,12580,252.44
3,3,6,2.62E+05,2048,15392,196.93
2,3,1,1.05E+08,2048,9506,203.82
1,1,1,1.05E+08,2048,9023.6,110.07
3,6,6,1.05E+07,512,15554,197.87
3,2,9,1.05E+06,1024,14871,198.13
3,2,12,1.05E+07,512,16054,184.06
3,3,3,5.24E+06,512,13722,218.52
1,3,3,1.05E+07,1024,11973,80.767
1,3,9,5.24E+06,2048,13104,70.247
1,1,12,1.05E+07,1024,14971,64.789
3,1,3,1.05E+07,2048,11873,263.46
1,2,6,5.24E+06,2048,16684,59.877
2,2,3,2.62E+05,2048,12499,162.46
1,1,3,1.05E+07,2048,11983,80.941
1,1,12,5.24E+06,1024,14805,68.305
3,2,9,1.05E+08,2048,15478,203.55
3,3,1,5.24E+06,512,8524.5,372.9
1,3,9,1.05E+06,1024,11982,79.374
1,3,12,5.24E+06,512,12144,74.759
1,3,2,1.05E+07,1024,11667,82.684
3,1,2,2.62E+05,2048,11070,276.85
2,2,9,5.24E+06,512,14284,143.69
2,2,12,1.05E+07,2048,14421,142.43
3,1,1,1.05E+08,512,7939.4,379.33
1,1,3,1.05E+07,1024,12305,82.948
3,1,3,1.05E+08,1024,11841,259.01
2,1,6,1.05E+08,512,12541,153.27
3,2,12,1.05E+08,512,15753,193.19
3,1,2,1.05E+06,512,11192,278.14
3,6,12,2.62E+05,1024,18259,173.96
1,6,1,5.24E+06,512,8495.6,112.01
1,1,12,1.05E+06,2048,14646,68.492
3,6,9,1.05E+06,1024,17526,177.35
2,1,1,1.05E+08,1024,8015.4,248.27
1,2,9,1.05E+07,512,19268,51.911
3,6,1,1.05E+08,512,8395.2,352.61
1,3,6,5.24E+06,2048,12873,73.094
1,2,3,1.05E+06,1024,14343,67.011
1,2,6,1.05E+06,1024,17299,55.711
3,1,1,1.05E+06,2048,7768.4,390.46
1,2,3,1.05E+07,2048,14101,70.731
1,3,3,5.24E+06,1024,12652,75.422
3,2,1,1.05E+08,2048,7975.1,372.51
1,2,1,1.05E+06,1024,7845.4,126.82
3,3,1,1.05E+08,1024,8083.4,382.76
1,2,6,2.62E+05,2048,16825,60.046
2,1,3,1.05E+08,512,12561,159.21
1,2,2,1.05E+08,1024,11067,87.06
3,2,3,5.24E+06,512,12372,251.47
3,6,1,1.05E+08,1024,8444.7,361.36
1,6,3,2.62E+05,2048,12356,77.938
2,1,12,2.62E+05,512,14316,137.2
3,2,6,1.05E+08,512,13938,213.61
2,1,1,1.05E+06,1024,8164,246.38
2,1,3,2.62E+05,1024,12325,165.61
3,2,9,1.05E+08,1024,15722,203.06
1,6,1,1.05E+08,2048,8656.6,110.3
2,3,1,1.05E+08,512,9503.6,203.99
1,1,12,1.05E+06,1024,14910,67.445
2,3,6,2.62E+05,2048,12754,152.37
3,1,2,5.24E+06,1024,11326,273.88
2,2,3,1.05E+08,512,12549,167.05
3,1,3,5.24E+06,1024,11968,256.13
3,2,6,2.62E+05,2048,14224,217.41
2,1,6,5.24E+06,512,13224,153.92
2,6,3,2.62E+05,2048,12128,161.23
3,1,1,5.24E+06,1024,7862.6,382.13
1,6,9,1.05E+08,2048,13778,67.548
2,6,3,1.05E+06,512,11937,163.4
2,2,2,2.62E+05,512,12253,166.92
1,1,2,1.05E+06,512,10750,90.004
1,6,6,5.24E+06,2048,13385,72.833
1,1,3,1.05E+06,2048,12633,78.619
2,1,9,1.05E+07,1024,13875,143.54
1,2,3,1.05E+08,512,13996,70.993
1,1,1,5.24E+06,512,9267.3,107.04
2,6,1,1.05E+07,2048,9656.2,197.94
1,6,9,1.05E+06,2048,13792,70.055
3,6,3,1.05E+08,2048,14194,216.76
3,1,1,2.62E+05,512,7730.2,405.5
2,3,3,1.05E+08,512,11524,170.12
2,1,6,1.05E+07,2048,12739,156.49
1,3,9,1.05E+08,2048,13148,71.174
1,6,1,1.05E+07,2048,8567.2,110.88
1,1,12,2.62E+05,2048,14905,64.588
2,3,2,5.24E+06,2048,11766,168.68
3,1,12,2.62E+05,2048,12410,241.56
1,6,12,2.62E+05,512,13418,72.155
2,2,6,5.24E+06,2048,13908,146.26
1,6,9,1.05E+08,512,13279,70.733
2,6,6,1.05E+06,512,13087,151.11
1,1,12,1.05E+07,2048,14742,66.966
3,2,3,2.62E+05,512,12655,239.77
1,3,9,1.05E+06,512,12724,72.712
1,1,2,2.62E+05,1024,10644,92.735
3,3,12,1.05E+06,2048,18663,166.98
3,3,6,1.05E+06,2048,15403,205.09
1,6,2,1.05E+07,1024,11604,82.823
3,6,6,2.62E+05,1024,15574,203.43
1,3,6,1.05E+07,1024,11980,78.924
3,3,3,1.05E+07,1024,13672,223.3
3,1,1,1.05E+08,1024,7860.1,375.15
3,1,12,5.24E+06,2048,12483,244.52
2,3,1,1.05E+06,1024,9649.2,201.81
3,6,12,2.62E+05,2048,18315,176.25
2,3,12,1.05E+07,1024,14750,133.89
3,2,12,2.62E+05,2048,15494,199.53
