Spout_wait,Spliters,Counters,Throughput+,Latency-
9,6,8,18180,199.41
10,4,11,18628,184.06
10000,3,6,586.88,6634.3
10,2,3,14577,228.04
10000,1,1,310.06,9421
1000,6,3,3173.7,874.34
10,3,15,20988,164.47
8,2,5,16060,226.78
7,1,12,13775,228.97
3,1,17,18214,179.54
1,2,4,14253,247.47
9,2,6,15580,212.94
5,6,17,21412,188.77
1000,4,11,3401.1,792.82
2,4,14,18913,184.11
7,1,14,17703,187.12
1000,6,16,3304.3,741.87
1,6,18,19152,183.64
1000,3,4,3174.3,802.5
5,1,16,14622,220.23
1,5,13,18384,230.66
10,5,12,20586,178.32
100,1,9,13056,239.95
9,3,17,22430,160.14
100,2,3,13319,244.38
4,1,5,14879,224.85
100,5,10,19647,169.28
1000,4,3,3042.7,833.36
7,6,2,13776,239.88
6,5,6,15530,209.63
10000,2,13,561.06,6205.9
6,6,5,16197,223.22
10000,1,12,365.07,9098.9
8,5,10,19032,170.73
4,2,10,17799,184.34
1,2,3,12493,261.6
100,3,15,20907,163.76
9,2,11,18044,186.58
1,2,9,15377,217.16
4,2,9,16004,202.22
1,3,12,18268,200.34
8,1,17,19303,169.5
1,6,16,19256,200.02
6,1,1,9179.4,350.32
8,4,9,18960,190.85
6,2,7,16818,222.3
4,5,13,19578,194.42
5,3,12,19289,176.63
1,4,7,15648,228.73
100,6,8,16596,187.27
9,5,2,13537,243.27
5,2,12,17249,191.29
3,3,13,19845,176.05
9,2,10,18028,179.13
1000,3,13,3136.9,821.6
1000,6,8,3297.9,752.06
9,1,15,15548,213.08
1,1,14,15891,198.18
8,1,18,13997,228.11
6,6,15,21412,169.27
1,2,7,15192,214.55
2,5,9,17453,193.94
7,4,16,19656,172.61
5,1,6,13256,243.86
100,4,18,20473,165.86
100,1,8,16693,190.83
10,4,5,17027,194.44
10,5,5,16406,195.69
3,2,15,17707,197.79
10,5,15,20678,193.39
3,4,11,17715,201.36
5,3,16,19893,175.26
1,3,1,7905.6,416.37
1,4,2,11975,282.78
5,5,7,17570,193.77
1,5,2,11395,285.58
4,4,6,16210,213.07
100,6,15,20247,165.53
10000,1,18,402.53,8797.5
2,4,11,17455,199.5
4,4,17,21687,164.28
