Max_spout,Spliters,Counters,Throughput+,Latency-
10000,2,3,23990,4735
10000,3,9,19366,1781.6
1.00E+05,6,18,27324,865.83
10000,2,15,27830,3523.8
1.00E+05,6,3,19790,2276.2
1.00E+05,3,18,17900,1829.9
10000,3,3,18253,1943.9
1000,2,18,34045,334.44
100,6,15,21993,42.093
10,1,3,12690,9.0425
1,1,6,4176.9,2.5477
1.00E+06,2,12,60713,73693
1000,6,15,24693,277.74
100,2,12,26077,39.596
1.00E+05,3,6,17406,2010.2
1,6,1,4849.6,2.3172
1.00E+06,3,15,20226,1784.3
1.00E+05,6,1,7625.9,61107
1,2,18,4229.9,2.4561
1.00E+05,2,18,32366,28518
10,6,18,17697,5.2977
1,2,9,4212.6,2.4867
10000,3,15,18857,1717.1
10000,6,9,25614,1220.9
10000,1,6,18745,5990.6
10000,6,12,26973,856.94
10,2,18,18872,5.704
1.00E+05,1,15,21013,45807
1.00E+05,3,3,18159,1781.5
1000,2,3,22093,522.18
100,6,1,8636.8,123.03
1.00E+06,2,9,61403,52488
100,6,6,21305,46.838
1000,3,18,21098,501.84
10,3,3,14028,8.641
1.00E+06,3,9,19653,1953.2
1.00E+05,1,3,17260,57080
1000,6,18,23876,372.5
1,1,9,4059.4,2.5699
1.00E+05,6,9,25620,1057.5
1,1,15,3983.3,2.585
1000,2,15,35508,330.13
1.00E+06,2,6,52611,82576
1.00E+06,3,1,46742,78749
1000,3,12,20562,523.63
100,3,1,7864.7,131.92
10,6,6,17588,5.4324
100,1,9,19721,62.512
1,2,1,4097.1,2.6345
10000,1,15,19210,6260.9
